method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,comm_mb,accuracy_per_mb,worst_accuracy_per_mb,loss_per_mb,reached_threshold
fedavg_default,7,185,True,156,0.08394025854455928,0.08421621018399796,0.9691395163536072,0.8888888955116272,1192613600,1192.6136,0.0008126181995187773,0.0007453284915681217,7.061483298865447e-05,True
fedavg_default,11,229,True,228,0.07902248275155822,0.09135647239163518,0.9692709704240163,0.8815789222717285,1476262240,1476.26224,0.0006565709967790115,0.0005971695938465028,6.188363416491312e-05,True
fedavg_default,19,278,True,271,0.07266066427497814,0.07483170403478047,0.9723605891068776,0.9078947305679321,1792143680,1792.14368,0.0005425684335236322,0.0005065970662396511,4.1755415522699876e-05,True
fedavg_default,23,200,True,198,0.08389215685116748,0.08476767099152009,0.9701919019222259,0.8815789222717285,1289312000,1289.312,0.0007524880726482232,0.0006837591849542459,6.574643762837862e-05,True
fedavg_default,29,234,True,226,0.08044824711202334,0.0820760344232743,0.9695634484291077,0.9054054021835327,1508495040,1508.49504,0.0006427355892592843,0.0006002044277079842,5.440921729730997e-05,True
fedavg_default,31,196,True,191,0.08376917099424948,0.08433899494508902,0.9687455058097839,0.8888888955116272,1263525760,1263.52576,0.0007667002418769713,0.0007034988313270536,6.674893192924617e-05,True
fedavg_default,37,226,True,196,0.07990846064252158,0.10588110718720903,0.9593068857987722,0.8518518805503845,1456922560,1456.92256,0.0006584474097228423,0.0005846926281039841,7.267449217562327e-05,True
fedavg_default,41,253,True,250,0.07295674063110104,0.07425449131987989,0.9731411774953206,0.90625,1630979680,1630.97968,0.0005966605160251418,0.000555647633819693,4.5527539202622005e-05,True
fedavg_default,43,234,True,223,0.07777579701505602,0.0805422868191575,0.9729757567246755,0.8947368264198303,1508495040,1508.49504,0.0006449976505886791,0.0005931320970202396,5.3392477060552676e-05,True
fedavg_default,47,229,True,213,0.07683064914308488,0.07880488839000463,0.9723864972591401,0.9054054021835327,1476262240,1476.26224,0.0006586814123614921,0.0006133093278762807,5.338136155945073e-05,True
cvar_0,7,186,True,186,0.08930920201043288,0.08930920201043288,0.9635677893956502,0.8024691343307495,1199060160,1199.06016,0.0008036025393385184,0.000669248433982453,7.44826698357094e-05,True
cvar_0,11,203,True,199,0.08071078954574963,0.08787723439745605,0.9698610246181488,0.8815789222717285,1308651680,1308.65168,0.0007411147209302852,0.00067365436941305,6.715097358638324e-05,True
cvar_0,19,273,True,243,0.07222216338850558,0.07977607606444508,0.9742822309335073,0.8947368264198303,1759910880,1759.91088,0.0005535974815574226,0.0005083989403030626,4.5329611272387314e-05,True
cvar_0,23,200,True,170,0.08069040163730581,0.0819108585206171,0.9716622352600097,0.9078947305679321,1289312000,1289.312,0.0007536284741474599,0.0007041699220731152,6.353067257623996e-05,True
cvar_0,29,234,True,226,0.08044824711202334,0.0820760344232743,0.9695634484291077,0.9054054021835327,1508495040,1508.49504,0.0006427355892592843,0.0006002044277079842,5.440921729730997e-05,True
cvar_0,31,196,True,191,0.08376917099424948,0.08433899494508902,0.9687455058097839,0.8888888955116272,1263525760,1263.52576,0.0007667002418769713,0.0007034988313270536,6.674893192924617e-05,True
cvar_0,37,226,True,196,0.07990846064252158,0.10588110718720903,0.9593068857987722,0.8518518805503845,1456922560,1456.92256,0.0006584474097228423,0.0005846926281039841,7.267449217562327e-05,True
