label,precision,recall,f1-score,support,score
WALKING,0.9566265060240964,0.9189814814814815,0.9374262101534829,432.0,
WALKING_UPSTAIRS,0.7718940936863544,0.9869791666666666,0.8662857142857143,384.0,
WALKING_DOWNSTAIRS,0.976,0.7283582089552239,0.8341880341880342,335.0,
SITTING,0.8788546255506607,0.8347280334728033,0.8562231759656652,478.0,
STANDING,0.8442307692307692,0.9261603375527426,0.8832997987927566,474.0,
LAYING,0.9977973568281938,0.9417879417879418,0.9689839572192513,481.0,
accuracy,,,,,0.8943498452012384
macro avg,0.9042338918866791,0.8894991949861432,0.8910678151008175,2584.0,
weighted avg,0.9043453586845709,0.8943498452012384,0.8943943090893285,2584.0,
