method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,comm_mb,accuracy_per_mb,worst_accuracy_per_mb,loss_per_mb,reached_threshold
fedavg_default,7,3,False,3,0.9371291597684225,0.9371291597684225,0.6919068058331808,0.5365853905677795,19339680,19.33968,0.03577653848632349,0.0277453086383942,0.04845629088839228,False
fedavg_default,11,3,False,3,0.9181319773197174,0.9181319773197174,0.6305698821942012,0.4444444477558136,19339680,19.33968,0.03260498013380786,0.022980961823350417,0.04747400046534986,False
cvar_0,7,3,False,3,0.925530876715978,0.925530876715978,0.7212721625963847,0.5308641791343689,19339680,19.33968,0.03729493779609511,0.027449481022145603,0.047856576567760066,False
cvar_0,11,3,False,3,0.9181319773197174,0.9181319773197174,0.6305698821942012,0.4444444477558136,19339680,19.33968,0.03260498013380786,0.022980961823350417,0.04747400046534986,False
cvar_0.5,7,3,False,3,0.931266971429189,0.931266971429189,0.7176864246527354,0.5185185074806213,19339680,19.33968,0.037109529457195534,0.02681112135674537,0.04815317375619395,False
cvar_0.5,11,3,False,3,0.919284584124883,0.919284584124883,0.6360556294520696,0.4444444477558136,19339680,19.33968,0.03288863256538214,0.022980961823350417,0.047533598494126215,False
cvar_0.75,7,3,False,3,0.9327574908733368,0.9327574908733368,0.7173102796077728,0.5432098507881165,19339680,19.33968,0.037090080063774206,0.028087840687545836,0.0482302442891163,False
cvar_0.75,11,3,False,3,0.9193653086821238,0.9193653086821238,0.6336490402619044,0.4444444477558136,19339680,19.33968,0.032764194664126,0.022980961823350417,0.04753777253202348,False
cvar_0.9,7,3,False,3,0.9339559614658356,0.9339559614658356,0.7182194789250692,0.5432098507881165,19339680,19.33968,0.0371370921817253,0.028087840687545836,0.04829221380425299,False
cvar_0.9,11,3,False,3,0.919230169057846,0.919230169057846,0.6328919142484665,0.45679011940956116,19339680,19.33968,0.032725045825394546,0.023619321488750646,0.04753078484534625,False
cvar_0.95,7,3,False,3,0.9339559614658356,0.9339559614658356,0.7182194789250692,0.5432098507881165,19339680,19.33968,0.0371370921817253,0.028087840687545836,0.04829221380425299,False
cvar_0.95,11,3,False,3,0.919230169057846,0.919230169057846,0.6328919142484665,0.45679011940956116,19339680,19.33968,0.032725045825394546,0.023619321488750646,0.04753078484534625,False
centralized,7,3,False,2,0.13767571238180001,1.3523865123589833,0.8099152982234955,0.6770833134651184,0,0.0,0.0,0.0,0.0,False
centralized,11,3,False,3,0.1315270334482193,0.1315270334482193,0.9476817588011424,0.8586956262588501,0,0.0,0.0,0.0,0.0,True
local_only,7,50,False,,,0.04043694951881965,0.988461705048879,0.9444444179534912,0,0.0,0.0,0.0,0.0,True
grid_best_validated,7,3,False,3,0.521414852142334,0.521414852142334,0.8495440264542897,0.6796116232872009,23207616,23.207616,0.03660626005076478,0.029283991224570455,0.022467402603625203,False
grid_best_validated,11,3,False,3,0.505087016026179,0.505087016026179,0.8272022902965546,0.6116504669189453,23207616,23.207616,0.03564357020973436,0.02635559235894567,0.021763847524285947,False
ga_best_validated,7,3,False,3,0.33644177665313085,0.33644177665313085,0.88465243379275,0.6666666865348816,7735872,7.735872,0.11435717056755206,0.08617860876380602,0.04349112506684843,False
ga_best_validated,11,3,False,3,0.28336524615685144,0.28336524615685144,0.8942716181278229,0.5925925970077515,7735872,7.735872,0.11560062241565307,0.07660320607783473,0.03663003293705628,False
