baseline,method,metric,n,mean_diff,cohens_d
logreg_fedavg,dirichlet_beta_1p0_fedprox,final_auroc,10,-0.0022797847631911283,-0.28587565473284704
logreg_fedavg,dirichlet_beta_1p0_fedprox,final_auprc,10,0.0016876688739702384,0.105181638450862
logreg_fedavg,dirichlet_beta_1p0_fedprox,final_worst_client_accuracy,10,-0.09054127335548401,-1.110059274825452
logreg_fedavg,dirichlet_beta_1p0_fedprox,final_worst_client_recall,10,-0.19523809523809527,-0.7308750763497459
logreg_fedavg,dirichlet_beta_1p0_fedprox,total_comm_until_stop,10,2722608.0,2.0190678397179016
logreg_fedavg,dirichlet_beta_1p0_fedprox,stopped_round,10,-22.3,-2.5212095622104553
logreg_fedavg,dirichlet_beta_infinity_fedavg,final_loss,10,0.1089324391219351,6.018527915808277
logreg_fedavg,dirichlet_beta_infinity_fedavg,final_accuracy,10,-0.034566191964679284,-7.545302621291232
logreg_fedavg,dirichlet_beta_infinity_fedavg,final_auroc,10,0.001470759700330848,0.7434591150060919
logreg_fedavg,dirichlet_beta_infinity_fedavg,final_auprc,10,-0.02370637968817102,-1.9719394679477442
logreg_fedavg,dirichlet_beta_infinity_fedavg,final_worst_client_accuracy,10,0.020265620946884156,1.7458320262662628
logreg_fedavg,dirichlet_beta_infinity_fedavg,final_worst_client_recall,10,0.27578262774063816,4.746064394180278
logreg_fedavg,dirichlet_beta_infinity_fedavg,total_comm_until_stop,10,3801840.0,2.9697660744660723
logreg_fedavg,dirichlet_beta_infinity_fedavg,stopped_round,10,-15.7,-1.8444369205953686
logreg_fedavg,dirichlet_beta_infinity_fedprox,final_loss,10,0.10570854776435427,5.663985761149189
logreg_fedavg,dirichlet_beta_infinity_fedprox,final_accuracy,10,-0.03432543171776664,-7.678907942125362
logreg_fedavg,dirichlet_beta_infinity_fedprox,final_auroc,10,0.0014689170714899946,0.5540439278169516
logreg_fedavg,dirichlet_beta_infinity_fedprox,final_auprc,10,-0.022277467642381022,-2.034787016223541
logreg_fedavg,dirichlet_beta_infinity_fedprox,final_worst_client_accuracy,10,0.020101428031921387,1.7034875944966386
logreg_fedavg,dirichlet_beta_infinity_fedprox,final_worst_client_recall,10,0.2770971925650234,4.815059211229914
logreg_fedavg,dirichlet_beta_infinity_fedprox,total_comm_until_stop,10,3801840.0,2.5786947934021236
logreg_fedavg,dirichlet_beta_infinity_fedprox,stopped_round,10,-15.7,-1.6154216500340064
logreg_fedavg,fedprox_mu_0p0,final_loss,10,-0.01706651051839193,-0.4564041663198661
logreg_fedavg,fedprox_mu_0p0,final_accuracy,10,0.04088557826148139,2.643185177533216
logreg_fedavg,fedprox_mu_0p0,final_auroc,10,-0.004351216305237627,-0.49279594488343365
logreg_fedavg,fedprox_mu_0p0,final_auprc,10,0.03542291876070077,2.2320635557339554
logreg_fedavg,fedprox_mu_0p0,final_worst_client_accuracy,10,0.05981096625328064,2.9602125648149924
logreg_fedavg,fedprox_mu_0p0,final_worst_client_recall,10,-0.26,-1.648050796710161
logreg_fedavg,fedprox_mu_0p0,total_comm_until_stop,10,435885336.0,6.118714598119991
logreg_fedavg,fedprox_mu_0p0,stopped_round,10,-41.4,-5.486773536491317
logreg_fedavg,fedprox_mu_0p001,final_loss,10,-0.0006506654951307477,-0.02336570130169302
logreg_fedavg,fedprox_mu_0p001,final_accuracy,10,0.031380181180106284,2.9731256347434716
logreg_fedavg,fedprox_mu_0p001,final_auroc,10,0.007388824729884669,1.6462849210458397
logreg_fedavg,fedprox_mu_0p001,final_auprc,10,0.05018195466343941,4.157072384648414
logreg_fedavg,fedprox_mu_0p001,final_worst_client_accuracy,10,0.05479612946510315,2.712108858830698
logreg_fedavg,fedprox_mu_0p001,final_worst_client_recall,10,-0.04000000000000002,-0.20459830184009567
logreg_fedavg,fedprox_mu_0p001,total_comm_until_stop,10,435885336.0,8.039610104078164
logreg_fedavg,fedprox_mu_0p001,stopped_round,10,-41.4,-7.880355321936718
logreg_fedavg,fedprox_mu_0p01,final_loss,10,-0.08495432800716825,-4.732023354524669
logreg_fedavg,fedprox_mu_0p01,final_accuracy,10,0.013475437959035242,1.4284575430803148
logreg_fedavg,fedprox_mu_0p01,final_auroc,10,0.013595563837765213,2.084200124700717
logreg_fedavg,fedprox_mu_0p01,final_auprc,10,0.058951998453183094,3.7606718526689944
logreg_fedavg,fedprox_mu_0p01,final_worst_client_accuracy,10,0.02353082299232483,1.0742281782338774
