group,metric,n,mean,std,ci95_low,ci95_high
fedprox_mu_0p0,final_loss,10,0.3691415157583025,0.03743425164122995,0.34593952621102664,0.3923435053055784
fedprox_mu_0p0,final_accuracy,10,0.8886288305123647,0.016092879979566987,0.8786543601623222,0.8986033008624073
fedprox_mu_0p0,final_auroc,10,0.8902007266617737,0.00851001404201612,0.8849261653123875,0.8954752880111599
fedprox_mu_0p0,final_auprc,10,0.636322336945897,0.009834822417532647,0.6302266508582505,0.6424180230335436
fedprox_mu_0p0,final_worst_client_accuracy,10,0.8198565244674683,0.022739984923874763,0.8057621357892706,0.8339509131456659
fedprox_mu_0p0,final_worst_client_recall,10,0.19,0.13703203194062977,0.10506666666666668,0.2749333333333333
fedprox_mu_0p0,total_comm_until_stop,10,442254440.0,71168675.72927853,398143637.78095686,486365242.21904314
fedprox_mu_0p0,stopped_round,10,36.5,5.873670062235365,32.85946157828268,40.14053842171732
fedprox_mu_0p001,final_loss,10,0.38555736078156366,0.02385652795459099,0.3707709315631665,0.40034378999996084
fedprox_mu_0p001,final_accuracy,10,0.8791234334309896,0.009952959157561447,0.8729545254332708,0.8852923414287085
fedprox_mu_0p001,final_auroc,10,0.901940767696896,0.004509028483967007,0.8991460428882894,0.9047354925055027
fedprox_mu_0p001,final_auprc,10,0.6510813728486357,0.006160148349237543,0.6472632733450447,0.6548994723522266
fedprox_mu_0p001,final_worst_client_accuracy,10,0.8148416876792908,0.013605011882109615,0.8064092139516311,0.8232741614069504
fedprox_mu_0p001,final_worst_client_recall,10,0.41,0.17919573407620815,0.29893333333333333,0.5210666666666666
fedprox_mu_0p001,total_comm_until_stop,10,442254440.0,54262111.02413994,408622435.14889807,475886444.85110193
fedprox_mu_0p001,stopped_round,10,36.5,4.478342947514801,33.72429428393026,39.27570571606974
fedprox_mu_0p01,final_loss,10,0.3012536982695262,0.01247502408333641,0.29352159823564195,0.30898579830341044
fedprox_mu_0p01,final_accuracy,10,0.8612186902099186,0.009993210996116154,0.8550248338641906,0.8674125465556466
fedprox_mu_0p01,final_auroc,10,0.9081475068047766,0.006319962144424045,0.904230353684702,0.9120646599248513
fedprox_mu_0p01,final_auprc,10,0.6598514166383792,0.011935685562261074,0.652453602083162,0.6672492311935964
fedprox_mu_0p01,final_worst_client_accuracy,10,0.7835763812065124,0.018595767946604714,0.7720506048224727,0.7951021575905521
fedprox_mu_0p01,final_worst_client_recall,10,0.49000000000000005,0.08755950357709129,0.43573005742893534,0.5442699425710648
fedprox_mu_0p01,total_comm_until_stop,10,592499784.0,195911449.27833468,471072609.7128787,713926958.2871213
fedprox_mu_0p01,stopped_round,10,48.9,16.168900189355284,38.87841183577506,58.921588164224936
fedprox_mu_0p1,final_loss,10,0.29826513636443347,0.014504425099521668,0.2892752005491361,0.30725507217973086
fedprox_mu_0p1,final_accuracy,10,0.841865462064743,0.009709568417771118,0.8358474092104538,0.8478835149190322
fedprox_mu_0p1,final_auroc,10,0.9128119596527926,0.0011533346187494597,0.9120971154500769,0.9135268038555083
fedprox_mu_0p1,final_auprc,10,0.665326247870527,0.0050799025550562794,0.6621776916468524,0.6684748040942016
fedprox_mu_0p1,final_worst_client_accuracy,10,0.7543730556964874,0.015996916021531925,0.7444580644238573,0.7642880469691175
fedprox_mu_0p1,final_worst_client_recall,10,0.5,0.047140452079103154,0.4707820450940028,0.5292179549059972
fedprox_mu_0p1,total_comm_until_stop,10,427714568.0,120226291.42375776,353197540.5552885,502231595.4447115
fedprox_mu_0p1,stopped_round,10,35.3,9.922477289243627,29.149984860000565,41.45001513999943
logreg_fedavg,final_loss,10,0.38620802627669437,0.014347110270242509,0.3773155952027646,0.39510045735062416
logreg_fedavg,final_accuracy,10,0.8477432522508833,0.0033395370885771123,0.8456733857189032,0.8498131187828635
logreg_fedavg,final_auroc,10,0.8945519429670113,0.0012840518547196141,0.8937560793820546,0.8953478065519681
logreg_fedavg,final_auprc,10,0.6008994181851962,0.010024712320543031,0.5946860371163061,0.6071127992540863
logreg_fedavg,final_worst_client_accuracy,10,0.7600455582141876,0.01002837615819261,0.7538299062751953,0.7662612101531799
logreg_fedavg,final_worst_client_recall,10,0.45,0.07071067811865474,0.40617306764100414,0.4938269323589959
logreg_fedavg,total_comm_until_stop,10,6369104.0,289578.68994646537,6189621.268472607,6548586.731527393
logreg_fedavg,stopped_round,10,77.9,3.541813722437199,75.70476111145558,80.09523888854443
logreg_cvar_0.5,final_loss,10,0.38828244780500726,0.02114621108020263,0.37517589038936583,0.4013890052206487
logreg_cvar_0.5,final_accuracy,10,0.845845635732015,0.00528424247614254,0.8425704283131041,0.8491208431509258
logreg_cvar_0.5,final_auroc,10,0.8935079849469805,0.002147921268516774,0.8921766895521072,0.8948392803418538
