run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc
centralized,41,,1,0.4307124962409337,0.8540712528758578,0.7593475580215454,0,0,0,,0.4307124962409337,,0,False,0.9137697359239065,0.6501611931079376,0.8306181864358541,0.8364508393285371,0.824785533543171,0.5,0.23980223920148824
centralized,41,,2,0.38030967116355896,0.8361106846067641,0.7375156879425049,0,0,0,,0.38030967116355896,,0,False,0.9169349134652656,0.6612039696696707,0.8344617325950385,0.8772182254196643,0.7917052397704128,0.5,0.2973229541453737
centralized,41,,3,0.49039782997634673,0.8602884610493978,0.7771643400192261,0,0,0,,0.38030967116355896,,1,False,0.9128249927367863,0.6532685144932299,0.828109991177582,0.8244604316546763,0.8317595507004876,0.4,0.18759309375508218
centralized,41,,4,0.3363896674580044,0.8732010722160339,0.804767906665802,0,0,0,,0.3363896674580044,,0,False,0.9160616553970303,0.6617299018901749,0.829208819576444,0.8043165467625899,0.8541010923902981,0.5,0.2236015840134309
centralized,41,,5,0.3570934426453378,0.8594522542423673,0.7741530537605286,0,0,0,,0.3363896674580044,,1,False,0.9136047429414363,0.6502656811813096,0.8287888778035154,0.8244604316546763,0.8331173239523545,0.3,0.15054763115690328
centralized,41,,6,0.37182285885016125,0.851395865281423,0.7662665843963623,0,0,0,,0.3363896674580044,,2,False,0.9056831705529855,0.6284353433636334,0.8190103795504606,0.8158273381294964,0.822193420971425,0.5,0.24609909357157397
centralized,41,,7,0.3192691488398446,0.8875821431477865,0.8313329219818115,0,0,0,,0.3192691488398446,,0,False,0.9084481498304411,0.6399853277473364,0.8121784446170152,0.7390887290167866,0.8852681602172437,0.5,0.21169145693285046
centralized,41,,8,0.32721718814637923,0.8920718497700162,0.829437792301178,0,0,0,,0.3192691488398446,,1,False,0.9054196080277047,0.6281551682575297,0.8066955359985295,0.7237410071942446,0.8896500648028143,0.5,0.26832455416119766
centralized,41,,9,0.3490490780936347,0.8809048665894402,0.8190145492553711,0,0,0,,0.3192691488398446,,2,False,0.903810186437038,0.6220561756415495,0.7997902955177054,0.7232613908872901,0.8763192001481207,0.5,0.24646415481884323
centralized,41,,10,0.3613664334019025,0.8934021923277113,0.8398995995521545,0,0,0,,0.3192691488398446,,3,False,0.8974877494782548,0.6093495475451595,0.7878134300558073,0.6752997601918466,0.9003270999197679,0.2,0.1924208069324384
centralized,41,,11,0.3562803881035911,0.8841204245885214,0.8361355066299438,0,0,0,,0.3192691488398446,,4,False,0.8980778051138056,0.6152652606312718,0.7813386099119224,0.6623501199040768,0.9003270999197679,0.5,0.1677277548233781
centralized,41,,12,0.4074842416577869,0.8849978910552131,0.8245922327041626,0,0,0,,0.3192691488398446,,5,False,0.8972520113884822,0.5938047499971337,0.7778639003257679,0.6657074340527578,0.890020366598778,0.2,0.20845599186788508
centralized,41,,13,0.3755665785736508,0.8912707964579264,0.8382817506790161,0,0,0,,0.3192691488398446,,6,False,0.8983295422539953,0.6064058801846356,0.7877684521518131,0.6762589928057554,0.8992779114978707,0.2,0.2422188499185028
centralized,41,,14,0.8741104876001676,0.8978000415696038,0.8445988893508911,0,0,0,,0.3192691488398446,,7,False,0.8915647855720238,0.5975944580010866,0.7624653841081921,0.6091127098321343,0.9158180583842498,0.2,0.16278745602628425
centralized,41,,15,0.48589885069264305,0.8888025416268243,0.8401505351066589,0,0,0,,0.3192691488398446,,8,True,0.9015558447520821,0.611306422939089,0.7896374994061407,0.6834532374100719,0.8958217614022095,0.3,0.21190476190476187
