run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,drift_mean_update_norm,drift_avg_update_norm
cvar_0.5,29,0.5,1,0.5726974887980355,0.7778017785814073,0.6170065402984619,2208040,2208040,4416080,8 1 2 4 5,0.5726974887980355,1,0,False,0.8758712563369042,0.5654332831390019,0.7835948756269933,0.8570743405275779,0.7101154107264087,0.6,0.2585216308745721,7.819595623016357,7.147756099700928
cvar_0.5,29,0.5,2,0.6484906789329317,0.776843375629849,0.6180435419082642,2208040,2208040,4416080,4 1 8 2 3,0.5726974887980355,1,1,False,0.8894026493302674,0.5932157695178942,0.8022787324667205,0.8959232613908873,0.7086342035425538,0.7,0.21261588729905104,8.668935394287109,5.976316928863525
cvar_0.5,29,0.5,3,0.5896137671338187,0.814174599117703,0.6943538188934326,2208040,2208040,4416080,6 0 7 8 3,0.5726974887980355,1,2,False,0.9037667181566725,0.6314125155715862,0.8235527482476155,0.882494004796163,0.7646114916990681,0.6,0.22175744699102087,8.640100574493408,5.367545127868652
cvar_0.5,29,0.5,4,0.577427089214325,0.8174911141395569,0.7239648699760437,2208040,2208040,4416080,3 5 0 8 2,0.5726974887980355,1,3,False,0.900775280534691,0.632040939635482,0.8230273548241577,0.8762589928057554,0.76979571684256,0.6,0.23615783081464098,8.544826173782349,5.24839448928833
cvar_0.5,29,0.5,5,0.5725579228666093,0.8194988038804796,0.7219573259353638,2208040,2208040,4416080,8 6 7 5 1,0.5726974887980355,1,4,False,0.9050245750446486,0.6365403384323398,0.8295534133700261,0.8815347721822542,0.777572054557798,0.6,0.22094023020147185,6.9684406280517575,5.405930519104004
cvar_0.5,29,0.5,6,0.5787948022286097,0.8245179586940341,0.740276038646698,2208040,2208040,4416080,7 2 1 3 5,0.5726974887980355,1,5,False,0.903759362441541,0.642146747997376,0.8268132688812846,0.874820143884892,0.778806393877677,0.6,0.2382376763021924,8.514633083343506,5.934689998626709
cvar_0.5,29,0.5,7,0.5236088583866755,0.7981336977746751,0.5979951620101929,2208040,2208040,4416080,8 3 4 5 7,0.5236088583866755,7,0,False,0.8960104495555564,0.6287606784800135,0.8056126918498528,0.8685851318944844,0.7426402518052213,0.6,0.1989123894160172,7.262308168411255,5.360349655151367
cvar_0.5,29,0.5,8,0.6036957146392928,0.7756605876816643,0.46664363145828247,2208040,2208040,4416080,4 8 7 1 3,0.5236088583866755,7,1,False,0.8922501694996531,0.6240693505437009,0.7937144156180332,0.8781774580335732,0.7092513732024933,0.6,0.20683934592915176,8.223557090759277,5.017470359802246
cvar_0.5,29,0.5,9,0.49723438753022087,0.7805420325862037,0.4141030013561249,2208040,2208040,4416080,7 2 6 8 5,0.49723438753022087,9,0,False,0.8902971161304617,0.6282842999483309,0.7888141773195034,0.871462829736211,0.7061655249027958,0.5,0.2283658797300122,7.492003440856934,7.136359691619873
cvar_0.5,29,0.5,10,0.38528116626871955,0.8399208651648628,0.7387703657150269,2208040,2208040,4416080,7 6 8 4 0,0.38528116626871955,10,0,False,0.9005101491848551,0.6427132771780836,0.8234263394690653,0.8407673860911271,0.8060852928470036,0.6,0.21842137834170738,7.606454086303711,5.379443168640137
cvar_0.5,29,0.5,11,0.48087892598576015,0.8110331694285074,0.6768060922622681,2208040,2208040,4416080,5 2 7 1 6,0.38528116626871955,10,1,False,0.8914182632786567,0.6247209163313578,0.8039873156094639,0.8364508393285371,0.7715237918903907,0.6,0.24184654344193818,7.437513113021851,6.83378267288208
cvar_0.5,29,0.5,12,0.4700571480724547,0.8368431660864089,0.7457967400550842,2208040,2208040,4416080,1 6 8 3 5,0.38528116626871955,10,2,False,0.906560261881219,0.6505425438026655,0.8264177918912787,0.8450839328537171,0.8077516509288404,0.6,0.1963885883083475,7.047345781326294,5.915536403656006
cvar_0.5,29,0.5,13,0.49319574733575183,0.7812929054101309,0.41686829924583435,2208040,2208040,4416080,7 4 8 5 1,0.38528116626871955,10,3,False,0.8846417700129844,0.6132213661539542,0.7855980573807941,0.8551558752997602,0.716040239461828,0.6,0.21009490171990172,6.923724365234375,5.3586106300354
cvar_0.5,29,0.5,14,0.4306539512342877,0.7992989619572958,0.6135499477386475,2208040,2208040,4416080,5 3 8 2 0,0.38528116626871955,10,4,False,0.8924968449606173,0.6258426000938595,0.8003881508753374,0.8503597122302158,0.7504165895204592,0.6,0.26032333182554124,8.711566495895386,5.40244197845459
cvar_0.5,29,0.5,15,0.44922422038184273,0.8395119839244418,0.7427854537963867,2208040,2208040,4416080,0 6 3 4 1,0.38528116626871955,10,5,False,0.9063015094312257,0.6465137172982206,0.8233928613450657,0.8388489208633093,0.8079368018268221,0.6,0.2875397744461225,7.599084281921387,5.170980453491211
cvar_0.5,29,0.5,16,0.46080710159407723,0.824662552939521,0.7386363744735718,2208040,2208040,4416080,6 2 7 0 5,0.38528116626871955,10,6,False,0.897743689884234,0.6309888059152371,0.8182015764910753,0.8393285371702638,0.7970746158118867,0.6,0.281978694596277,7.708197498321534,6.1875081062316895
cvar_0.5,29,0.5,17,0.3543621243702041,0.8454474343193902,0.7520702481269836,2208040,2208040,4416080,0 4 8 6 7,0.3543621243702041,17,0,False,0.8982137896422355,0.6359138218144206,0.8170707351911473,0.8134292565947242,0.8207122137875702,0.6,0.23018968240317278,7.46767292022705,4.984365463256836
cvar_0.5,29,0.5,18,0.38495196733209824,0.844472779168023,0.759096622467041,2208040,2208040,4416080,0 8 4 7 1,0.3543621243702041,17,1,False,0.8976000092353446,0.6312304111337735,0.8194643766564235,0.8206235011990408,0.8183052521138061,0.6,0.22946188342835472,8.131514549255371,4.884340763092041
cvar_0.5,29,0.5,19,0.4483576367298762,0.829622122976515,0.7503136992454529,2208040,2208040,4416080,2 7 8 1 0,0.3543621243702041,17,2,False,0.8964321081553569,0.6283659155598391,0.8153662369123402,0.830695443645084,0.8000370301795964,0.6,0.22283435508129867,9.521164321899414,4.563262462615967
