run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,drift_mean_update_norm,drift_avg_update_norm
cvar_0,47,0,1,0.6370795683728324,0.7841826213730706,0.5454545617103577,2208040,2208040,4416080,5 1 3 4 6,0.6370795683728324,1,0,False,0.8759177142640637,0.5761183098578685,0.778476008306482,0.8484412470023981,0.7085107696105659,0.3,0.19193684326748192,6.553051090240478,6.980114459991455
cvar_0,47,0,2,0.6144190289907985,0.7860090004073249,0.533010721206665,2208040,2208040,4416080,5 4 7 3 8,0.6144190289907985,2,0,False,0.8813529513363944,0.5820091546326663,0.7932860377130623,0.8695443645083932,0.7170277109177313,0.5,0.1722912836933172,7.202319002151489,5.7737202644348145
cvar_0,47,0,3,0.5334258940484788,0.8245246675279405,0.7101631164550781,2208040,2208040,4416080,0 6 5 8 7,0.5334258940484788,3,0,False,0.8933369061092545,0.6115738498416137,0.8109260342142874,0.8388489208633093,0.7830031475652657,0.4,0.19252146938951176,7.204564476013184,5.649363994598389
cvar_0,47,0,4,0.6228848066594865,0.8253098593817817,0.7111668586730957,2208040,2208040,4416080,0 4 6 3 7,0.5334258940484788,3,1,False,0.9036263083589783,0.6351969144270034,0.8242961934840204,0.8676258992805755,0.7809664876874652,0.5,0.16813308086705972,7.728835582733154,5.436960220336914
cvar_0,47,0,5,0.6471150939663252,0.8131002850002713,0.6938519477844238,2208040,2208040,4416080,0 5 4 3 1,0.5334258940484788,3,2,False,0.9060391309244772,0.6367452922837401,0.8229708771401689,0.8800959232613909,0.7658458310189471,0.6,0.1974589451636035,7.034007787704468,5.301366806030273
cvar_0,47,0,6,0.6120389095611043,0.8373279107941521,0.7367628812789917,2208040,2208040,4416080,3 5 8 1 0,0.5334258940484788,3,3,False,0.9042427380073352,0.6396850723884163,0.8264565092972835,0.8508393285371703,0.8020736900573968,0.6,0.19104732661211066,8.056627082824708,4.852128028869629
cvar_0,47,0,7,0.6041171037488513,0.8266815543174744,0.7407779097557068,2208040,2208040,4416080,8 5 7 6 2,0.5334258940484788,3,4,False,0.9049887140833528,0.6456162032290407,0.8250676555589448,0.8676258992805755,0.782509411837314,0.6,0.24117438881461892,7.604124450683594,6.232102394104004
cvar_0,47,0,8,0.6437218536933264,0.8184361192915175,0.7191969752311707,2208040,2208040,4416080,5 3 1 8 0,0.5334258940484788,3,5,False,0.907771261235781,0.6407943536457369,0.825049895280961,0.8772182254196643,0.7728815651422576,0.6,0.24092325791147662,8.147026634216308,5.119675159454346
cvar_0,47,0,9,0.636518657207489,0.830247269736396,0.7362609505653381,2208040,2208040,4416080,2 5 0 8 4,0.5334258940484788,3,6,False,0.9063681844748235,0.6421279435084254,0.8256699065853779,0.8623501199040767,0.788989693266679,0.6,0.2489115708157282,7.397473764419556,5.772777557373047
cvar_0,47,0,10,0.6217538250817193,0.8272248109181722,0.7337515950202942,2208040,2208040,4416080,6 4 0 5 1,0.5334258940484788,3,7,False,0.9038244242598886,0.6276101710875158,0.8206260764393485,0.8465227817745803,0.7947293711041166,0.6,0.19731167818107234,5.93083348274231,5.5720086097717285
cvar_0,47,0,11,0.5351719922489591,0.8405932717853122,0.7548305988311768,2208040,2208040,4416080,5 3 7 8 0,0.5334258940484788,3,8,True,0.9084132064835079,0.6463252928581001,0.8300193542629329,0.8498800959232614,0.8101586126026045,0.6,0.20971771140888787,8.508357667922974,5.138895511627197
