run_type,seed,alpha,max_rounds,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop
fedavg_default,7,,1000,185,True,156,0.08394025854455928,0.08421621018399796,0.9691395163536072,0.8888888955116272,1192613600
fedavg_default,11,,1000,229,True,228,0.07902248275155822,0.09135647239163518,0.9692709704240163,0.8815789222717285,1476262240
fedavg_default,19,,1000,278,True,271,0.07266066427497814,0.07483170403478047,0.9723605891068776,0.9078947305679321,1792143680
fedavg_default,23,,1000,200,True,198,0.08389215685116748,0.08476767099152009,0.9701919019222259,0.8815789222717285,1289312000
fedavg_default,29,,1000,234,True,226,0.08044824711202334,0.0820760344232743,0.9695634484291077,0.9054054021835327,1508495040
fedavg_default,31,,1000,196,True,191,0.08376917099424948,0.08433899494508902,0.9687455058097839,0.8888888955116272,1263525760
fedavg_default,37,,1000,226,True,196,0.07990846064252158,0.10588110718720903,0.9593068857987722,0.8518518805503845,1456922560
fedavg_default,41,,1000,253,True,250,0.07295674063110104,0.07425449131987989,0.9731411774953206,0.90625,1630979680
fedavg_default,43,,1000,234,True,223,0.07777579701505602,0.0805422868191575,0.9729757567246755,0.8947368264198303,1508495040
fedavg_default,47,,1000,229,True,213,0.07683064914308488,0.07880488839000463,0.9723864972591401,0.9054054021835327,1476262240
cvar_0,7,0,1000,186,True,186,0.08930920201043288,0.08930920201043288,0.9635677893956502,0.8024691343307495,1199060160
cvar_0,11,0,1000,203,True,199,0.08071078954574963,0.08787723439745605,0.9698610246181488,0.8815789222717285,1308651680
cvar_0,19,0,1000,273,True,243,0.07222216338850558,0.07977607606444508,0.9742822309335073,0.8947368264198303,1759910880
cvar_0,23,0,1000,200,True,170,0.08069040163730581,0.0819108585206171,0.9716622352600097,0.9078947305679321,1289312000
cvar_0,29,0,1000,234,True,226,0.08044824711202334,0.0820760344232743,0.9695634484291077,0.9054054021835327,1508495040
cvar_0,31,0,1000,196,True,191,0.08376917099424948,0.08433899494508902,0.9687455058097839,0.8888888955116272,1263525760
cvar_0,37,0,1000,226,True,196,0.07990846064252158,0.10588110718720903,0.9593068857987722,0.8518518805503845,1456922560
cvar_0,41,0,1000,253,True,250,0.07295674063110104,0.07425449131987989,0.9731411774953206,0.90625,1630979680
cvar_0,43,0,1000,234,True,223,0.07777579701505602,0.0805422868191575,0.9729757567246755,0.8947368264198303,1508495040
cvar_0,47,0,1000,229,True,213,0.07683064914308488,0.07880488839000463,0.9723864972591401,0.9054054021835327,1476262240
cvar_0.5,7,0.5,1000,186,True,156,0.08845594238179426,0.08955973683235546,0.965354053179423,0.790123462677002,1199060160
cvar_0.5,11,0.5,1000,203,True,173,0.08227290889869134,0.09113642033189535,0.9693930427233378,0.8815789222717285,1308651680
cvar_0.5,19,0.5,1000,273,True,243,0.0724780666641891,0.0803029946439589,0.9746334652105967,0.8947368264198303,1759910880
cvar_0.5,23,0.5,1000,200,True,170,0.08009682460688054,0.08198442032250265,0.9724171539147695,0.8947368264198303,1289312000
