label,support,error_rate,recall
WALKING,432,0.08101851851851852,0.9189814814814815
WALKING_UPSTAIRS,384,0.013020833333333334,0.9869791666666666
WALKING_DOWNSTAIRS,335,0.2716417910447761,0.7283582089552239
SITTING,478,0.16527196652719664,0.8347280334728033
STANDING,474,0.07383966244725738,0.9261603375527426
LAYING,481,0.058212058212058215,0.9417879417879418
