run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,drift_mean_update_norm,drift_avg_update_norm
cvar_0,37,0,1,0.5634810957643721,0.7454211612542471,0.49325957894325256,6058280,6058280,12116560,1 0 5 2 3,0.5634810957643721,1,0,False,0.8778097018774539,0.5947363920375419,0.7717889528406898,0.883453237410072,0.6601246682713078,0.7,0.34053198347662955,14.420570278167725,10.374502182006836
cvar_0,37,0,2,0.43524837659464943,0.7720411618550619,0.5855513215065002,6058280,6058280,12116560,8 1 5 3 4,0.43524837659464943,2,0,False,0.8893525653463529,0.6089639607391638,0.791721712428243,0.8877697841726618,0.695673640683824,0.6,0.3673243130513916,11.246534061431884,9.09704303741455
cvar_0,37,0,3,0.3977332678106096,0.790612002213796,0.5782924294471741,6058280,6058280,12116560,4 6 5 3 7,0.3977332678106096,3,0,False,0.8901461389673673,0.625914453024407,0.7972924012206639,0.8657074340527577,0.72887736838857,0.4,0.3596759941089838,9.97153968811035,9.630133628845215
cvar_0,37,0,4,0.4237733218404982,0.822124613655938,0.7370138168334961,6058280,6058280,12116560,2 0 7 3 6,0.3977332678106096,3,1,False,0.9001572524613155,0.6541304385457393,0.8143396040434825,0.8585131894484412,0.7701660186385237,0.4,0.3229331363333178,14.241195487976075,8.617776870727539
cvar_0,37,0,5,0.4152439567777846,0.7783011164930131,0.4749394953250885,6058280,6058280,12116560,8 4 2 5 3,0.3977332678106096,3,2,False,0.8873855405584807,0.6225152711287163,0.7915755009397407,0.8767386091127098,0.7064123927667716,0.5,0.3293537960585751,12.064890956878662,9.6035795211792
cvar_0,37,0,6,0.42582008242607117,0.855740831957923,0.7626097798347473,6058280,6058280,12116560,5 0 6 4 8,0.3977332678106096,3,3,False,0.8997942027788619,0.6436958596060609,0.8157545209897625,0.8043165467625899,0.8271924952169352,0.4,0.33557669191649775,10.064022827148438,9.581759452819824
cvar_0,37,0,7,0.37634050183826023,0.8469127350383334,0.7407779097557068,6058280,6058280,12116560,3 6 0 7 5,0.37634050183826023,7,0,False,0.9071943926066331,0.660817979868099,0.8229987607766036,0.8383693045563549,0.8076282169968524,0.5,0.3477701465201465,11.876709842681885,8.991262435913086
cvar_0,37,0,8,0.3773568852080239,0.8476615746816,0.7372647523880005,6058280,6058280,12116560,8 5 0 7 4,0.37634050183826023,7,1,False,0.9038276359101572,0.657213439011203,0.8218376382027132,0.8354916067146283,0.808183669690798,0.4,0.3234857859857859,11.342992973327636,8.538272857666016
cvar_0,37,0,9,0.3418683467639817,0.8586242397626241,0.7593475580215454,6058280,6058280,12116560,3 0 2 6 4,0.3418683467639817,9,0,False,0.9065633107289395,0.6626578210145264,0.8232387909335557,0.822062350119904,0.8244152317472073,0.4,0.3522503857300543,12.715017986297607,9.324145317077637
cvar_0,37,0,10,0.3549957987334993,0.8604650894800822,0.7754077911376953,6058280,6058280,12116560,2 0 5 7 1,0.3418683467639817,9,1,False,0.907454314274927,0.6636932679203562,0.8239477368299768,0.8158273381294964,0.8320681355304573,0.4,0.32761507456519423,13.624761581420898,8.649113655090332
