run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,drift_mean_update_norm,drift_avg_update_norm
cvar_0.75,23,0.75,1,0.5296676887406243,0.8517864280276828,0.7515683770179749,6058280,6058280,12116560,4 1 0 8 2,0.5296676887406243,1,0,False,0.8901831395465001,0.6047596063624225,0.8010088281901788,0.7851318944844125,0.8168857618959452,0.4,0.3065343045218213,14.494785118103028,9.62159252166748
cvar_0.75,23,0.75,2,0.43635111716058517,0.7875718937979804,0.6256481409072876,6058280,6058280,12116560,6 8 4 2 1,0.43635111716058517,2,0,False,0.8865017447253084,0.6177010612057111,0.7905458932243208,0.8628297362110312,0.7182620502376104,0.6,0.33110955581885815,11.815004348754883,9.175108909606934
cvar_0.75,23,0.75,3,0.43749795191817814,0.8189339770211114,0.7043914794921875,6058280,6058280,12116560,3 4 8 0 1,0.43635111716058517,2,1,False,0.9004319743612628,0.6348014736360822,0.814518494443475,0.8652278177458034,0.7638091711411467,0.5,0.37783077099264867,13.203419971466065,7.844339370727539
cvar_0.75,23,0.75,4,0.43132979836728835,0.8229400316874186,0.7101631164550781,6058280,6058280,12116560,7 0 8 6 3,0.43132979836728835,4,0,False,0.9046416042503898,0.6529705546349871,0.8248453856799767,0.8743405275779377,0.7753502437820157,0.5,0.3703571222165008,13.576057052612304,7.884987831115723
cvar_0.75,23,0.75,5,0.36794379519091713,0.8472640845510695,0.7277289628982544,6058280,6058280,12116560,6 0 4 5 3,0.36794379519091713,5,0,False,0.9031511617219832,0.6491727195356016,0.8149140602348708,0.8215827338129497,0.8082453866567919,0.4,0.3587075379313731,10.07825813293457,9.020560264587402
cvar_0.75,23,0.75,6,0.4084431164794498,0.8393690586090088,0.7284818291664124,6058280,6058280,12116560,5 0 1 7 4,0.36794379519091713,5,1,False,0.9033576397537775,0.6539837330646006,0.8227676107586437,0.8498800959232614,0.7956551255940258,0.4,0.26285012338055946,11.213289642333985,9.42382526397705
cvar_0.75,23,0.75,7,0.44707923465304905,0.8002585967381796,0.6629796028137207,6058280,6058280,12116560,5 2 4 1 7,0.36794379519091713,5,2,False,0.8972572062697927,0.6472093299454467,0.8067596950027462,0.8724220623501199,0.7410973276553725,0.6,0.3358614700766226,11.662572860717773,11.686756134033203
cvar_0.75,23,0.75,8,0.4382578200764126,0.7945058014657762,0.5101970434188843,6058280,6058280,12116560,5 4 8 2 7,0.36794379519091713,5,3,False,0.8886949170528416,0.6396496263669017,0.7956464230578137,0.8580335731414868,0.7332592729741406,0.5,0.3180334586504168,11.826784038543702,9.16832160949707
cvar_0.75,23,0.75,9,0.4234034948878818,0.8266616861025492,0.748306155204773,6058280,6058280,12116560,1 7 8 5 3,0.36794379519091713,5,4,False,0.9033979851852642,0.6549596195304981,0.8213567786762999,0.8618705035971223,0.7808430537554774,0.5,0.3316934790016185,13.03086814880371,8.152252197265625
cvar_0.75,23,0.75,10,0.4480194416311052,0.8139204912715488,0.5679225921630859,6058280,6058280,12116560,7 2 1 6 4,0.36794379519091713,5,5,False,0.8858950684296109,0.6249801281642475,0.7971218137506288,0.8311750599520383,0.7630685675492193,0.4,0.3367131421946769,11.841267585754395,8.572628021240234
cvar_0.75,23,0.75,11,0.338170674112108,0.8563038839234246,0.7661229372024536,6058280,6058280,12116560,5 3 4 0 8,0.338170674112108,11,0,False,0.9044495712446889,0.6587845495346644,0.82551343853634,0.8268585131894485,0.8241683638832314,0.5,0.330821489253256,11.90032434463501,8.740175247192383
cvar_0.75,23,0.75,12,0.3629746321174834,0.8549777732955085,0.7646173238754272,6058280,6058280,12116560,1 6 0 4 2,0.338170674112108,11,1,False,0.9068847569602158,0.6599092964967657,0.8235120772110325,0.8244604316546763,0.8225637227673888,0.5,0.34655571902918997,12.084704971313476,8.684268951416016
cvar_0.75,23,0.75,13,0.3829274806711409,0.8580165836546156,0.7804266214370728,6058280,6058280,12116560,4 5 0 2 7,0.338170674112108,11,2,False,0.9049801003485306,0.6608772193138771,0.8239406771194783,0.8163069544364508,0.8315743998025057,0.5,0.36580808080808086,11.833227348327636,8.724553108215332
cvar_0.75,23,0.75,14,0.3798861371146308,0.8419300847583346,0.7575909495353699,6058280,6058280,12116560,8 4 6 3 7,0.338170674112108,11,3,False,0.9058173642533853,0.6626525135234943,0.8253968423113758,0.8431654676258993,0.8076282169968524,0.5,0.35189856205444225,12.163658142089844,8.588432312011719
cvar_0.75,23,0.75,15,0.37946312295065987,0.8487216366661919,0.7515683770179749,6058280,6058280,12116560,3 4 1 0 7,0.338170674112108,11,4,False,0.9083866252674586,0.666674123566608,0.8245055871614503,0.8345323741007195,0.8144788002221811,0.5,0.31258291803591143,13.481060218811034,8.449764251708984
cvar_0.75,23,0.75,16,0.3426569551229477,0.8622540235519409,0.797992467880249,6058280,6058280,12116560,1 7 8 2 4,0.338170674112108,11,5,False,0.9036873149138531,0.6591983893897787,0.8168170296201476,0.7971223021582734,0.8365117570820219,0.4,0.31786448134923745,13.349534797668458,10.192995071411133
cvar_0.75,23,0.75,17,0.4330786135461595,0.8285820285479227,0.6557207107543945,6058280,6058280,12116560,2 1 3 7 6,0.338170674112108,11,6,False,0.895843458541813,0.6468399613321891,0.808036037380057,0.829736211031175,0.786335863728939,0.4,0.2709598195262653,14.061795425415038,8.30104923248291
