run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc
centralized,11,,1,0.34187598360909355,0.8569138977262709,0.7747946977615356,0,0,0,,0.34187598360909355,,0,False,0.909983096655429,0.660403200752598,0.829622856056943,0.830695443645084,0.8285502684688021,0.5,0.34448442913081073
centralized,11,,2,0.3216651264164183,0.8361831837230258,0.7381554245948792,0,0,0,,0.3216651264164183,,0,False,0.912532436557697,0.669445153153843,0.8278169021901531,0.8527577937649881,0.8028760106153181,0.6178861788617886,0.33380711238796934
centralized,11,,3,0.3433909821841452,0.8381550245814853,0.7352572083473206,0,0,0,,0.3216651264164183,,1,False,0.9115034356517747,0.6597354472496945,0.8284939683875931,0.8570743405275779,0.7999135962476085,0.6,0.28631249283704907
centralized,11,,4,0.3934490531682968,0.8296263549062941,0.7179422974586487,0,0,0,,0.3216651264164183,,2,False,0.9132141796283396,0.6723095955177217,0.8272727272727273,0.8666666666666667,0.7878787878787878,0.6341463414634146,0.2806166395320314
centralized,11,,5,0.27979424761401284,0.8782121804025438,0.7994314432144165,0,0,0,,0.27979424761401284,,0,False,0.9112527789284958,0.661340057311203,0.8237418508074488,0.7836930455635491,0.8637906560513485,0.5,0.28130355881630004
centralized,11,,6,0.26305127723349464,0.8935786485671997,0.8303853273391724,0,0,0,,0.26305127723349464,,0,False,0.9095476590399594,0.6553164732445972,0.8115269976205668,0.7309352517985611,0.8921187434425724,0.5,0.283825913764775
centralized,11,,7,0.25647468202643925,0.8944049146440294,0.8378921151161194,0,0,0,,0.25647468202643925,,0,False,0.9087503705608,0.6612798660700349,0.8129491074794303,0.7328537170263789,0.8930444979324816,0.4,0.2965271751520387
centralized,11,,8,0.31654606262842816,0.8753264943758646,0.8126974105834961,0,0,0,,0.25647468202643925,,1,False,0.9008571998168914,0.6404414293153841,0.8121473641305434,0.7558752997601919,0.8684194285008949,0.5,0.331694061739605
centralized,11,,9,0.2989061052600543,0.8828090826670328,0.8145545721054077,0,0,0,,0.25647468202643925,,2,False,0.8983234741590175,0.6244403633906149,0.8096444081542764,0.7477218225419664,0.8715669937665864,0.3,0.31501304043765865
centralized,11,,10,0.3061726805236604,0.8880598280164931,0.8336260914802551,0,0,0,,0.25647468202643925,,3,False,0.8992256814803664,0.6320300808726345,0.8004798827111241,0.7141486810551558,0.8868110843670926,0.2,0.16571506231340927
centralized,11,,11,0.3419615502158801,0.882388260629442,0.8243412971496582,0,0,0,,0.25647468202643925,,4,False,0.9018905519909197,0.6391863262172567,0.8087126151698527,0.7376498800959232,0.8797753502437821,0.5,0.2768153555135416
centralized,11,,12,0.28369054446617764,0.9011910292837355,0.8483891487121582,0,0,0,,0.25647468202643925,,5,False,0.8984049494342685,0.6334553392491151,0.785252397970533,0.6585131894484413,0.9119916064926248,0.3,0.34549019607843134
centralized,11,,13,0.4150632247328758,0.8855732083320618,0.8386363387107849,0,0,0,,0.25647468202643925,,6,False,0.8920670462334077,0.6081956903264976,0.7922497698933983,0.6925659472422062,0.8919335925445905,0.3,0.2944319005359341
centralized,11,,14,0.3277832137213813,0.8942700293329027,0.8332280516624451,0,0,0,,0.25647468202643925,,7,False,0.8975185191598619,0.6238726520546914,0.7920779392039045,0.6853717026378897,0.8987841757699192,0.3,0.2837719298245614
centralized,11,,15,0.4012775677773688,0.8866962459352281,0.8351231813430786,0,0,0,,0.25647468202643925,,8,False,0.8915642379634526,0.6156212081268698,0.7945270371371853,0.6992805755395683,0.8897734987348022,0.4,0.28642857142857137
centralized,11,,16,0.3248737214340104,0.9026215804947747,0.8542032837867737,0,0,0,,0.25647468202643925,,9,False,0.8912152041003745,0.6153580821097709,0.777530140301756,0.6359712230215827,0.9190890575819293,0.4,0.2813186813186813
centralized,11,,17,0.32922756257984376,0.9052671525213454,0.8521794080734253,0,0,0,,0.25647468202643925,,10,False,0.8796012551188451,0.6068467938051768,0.7642852353925044,0.6028776978417266,0.9256927729432821,0.2,0.16752036493971978
centralized,11,,18,0.3544024932715628,0.9012351367208693,0.848704993724823,0,0,0,,0.25647468202643925,,11,False,0.8897107605528242,0.610015201209206,0.771784423969804,0.6258992805755396,0.9176695673640684,0.4,0.3305877071754768
centralized,11,,19,0.35696983916891944,0.9021487567159865,0.8512318134307861,0,0,0,,0.25647468202643925,,12,False,0.8824983412640375,0.5941245244736859,0.7763839363613719,0.6383693045563549,0.914398568166389,0.2,0.1881134730035829
centralized,11,,20,0.411447674036026,0.9072041511535645,0.8614805340766907,0,0,0,,0.25647468202643925,,13,False,0.8744907647294494,0.6064073796291816,0.7594741536894536,0.5880095923261391,0.930938715052768,0.0,0.14186504258793414
centralized,11,,21,0.34771135118272567,0.904451953040229,0.8613636493682861,0,0,0,,0.25647468202643925,,14,False,0.8882597754420052,0.6169160266584062,0.7670889172757331,0.6052757793764988,0.9289020551749676,0.3,0.23728592982350594
centralized,11,,22,0.3034481588337157,0.9087976879543729,0.8566014170646667,0,0,0,,0.25647468202643925,,15,False,0.886732361934929,0.5997765277850572,0.7510941885262388,0.5640287769784172,0.9381596000740604,0.0,0.1632456140350877
centralized,11,,23,0.43866101569599575,0.9029617574479845,0.8547062277793884,0,0,0,,0.25647468202643925,,16,False,0.881435803033189,0.594890571376997,0.757166827175179,0.5875299760191847,0.9268036783311733,0.3,0.18822053804972316
centralized,11,,24,0.3555183410644531,0.9105337328381009,0.8635502457618713,0,0,0,,0.25647468202643925,,17,False,0.8678267828248047,0.5865010125454393,0.7420784942125914,0.5434052757793765,0.9407517126458064,0.1,0.17943452380952382
centralized,11,,25,0.3726539976067013,0.9082060323821174,0.8578647971153259,0,0,0,,0.25647468202643925,,18,False,0.8797285963119895,0.602406090617095,0.7564228047297397,0.5793764988009592,0.93346911065852,0.3,0.25531843536172655
centralized,11,,26,0.4494711309671402,0.9020516011450026,0.8506001234054565,0,0,0,,0.25647468202643925,,19,False,0.8658991118528988,0.5697947628122542,0.7547854847024066,0.5836930455635492,0.925877923841264,0.3,0.16150779618662006
centralized,11,,27,0.5172318236695396,0.8955563174353706,0.8335438966751099,0,0,0,,0.25647468202643925,,20,False,0.8762183069689407,0.5650499812397036,0.7673408024182394,0.6258992805755396,0.9087823242609393,0.2,0.18870035911569252
centralized,11,,28,0.37464218421114814,0.9043079747094048,0.860075831413269,0,0,0,,0.25647468202643925,,21,False,0.8759722087170106,0.5945753491693121,0.7576270847791309,0.5856115107913669,0.929642658766895,0.2,0.19093136593184515
centralized,11,,29,0.5020923846297793,0.9032052821583219,0.8604767918586731,0,0,0,,0.25647468202643925,,22,False,0.8773444269949712,0.5839947039016167,0.750881597998772,0.5721822541966427,0.9295809418009011,0.2,0.16026344915988852
centralized,11,,30,0.4305248045259052,0.9020586940977309,0.8584965467453003,0,0,0,,0.25647468202643925,,23,False,0.8747115101845574,0.5867316661657885,0.7640859650735253,0.6038369304556355,0.9243349996914152,0.2,0.17365701803916905
centralized,11,,31,0.4612417270739873,0.8983086546262106,0.8499372601509094,0,0,0,,0.25647468202643925,,24,False,0.8761781095397705,0.586867862165415,0.7642692955430139,0.6081534772182254,0.9203851138678023,0.2,0.12194868474383155
centralized,11,,32,0.3937687426805496,0.9078357881969876,0.861655056476593,0,0,0,,0.25647468202643925,,25,True,0.8743901527546709,0.5864057783813219,0.7481432739385236,0.5611510791366906,0.9351354687403567,0.2,0.1284632440730002
