run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc
grid_best_validated,11,,1,0.5451394385761685,0.8418145113521152,0.6242654919624329,3634968,3634968,7269936,7 8 3,0.5451394385761685,1,0,False,0.8754736481135402,0.5796065552647307,0.7828582236969173,0.758273381294964,0.8074430660988706,0.3,0.2843500297326334
grid_best_validated,11,,2,0.4921724713510937,0.764584524763955,0.4621500074863434,3634968,3634968,7269936,8 3 1,0.4921724713510937,2,0,False,0.8741174880869235,0.5500995330189687,0.7828883273681,0.8820143884892087,0.6837622662469913,0.5,0.3009395787332877
grid_best_validated,11,,3,0.45162998139858246,0.8342492712868584,0.7210507988929749,3634968,3634968,7269936,8 7 5,0.45162998139858246,3,0,False,0.8848574537888667,0.6064878864989914,0.8054590654452923,0.8182254196642685,0.7926927112263161,0.4,0.3577366048696762
grid_best_validated,11,,4,0.5054352366262012,0.8098011612892151,0.5015555024147034,3634968,3634968,7269936,2 1 3,0.45162998139858246,3,1,False,0.8813454032182511,0.6093199324189849,0.7923068691871165,0.841726618705036,0.7428871196691971,0.5,0.30593700023871473
grid_best_validated,11,,5,0.32658005505800247,0.8770630690786574,0.7914680242538452,3634968,3634968,7269936,4 2 0,0.32658005505800247,5,0,False,0.9010032041021505,0.6477292421854397,0.8132413084529599,0.7717026378896883,0.8547799790162316,0.4,0.32435628281797735
grid_best_validated,11,,6,0.2817198940449291,0.9113262428177727,0.849968433380127,3634968,3634968,7269936,8 0 4,0.2817198940449291,6,0,False,0.8945967166278088,0.6335188963469336,0.7796805547600432,0.6345323741007194,0.9248287354193668,0.2,0.32441727824677374
grid_best_validated,11,,7,0.2894208836886618,0.8898977835973104,0.8186986446380615,3634968,3634968,7269936,6 7 5,0.2817198940449291,6,1,False,0.9022968627504958,0.6503241789581214,0.8061903004905833,0.7266187050359713,0.8857618959451954,0.3,0.27615169871241974
grid_best_validated,11,,8,0.32842918154266143,0.8794132139947679,0.7959849238395691,3634968,3634968,7269936,2 0 6,0.2817198940449291,6,2,False,0.9006093847380898,0.6433373453990316,0.8147031569338123,0.7688249400479616,0.860581373819663,0.4,0.2784238208480632
grid_best_validated,11,,9,0.34291811618540025,0.8772958252165053,0.7904642224311829,3634968,3634968,7269936,8 1 0,0.2817198940449291,6,3,False,0.9019356630969988,0.6466761495786112,0.8121675220460551,0.7649880095923262,0.859347034499784,0.5,0.3316473228472942
grid_best_validated,11,,10,0.31888702346218956,0.896424757109748,0.8195734024047852,3634968,3634968,7269936,0 3 1,0.2817198940449291,6,4,False,0.8997470492408146,0.6455603995675276,0.8022741147944448,0.7117505995203837,0.8927976300685059,0.2,0.31469466594093765
