method,seed,round,client_id,update_norm,cosine_to_mean,distance_to_mean
cvar_0.5,29,1,17,0.4196305274963379,0.8728695511817932,0.20805047452449799
cvar_0.5,29,1,2,0.39816582202911377,0.8916824460029602,0.18654152750968933
cvar_0.5,29,1,11,0.4151821732521057,0.898852527141571,0.1844024956226349
cvar_0.5,29,1,19,0.5360551476478577,0.8724262714385986,0.2698284387588501
cvar_0.5,29,1,26,0.5218791961669922,0.9028750658035278,0.23445621132850647
cvar_0.5,29,1,9,0.40924349427223206,0.8199895024299622,0.24378952383995056
cvar_0.5,29,1,28,0.5574092864990234,0.864614725112915,0.2909432649612427
cvar_0.5,29,1,16,0.47328123450279236,0.8640071153640747,0.23835822939872742
cvar_0.5,29,1,27,0.4610678553581238,0.8887680172920227,0.21143950521945953
cvar_0.5,29,1,12,0.4283352196216583,0.8745014667510986,0.20970602333545685
cvar_0.5,29,2,13,0.49777862429618835,0.8095631003379822,0.2933248281478882
cvar_0.5,29,2,0,0.5552763938903809,0.8193234801292419,0.3194563388824463
cvar_0.5,29,2,1,0.47652289271354675,0.8862519860267639,0.22081483900547028
cvar_0.5,29,2,3,0.4436684250831604,0.8615136742591858,0.22996896505355835
cvar_0.5,29,2,14,0.45706793665885925,0.8959817886352539,0.203865647315979
cvar_0.5,29,2,20,0.6089087724685669,0.8980808854103088,0.2928057909011841
cvar_0.5,29,2,7,0.44331759214401245,0.8665165305137634,0.22568315267562866
cvar_0.5,29,2,11,0.4587285816669464,0.9187755584716797,0.18123555183410645
cvar_0.5,29,2,2,0.4580921530723572,0.8978216648101807,0.2024592161178589
cvar_0.5,29,2,15,0.5032324194908142,0.8553670644760132,0.26069483160972595
cvar_0.5,29,3,10,0.4272085130214691,0.8138846755027771,0.2482765167951584
cvar_0.5,29,3,19,0.43875473737716675,0.803305983543396,0.2613086998462677
cvar_0.5,29,3,17,0.4395386874675751,0.8620370626449585,0.2242835909128189
cvar_0.5,29,3,13,0.42636531591415405,0.7461235523223877,0.28600868582725525
cvar_0.5,29,3,23,0.4492570161819458,0.8700662851333618,0.22467771172523499
cvar_0.5,29,3,6,0.4525936543941498,0.792952299118042,0.27582207322120667
cvar_0.5,29,3,14,0.3961121141910553,0.8458718061447144,0.21203871071338654
cvar_0.5,29,3,5,0.39262381196022034,0.817355751991272,0.2284640222787857
cvar_0.5,29,3,7,0.3921080231666565,0.7362276315689087,0.2730286419391632
cvar_0.5,29,3,26,0.4589526653289795,0.8865724802017212,0.21904891729354858
cvar_0.5,29,4,25,0.43414080142974854,0.8311376571655273,0.2477291375398636
cvar_0.5,29,4,13,0.36311787366867065,0.6820554137229919,0.27171963453292847
cvar_0.5,29,4,21,0.36934685707092285,0.7444717884063721,0.2484479695558548
