evaluation,local_epochs,clients_per_round,lr,loss,accuracy,auprc,comm,fitness
1,2,3,0.0034359517948165203,0.5740277651283476,0.802225089735455,0.5090650216704025,145398720,2.0280149651283477
2,1,4,0.007789563865570991,0.3682882719569736,0.9040159318182204,0.6011533782575527,387729920,4.2455874719569735
3,2,7,0.001694147949781415,0.2961526041229566,0.9096073706944784,0.5831128447588184,441042784,4.706580444122956
4,3,8,0.012951775705457046,0.37643300824695164,0.8952092528343201,0.6062709735585918,387729920,4.2537322082469515
5,1,6,0.014495403252733463,0.47671132286389667,0.8731313546498617,0.6476028835436876,218098080,2.6576921228638968
6,2,7,0.011450869119318195,0.38783756726317936,0.8985176152653165,0.5953041196825019,661564176,7.00347932726318
7,2,6,0.017422942424859676,0.35692932042810654,0.8688441514968872,0.5765875624204494,247177824,2.8287075604281062
8,2,8,0.009632529606211332,0.4490199089050293,0.89102527168062,0.5488688148618989,853005824,8.97907814890503
9,1,4,0.01599060869459622,0.3155102812581592,0.8851915796597799,0.6398219897686988,242331200,2.7388222812581593
10,3,5,0.01974337015765633,0.29246117174625397,0.9021382398075528,0.5951798875837567,242331200,2.715773171746254
11,3,5,0.0070225868071652625,0.3345277143849267,0.9063290953636169,0.6089927615082951,218098080,2.5155085143849267
12,2,9,0.004591695051827963,0.3328927920924293,0.9012043674786886,0.58797144266615,872392320,9.05681599209243
13,2,6,0.0034359517948165203,0.5072501235538058,0.8129222591718038,0.5213388707546405,247177824,2.9790283635538057
14,2,5,0.007789563865570991,0.38347338140010834,0.8956605924500359,0.6311332979323818,266564320,3.049116581400108
15,2,3,0.0054287220689619,0.3255360921223958,0.9087005853652954,0.6185110647546715,159938592,1.9249220121223958
16,3,5,0.011979139700229784,0.35144780741797554,0.8971133099661933,0.626867350439315,254447760,2.8959254074179754
17,1,4,0.014495403252733463,0.34429144859313965,0.8934788306554159,0.6408066349914499,358650176,3.9307932085931396
18,2,5,0.010929231021759316,0.31843573682838017,0.9082579811414083,0.6271787498659358,351380240,3.83223813682838
19,2,4,0.009006109333064193,0.5272764331764646,0.7936788333786858,0.5779542199563205,193864960,2.4659260331764647
20,2,6,0.009632529606211332,0.41956227521101636,0.8802878657976786,0.63316186644235,261717696,3.0367392352110163
21,1,3,0.006478998772483352,0.43527116378148395,0.865208281411065,0.6314502535946449,181748400,2.252755163781484
22,2,7,0.005086614430445071,0.30324169993400574,0.913574735323588,0.5364136160913022,848159200,8.784833699934007
23,1,6,0.006459437463586079,0.3871408932738834,0.8841972483528985,0.6432228897468771,392576544,4.312906333273884
24,1,4,0.01146863326556322,0.3317999483810531,0.8796701828638712,0.6448303488062345,232637952,2.658179468381053
25,2,8,0.008352149914745656,0.3315158171786202,0.9060269859102037,0.626683302533183,348956928,3.8210850971786203
26,3,7,0.009542350791518312,0.3255921999613444,0.9088557892375522,0.5908552254091236,424079600,4.566388199961345
27,1,4,0.009964112197361492,0.3612244543102052,0.8725088967217339,0.6634499323170008,222944704,2.5906714943102056
28,2,3,0.011040085685970605,0.38704977598455215,0.8689934942457411,0.6437144621233654,145398720,1.8410369759845522
29,1,4,0.014495403252733463,0.38270363708337146,0.8644399841626486,0.6489973278779786,319877184,3.5814754770833717
30,2,5,0.012723959227331562,0.3252321912182702,0.8969404300053915,0.6381881726675531,230214640,2.6273785912182706
31,1,3,0.005769185832593745,0.36982378860314685,0.8424365520477295,0.6628578497560366,145398720,1.8238109886031468
32,2,6,0.0047392935828874825,0.33504172828462386,0.8977678881751167,0.6340614023343422,290797440,3.2430161282846237
33,2,5,0.00471224712248469,0.3852509293291304,0.9004304673936632,0.6231726490557664,242331200,2.8085629293291303
34,2,4,0.009194121711426353,0.36237677766217125,0.8575749595959982,0.6260808129904535,155091968,1.9132964576621712
35,2,4,0.0070225868071652625,0.4270828465620677,0.8868768877453275,0.6254081509534725,213251456,2.5595974065620677
36,1,4,0.003447820678390755,0.35490675270557404,0.828154014216529,0.653447500120739,184171712,2.1966238727055742
37,1,3,0.006998207225572154,0.4122096101442973,0.8237868348757426,0.5515602607019827,189018336,2.302392970144297
38,2,5,0.0025181463057874116,0.32555511262681747,0.8921729591157701,0.6125137393590059,242331200,2.748867112626818
39,2,4,0.004560715430414356,0.34455626209576923,0.8804435465070937,0.6032324229117456,222944704,2.5740033020957696
40,2,4,0.004191196689518533,0.37166378729873234,0.8790267573462592,0.631335560252398,164785216,2.0195159472987325
41,1,4,0.004808202670299286,0.39949489302105373,0.8853811687893338,0.6408537017903023,358650176,3.9859966530210538
42,2,3,0.008300730195926717,0.39098941948678756,0.8935253355238173,0.6354486110674682,145398720,1.8449766194867876
43,2,6,0.007347174975668957,0.3217427266968621,0.9077520105573866,0.6302674600982627,276257568,3.084318406696862
44,2,6,0.005222426393215504,0.3331407639715407,0.9001397358046638,0.5980301047094972,392576544,4.258906203971541
45,2,4,0.0013327827568121522,0.30204476167758304,0.880204545127021,0.6136673105229556,155091968,1.852964441677583
46,1,4,0.003580742116176894,0.3652561389737659,0.8749783900048997,0.633915485949526,387729920,4.242555338973766
47,1,5,0.007567976084098607,0.3830733034345839,0.8851523598035177,0.6480343517605175,411963040,4.502703703434584
48,2,5,0.006598929639899872,0.4074640903207991,0.8971128066380819,0.6141789281292349,424079600,4.648260090320799
