local_epochs,clients_per_round,lr,loss,accuracy,auprc,comm,fitness
2,3,0.01,0.3181323955456416,0.9138804607921176,0.6160519556697609,159938592,1.9175183155456417
2,5,0.003,0.37427303360568154,0.8770416776339213,0.631750856189828,193864960,2.3129226336056816
3,5,0.003,0.3715994722313351,0.8943381177054511,0.578957948732118,278680880,3.1584082722313354
1,3,0.003,0.3067842523256938,0.9023615717887878,0.6295130479952601,392576544,4.232549692325694
2,7,0.005,0.3724686884217792,0.8893515533871121,0.5808848323879394,441042784,4.782896528421779
1,5,0.005,0.4562598301304711,0.8432518641153971,0.6239937983909994,508895520,5.545215030130471
1,9,0.003,0.33171645137998795,0.8647770815425448,0.6328601050735955,588864816,6.2203646113799875
1,7,0.005,0.3352443211608463,0.9051954282654656,0.6219545491650036,712453728,7.459781601160847
