round,best_fitness
1,2.0280149651283477
2,2.0280149651283477
3,2.0280149651283477
4,2.0280149651283477
5,2.0280149651283477
6,2.0280149651283477
7,2.0280149651283477
8,2.0280149651283477
9,2.0280149651283477
10,2.0280149651283477
11,2.0280149651283477
12,2.0280149651283477
13,2.0280149651283477
14,2.0280149651283477
15,1.9249220121223958
16,1.9249220121223958
17,1.9249220121223958
18,1.9249220121223958
19,1.9249220121223958
20,1.9249220121223958
21,1.9249220121223958
22,1.9249220121223958
23,1.9249220121223958
24,1.9249220121223958
25,1.9249220121223958
26,1.9249220121223958
27,1.9249220121223958
28,1.8410369759845522
29,1.8410369759845522
30,1.8410369759845522
31,1.8238109886031468
32,1.8238109886031468
33,1.8238109886031468
34,1.8238109886031468
35,1.8238109886031468
36,1.8238109886031468
37,1.8238109886031468
38,1.8238109886031468
39,1.8238109886031468
40,1.8238109886031468
41,1.8238109886031468
42,1.8238109886031468
43,1.8238109886031468
44,1.8238109886031468
45,1.8238109886031468
46,1.8238109886031468
47,1.8238109886031468
48,1.8238109886031468
