accuracy,accuracy_std,loss,loss_std,seed,total_comm,total_comm_std,worst_client_accuracy,worst_client_accuracy_std
0.9271916965643565,,0.18194525105257828,,7,193396800,,0.6296296119689941,
0.9355251272519429,,0.16741310221453506,,11,193396800,,0.7037037014961243,
0.9390777389208476,,0.16060322858393192,,19,193396800,,0.7407407164573669,
0.9339315209123823,0.004981578504797489,0.16998719395034842,0.008900934106835397,mean,193396800.0,0.0,0.6913580099741617,0.046193300087950105
