budget,complementary_slackness,cost,dual_feasible,lambda,loss,primal_feasible,stationarity_residual,status
32232800.0,4.308130657833446e-09,32232800.081233867,True,5.303367724292575e-08,1.1619949936721485,False,2.2387158793435447e-10,optimal
39395644.44444445,3.4402871506863496e-09,39395644.567874044,True,2.787246535964972e-08,0.962348859922492,False,8.430813824844563e-09,optimal
46558488.88888889,1.1440187601438848e-09,46558488.92993365,True,2.787246514542088e-08,0.7627027293902499,False,1.2612280109181029e-09,optimal
53721333.33333333,4.0407389609532606e-10,53721333.34783057,True,2.7872465114641395e-08,0.5630565979395791,False,2.2365043150784913e-10,optimal
60884177.777777776,3.167931022190378e-10,60884177.789143585,True,2.78724651151536e-08,0.36341046606741084,False,1.7263346308027394e-10,optimal
68047022.22222222,1.623107379192289e-09,64465601.53321858,True,4.532021005451439e-16,0.26358740112056506,True,2.4863366920868657e-10,optimal
75209866.66666666,8.4092572575399e-11,64465600.05629474,True,7.826739192623972e-18,0.263587400141761,True,1.2850831510036187e-12,optimal
82372711.1111111,5.659274967185885e-11,64465600.066675365,True,3.1603506300612274e-18,0.2635874001510227,True,1.3412992938555135e-11,optimal
89535555.55555555,2.4364099088953964e-11,64465600.06747598,True,9.718445292229884e-19,0.2635874001426477,True,1.9318269206536343e-11,optimal
96698400.0,1.1910748440797813e-09,64465606.39218788,True,3.6952268505547893e-17,0.2635874068743723,True,2.181104630238906e-09,optimal
