method,seed,round,client_id,update_norm,cosine_to_mean,distance_to_mean
cvar_0.9,7,1,10,0.3520348370075226,0.8378687500953674,0.19832143187522888
cvar_0.9,7,1,4,0.3987533152103424,0.8279119729995728,0.2240738868713379
cvar_0.9,7,1,12,0.3857257664203644,0.878500759601593,0.1843494474887848
cvar_0.9,7,1,20,0.5312812328338623,0.8636720180511475,0.2913927435874939
cvar_0.9,7,1,1,0.4417792558670044,0.831148624420166,0.24674570560455322
cvar_0.9,7,1,2,0.34778428077697754,0.9090277552604675,0.14758455753326416
cvar_0.9,7,1,17,0.3711966872215271,0.8577259182929993,0.19254493713378906
cvar_0.9,7,1,3,0.31681597232818604,0.8253781795501709,0.19697345793247223
cvar_0.9,7,1,11,0.35044240951538086,0.8955286741256714,0.15883737802505493
cvar_0.9,7,1,18,0.5231481790542603,0.8564749956130981,0.2894081175327301
cvar_0.9,7,2,1,0.49614670872688293,0.8577100038528442,0.2550969123840332
cvar_0.9,7,2,16,0.48268088698387146,0.911787211894989,0.19893521070480347
cvar_0.9,7,2,6,0.48228150606155396,0.874836266040802,0.23363089561462402
cvar_0.9,7,2,29,0.49779030680656433,0.9105422496795654,0.20797111093997955
cvar_0.9,7,2,2,0.419314444065094,0.9133509397506714,0.1754203885793686
cvar_0.9,7,2,13,0.4930708408355713,0.8046593070030212,0.2939518690109253
cvar_0.9,7,2,24,0.4945857524871826,0.7764322757720947,0.3141489624977112
cvar_0.9,7,2,25,0.5280382037162781,0.9045072197914124,0.23165565729141235
cvar_0.9,7,2,7,0.43240538239479065,0.8734439015388489,0.21542543172836304
cvar_0.9,7,2,22,0.5666708946228027,0.8675855994224548,0.28997769951820374
cvar_0.9,7,3,17,0.414459228515625,0.8332436680793762,0.2303059995174408
cvar_0.9,7,3,13,0.42309895157814026,0.7623995542526245,0.27758553624153137
cvar_0.9,7,3,1,0.41480153799057007,0.857239305973053,0.21396863460540771
cvar_0.9,7,3,26,0.45337623357772827,0.8994499444961548,0.2020319402217865
cvar_0.9,7,3,18,0.42693203687667847,0.830485463142395,0.238216832280159
cvar_0.9,7,3,3,0.41097503900527954,0.807070255279541,0.24541150033473969
cvar_0.9,7,3,7,0.3553558588027954,0.8212199807167053,0.21671752631664276
cvar_0.9,7,3,20,0.49102964997291565,0.8802962899208069,0.24157193303108215
cvar_0.9,7,3,22,0.47516316175460815,0.84231036901474,0.2580919861793518
cvar_0.9,7,3,25,0.47366470098495483,0.8633854389190674,0.24241702258586884
