group,metric,n,mean,std,ci95_low,ci95_high
fedavg_default,final_accuracy,2,0.661238344013691,0.04337175464224391,0.6011281588474909,0.721348529179891
fedavg_default,final_worst_client_accuracy,2,0.49051491916179657,0.06515348548726299,0.40021679520606995,0.5808130431175231
fedavg_default,final_loss,2,0.92763056854407,0.01343303653291742,0.909013329744339,0.946247807343801
fedavg_default,total_comm_until_stop,2,19339680.0,0.0,19339680.0,19339680.0
fedavg_default,stopped_round,2,3.0,0.0,3.0,3.0
cvar_0,final_accuracy,2,0.675921022395293,0.06413619754146767,0.5870327876011531,0.7648092571894328
cvar_0,final_worst_client_accuracy,2,0.48765431344509125,0.06110797808609632,0.4029629766941071,0.5723456501960754
cvar_0,final_loss,2,0.9218314270178477,0.005231811936412919,0.9145805056095123,0.9290823484261831
cvar_0,total_comm_until_stop,2,19339680.0,0.0,19339680.0,19339680.0
cvar_0,stopped_round,2,3.0,0.0,3.0,3.0
cvar_0.5,final_accuracy,2,0.6768710270524025,0.05772168884004102,0.5968728477557501,0.756869206349055
cvar_0.5,final_worst_client_accuracy,2,0.48148147761821747,0.05237826994142888,0.40888889908790593,0.554074056148529
cvar_0.5,final_loss,2,0.925275777777036,0.008472827317678374,0.913533038218816,0.9370185173352559
cvar_0.5,total_comm_until_stop,2,19339680.0,0.0,19339680.0,19339680.0
cvar_0.5,stopped_round,2,3.0,0.0,3.0,3.0
cvar_0.75,final_accuracy,2,0.6754796599348386,0.05915742966393438,0.5934916453758875,0.7574676744937897
cvar_0.75,final_worst_client_accuracy,2,0.493827149271965,0.06983768623076375,0.3970370543003082,0.5906172442436218
cvar_0.75,final_loss,2,0.9260613997777303,0.009469702842292404,0.9129370612303416,0.939185738325119
cvar_0.75,total_comm_until_stop,2,19339680.0,0.0,19339680.0,19339680.0
cvar_0.75,stopped_round,2,3.0,0.0,3.0,3.0
cvar_0.9,final_accuracy,2,0.6755556965867678,0.06033569960495952,0.5919346832036971,0.7591767099698385
cvar_0.9,final_worst_client_accuracy,2,0.4999999850988388,0.06110797808609632,0.41530864834785464,0.584691321849823
cvar_0.9,final_loss,2,0.9265930652618408,0.010412707670034787,0.912161788702011,0.9410243418216706
cvar_0.9,total_comm_until_stop,2,19339680.0,0.0,19339680.0,19339680.0
cvar_0.9,stopped_round,2,3.0,0.0,3.0,3.0
cvar_0.95,final_accuracy,2,0.6755556965867678,0.06033569960495952,0.5919346832036971,0.7591767099698385
cvar_0.95,final_worst_client_accuracy,2,0.4999999850988388,0.06110797808609632,0.41530864834785464,0.584691321849823
cvar_0.95,final_loss,2,0.9265930652618408,0.010412707670034787,0.912161788702011,0.9410243418216706
cvar_0.95,total_comm_until_stop,2,19339680.0,0.0,19339680.0,19339680.0
cvar_0.95,stopped_round,2,3.0,0.0,3.0,3.0
centralized,final_accuracy,2,0.878798528512319,0.09741559849452326,0.7437873971462251,1.013809659878413
centralized,final_worst_client_accuracy,2,0.7678894698619843,0.12841929792342005,0.5899094033241272,0.9458695363998413
centralized,final_loss,2,0.7419567729036013,0.863278016413676,-0.4544855164289473,1.93839906223615
centralized,total_comm_until_stop,2,0.0,0.0,0.0,0.0
centralized,stopped_round,2,3.0,0.0,3.0,3.0
local_only,final_accuracy,1,0.988461705048879,0.0,0.988461705048879,0.988461705048879
local_only,final_worst_client_accuracy,1,0.9444444179534912,0.0,0.9444444179534912,0.9444444179534912
local_only,final_loss,1,0.04043694951881965,0.0,0.04043694951881965,0.04043694951881965
local_only,total_comm_until_stop,1,0.0,0.0,0.0,0.0
local_only,stopped_round,1,50.0,0.0,50.0,50.0
grid_best_validated,final_accuracy,2,0.8383731583754221,0.015797993140615214,0.8164782569408416,0.8602680598100026
grid_best_validated,final_worst_client_accuracy,2,0.6456310451030731,0.048055794525272866,0.5790291118621826,0.7122329783439636
grid_best_validated,final_loss,2,0.5132509340842565,0.011545523639835792,0.49724965469042465,0.5292522134780884
grid_best_validated,total_comm_until_stop,2,23207616.0,0.0,23207616.0,23207616.0
grid_best_validated,stopped_round,2,3.0,0.0,3.0,3.0
ga_best_validated,final_accuracy,2,0.8894620259602865,0.006801790472813392,0.8800352253119151,0.8988888266086578
ga_best_validated,final_worst_client_accuracy,2,0.6296296417713165,0.05237829101485313,0.557037034034729,0.702222249507904
ga_best_validated,final_loss,2,0.30990351140499117,0.03753077463577377,0.25788851151863734,0.361918511291345
ga_best_validated,total_comm_until_stop,2,7735872.0,0.0,7735872.0,7735872.0
ga_best_validated,stopped_round,2,3.0,0.0,3.0,3.0
