method,seed,round,client_id,update_norm,cosine_to_mean,distance_to_mean
cvar_0,19,1,0,16.207666397094727,0.5439146757125854,13.612131118774414
cvar_0,19,1,1,14.654677391052246,0.4938693642616272,12.921356201171875
cvar_0,19,1,4,7.8954362869262695,0.21366174519062042,10.892574310302734
cvar_0,19,1,7,16.449565887451172,0.6061257123947144,13.09691047668457
cvar_0,19,1,3,17.672075271606445,0.6790286302566528,13.235620498657227
cvar_0,19,2,5,4.531862258911133,0.07534187287092209,9.934986114501953
cvar_0,19,2,4,7.037691116333008,0.14502273499965668,10.733707427978516
cvar_0,19,2,7,15.547456741333008,0.8535420298576355,9.070778846740723
cvar_0,19,2,1,13.630698204040527,0.6160547137260437,10.76617431640625
cvar_0,19,2,6,7.093611240386963,0.20027786493301392,10.42354965209961
cvar_0,19,3,4,6.863165378570557,0.11802087724208832,11.279364585876465
cvar_0,19,3,1,13.503067016601562,0.4002186954021454,13.13126277923584
cvar_0,19,3,2,17.349863052368164,0.7863863110542297,11.386981010437012
cvar_0,19,3,3,16.489952087402344,0.6391318440437317,12.704024314880371
cvar_0,19,3,6,6.866003513336182,0.0967385396361351,11.407023429870605
cvar_0,19,4,4,6.327322006225586,0.08644787967205048,11.642130851745605
cvar_0,19,4,1,13.235234260559082,0.40129438042640686,13.122477531433105
cvar_0,19,4,6,6.663025856018066,0.0883762314915657,11.791267395019531
cvar_0,19,4,2,17.16808319091797,0.9270045757293701,8.520427703857422
cvar_0,19,4,5,4.55507230758667,0.039127010852098465,11.12990665435791
cvar_0,19,5,0,16.09521484375,0.6079910397529602,12.861802101135254
cvar_0,19,5,3,16.820966720581055,0.6567404866218567,12.97347640991211
cvar_0,19,5,8,14.101752281188965,0.4577332139015198,12.676687240600586
cvar_0,19,5,1,13.234784126281738,0.42928701639175415,12.242395401000977
cvar_0,19,5,6,6.770322322845459,0.12744376063346863,10.03976821899414
cvar_0,19,6,8,14.323209762573242,0.4429379403591156,12.989161491394043
cvar_0,19,6,7,16.03726577758789,0.573256254196167,13.171112060546875
cvar_0,19,6,3,16.354393005371094,0.5881994366645813,13.292096138000488
cvar_0,19,6,5,4.098472595214844,0.06235615909099579,9.022138595581055
cvar_0,19,6,0,15.4828462600708,0.5265467166900635,13.16350269317627
cvar_0,19,7,1,13.876726150512695,0.45758873224258423,12.497448921203613
cvar_0,19,7,6,6.875169277191162,0.1305309236049652,10.088783264160156
cvar_0,19,7,0,15.637591361999512,0.6714657545089722,11.788541793823242
cvar_0,19,7,7,15.443228721618652,0.6548582911491394,11.80591106414795
cvar_0,19,7,4,6.566967487335205,0.10754546523094177,10.041302680969238
cvar_0,19,8,6,6.561938285827637,0.08984287083148956,11.272048950195312
cvar_0,19,8,8,14.157054901123047,0.36638155579566956,13.948362350463867
cvar_0,19,8,3,16.35798454284668,0.5855647921562195,13.261700630187988
cvar_0,19,8,5,4.091554164886475,0.036331649869680405,10.457508087158203
cvar_0,19,8,2,17.95502471923828,0.7824068665504456,11.971111297607422
cvar_0,19,9,8,14.01196002960205,0.363578200340271,13.746031761169434
cvar_0,19,9,2,17.297412872314453,0.775723934173584,11.630766868591309
cvar_0,19,9,6,6.922183990478516,0.0811602845788002,11.215243339538574
cvar_0,19,9,5,4.175339221954346,0.05118544399738312,10.091863632202148
