round,best_fitness
1,0.4760461259437349
2,0.4760461259437349
3,0.4178859703351762
4,0.40923954911084703
5,0.40923954911084703
6,0.40923954911084703
7,0.40923954911084703
8,0.40923954911084703
9,0.40923954911084703
10,0.40923954911084703
11,0.40923954911084703
12,0.40923954911084703
13,0.40923954911084703
14,0.40923954911084703
15,0.40923954911084703
16,0.40923954911084703
17,0.37969076883985736
18,0.37969076883985736
19,0.37969076883985736
20,0.37969076883985736
21,0.37969076883985736
22,0.37969076883985736
23,0.37969076883985736
24,0.37969076883985736
25,0.37969076883985736
26,0.37969076883985736
27,0.37969076883985736
28,0.37969076883985736
29,0.37969076883985736
30,0.37969076883985736
31,0.37969076883985736
32,0.37969076883985736
33,0.37969076883985736
34,0.37969076883985736
35,0.37969076883985736
36,0.37394114968514974
37,0.37394114968514974
38,0.37394114968514974
39,0.37394114968514974
40,0.37394114968514974
41,0.37394114968514974
42,0.37394114968514974
43,0.37394114968514974
44,0.37394114968514974
45,0.37394114968514974
46,0.37394114968514974
47,0.37394114968514974
48,0.3684790022780206
49,0.3684790022780206
50,0.3684790022780206
51,0.3684790022780206
52,0.3684790022780206
53,0.3684790022780206
54,0.3684790022780206
55,0.3684790022780206
56,0.3684790022780206
57,0.3684790022780206
58,0.3684790022780206
59,0.3684790022780206
60,0.3684790022780206
61,0.3684790022780206
62,0.3684790022780206
63,0.3684790022780206
64,0.3684790022780206
65,0.3684790022780206
66,0.3684790022780206
67,0.3684790022780206
68,0.3684790022780206
69,0.3684790022780206
70,0.3684790022780206
71,0.3684790022780206
72,0.3684790022780206
73,0.36832629186673693
74,0.36832629186673693
75,0.36832629186673693
76,0.36832629186673693
77,0.36832629186673693
78,0.36832629186673693
79,0.36832629186673693
80,0.36832629186673693
81,0.36832629186673693
82,0.36832629186673693
83,0.36832629186673693
84,0.36832629186673693
85,0.36832629186673693
86,0.36832629186673693
87,0.36832629186673693
88,0.36832629186673693
89,0.36832629186673693
90,0.36832629186673693
