local_epochs,clients_per_round,lr,loss,accuracy,auprc,comm,fitness
3,5,0.003,0.3492310874991947,0.8523852825164795,0.6123134741774039,2452800,0.3737590874991947
3,5,0.005,0.35766978727446663,0.8529678450690376,0.6107994303775646,2452800,0.3821977872744666
3,10,0.003,0.3582891755633884,0.8506646288765801,0.6018350232968168,4415040,0.4024395755633884
3,15,0.003,0.3585607036948204,0.8504045274522569,0.6012136214420004,4415040,0.4027111036948204
2,15,0.003,0.3603984158900049,0.8483636710378859,0.6087593637603008,4415040,0.40454881589000485
2,10,0.003,0.361902235282792,0.8465939097934299,0.6080968992591133,4415040,0.40605263528279195
2,5,0.003,0.38198095394505394,0.8397840526368883,0.5829838150786525,2452800,0.40650895394505393
2,10,0.005,0.36419328964418834,0.8532894253730774,0.6063375750371799,4415040,0.4083436896441883
2,15,0.005,0.36419328964418834,0.8532894253730774,0.6063375750371799,4415040,0.4083436896441883
3,10,0.005,0.36641207089026767,0.8537728057967292,0.5965003440869848,4415040,0.41056247089026765
3,15,0.005,0.36641207089026767,0.8537728057967292,0.5965003440869848,4415040,0.41056247089026765
2,5,0.005,0.3882064562704828,0.846834659576416,0.5812087334488614,2452800,0.4127344562704828
3,5,0.01,0.41362907240788144,0.8537382549709744,0.5985863419718636,2452800,0.43815707240788143
1,5,0.005,0.4239101575480567,0.8225067456563314,0.5861322226916373,2452800,0.4484381575480567
1,5,0.003,0.4247399883137809,0.8157279358969795,0.5906058108468147,2452800,0.4492679883137809
3,10,0.01,0.4092443643344773,0.8540322250790067,0.5973440948876733,4415040,0.4533947643344773
3,15,0.01,0.4092443643344773,0.8540322250790067,0.5973440948876733,4415040,0.4533947643344773
2,10,0.01,0.4162547157870399,0.8546264900101556,0.5980671119390011,4415040,0.46040511578703985
2,15,0.01,0.4162547157870399,0.8546264900101556,0.5980671119390011,4415040,0.46040511578703985
1,10,0.005,0.42656294422017205,0.8239248527420892,0.5940085248441573,4415040,0.470713344220172
1,15,0.005,0.42656294422017205,0.8239248527420892,0.5940085248441573,4415040,0.470713344220172
2,5,0.01,0.4632751676771376,0.8425348798433939,0.5924369338676799,2452800,0.4878031676771376
1,15,0.003,0.44891051203012466,0.8091091513633728,0.5719628027679998,4415040,0.49306091203012464
1,10,0.003,0.45008327811956406,0.8082854946454366,0.5716247441599076,4415040,0.49423367811956403
1,10,0.01,0.47118836641311646,0.8327279819382561,0.5952776267372335,4415040,0.5153387664131165
1,15,0.01,0.47118836641311646,0.8327279819382561,0.5952776267372335,4415040,0.5153387664131165
1,5,0.01,0.4982103457053502,0.8267070518599616,0.575168780242136,2452800,0.5227383457053503
