true_label,pred_label,count
STANDING,SITTING,33
SITTING,STANDING,22
WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,4
WALKING,WALKING_UPSTAIRS,3
WALKING_DOWNSTAIRS,WALKING_UPSTAIRS,3
WALKING_UPSTAIRS,WALKING,2
WALKING,WALKING_DOWNSTAIRS,1
WALKING_DOWNSTAIRS,WALKING,1
SITTING,WALKING_UPSTAIRS,1
SITTING,LAYING,1
