run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,mu,drift_mean_update_norm,drift_avg_update_norm,method,beta
fedprox_mu_0p0,7,,1,0.5020315315988328,0.8880719410048591,0.8095357418060303,6058280,6058280,12116560,5 2 3 8 0,0.5020315315988328,1,0,False,0.8936261914371484,0.6239788045983803,0.7949606543241614,0.7117505995203837,0.8781707091279393,0.3,0.34824435115187374,0.0,14.538455772399903,10.14392375946045,fedprox_mu_0p0,
fedprox_mu_0p0,7,,2,0.4509368555413352,0.8035019371244643,0.6941028833389282,6058280,6058280,12116560,1 8 2 4 0,0.4509368555413352,2,0,False,0.8976096145856876,0.6315710280741409,0.8085706661480665,0.8709832134292566,0.7461581188668766,0.6,0.32671577208555813,0.0,13.50245714187622,8.813826560974121,fedprox_mu_0p0,
fedprox_mu_0p0,7,,3,0.42059356802039677,0.820114427142673,0.7094103097915649,6058280,6058280,12116560,8 3 0 6 7,0.42059356802039677,3,0,False,0.9037943501891691,0.6455215290208323,0.8196057040684801,0.8676258992805755,0.7715855088563847,0.5,0.36386622178389444,0.0,13.959066104888915,8.51272964477539,fedprox_mu_0p0,
fedprox_mu_0p0,7,,4,0.434053435921669,0.8352658616171943,0.7224591970443726,6058280,6058280,12116560,6 1 7 0 4,0.42059356802039677,3,1,False,0.9043635374980887,0.6474555027851537,0.8221768595122051,0.8522781774580336,0.7920755415663766,0.5,0.35621539619384446,0.0,11.624910163879395,8.206317901611328,fedprox_mu_0p0,
fedprox_mu_0p0,7,,5,0.4281676063934962,0.8286483354038663,0.707402765750885,6058280,6058280,12116560,6 0 8 4 7,0.42059356802039677,3,2,False,0.901843206049861,0.644676462226429,0.8190724517220143,0.8556354916067146,0.782509411837314,0.4,0.3102010374024104,0.0,11.680227279663086,8.337958335876465,fedprox_mu_0p0,
fedprox_mu_0p0,7,,6,0.39128071400854325,0.8329239288965861,0.7129234671592712,6058280,6058280,12116560,3 0 4 6 8,0.39128071400854325,6,0,False,0.9053732833026302,0.6545937348083675,0.8214459352717789,0.8537170263788969,0.7891748441646609,0.5,0.3268122954485238,0.0,12.204778480529786,8.675824165344238,fedprox_mu_0p0,
fedprox_mu_0p0,7,,7,0.40025907423761153,0.8351308637195163,0.7207026481628418,6058280,6058280,12116560,0 3 8 4 1,0.39128071400854325,6,1,False,0.9068812345050824,0.655446598388297,0.8207997275573358,0.8494004796163069,0.7921989754983645,0.5,0.3503553045837735,0.0,13.352668571472169,7.681797981262207,fedprox_mu_0p0,
fedprox_mu_0p0,7,,8,0.36393221384949154,0.8468222684330411,0.733500599861145,6058280,6058280,12116560,4 6 1 8 0,0.36393221384949154,8,0,False,0.9020967044176175,0.6467835492752493,0.8127453082895653,0.8095923261390887,0.8158982904400419,0.5,0.24840638453559769,0.0,11.597281646728515,8.054811477661133,fedprox_mu_0p0,
fedprox_mu_0p0,7,,9,0.3530203070905473,0.8472957677311368,0.7432873249053955,6058280,6058280,12116560,4 2 0 8 5,0.3530203070905473,9,0,False,0.9028973081486672,0.6515978597971418,0.8146998712823853,0.8172661870503597,0.8121335555144109,0.5,0.2812087835608456,0.0,11.924134349822998,9.545819282531738,fedprox_mu_0p0,
fedprox_mu_0p0,7,,10,0.34747253523932564,0.8532604707611932,0.7478042840957642,6058280,6058280,12116560,3 5 0 4 6,0.34747253523932564,10,0,False,0.9046607705503806,0.6533558271295686,0.8203804517948314,0.8191846522781775,0.8215762513114855,0.4,0.3015401713261797,0.0,10.299586200714112,9.816078186035156,fedprox_mu_0p0,
fedprox_mu_0p0,7,,11,0.4089149849282371,0.8334110511673821,0.7159347534179688,6058280,6058280,12116560,0 3 7 5 4,0.34747253523932564,10,1,False,0.9059269599687774,0.6552169303829403,0.8175464886376402,0.8398081534772183,0.7952848237980621,0.5,0.33221975524327646,0.0,11.803029441833496,8.557245254516602,fedprox_mu_0p0,
fedprox_mu_0p0,7,,12,0.3537206393149164,0.8363199498918321,0.7495608329772949,6058280,6058280,12116560,6 5 3 4 8,0.34747253523932564,10,2,False,0.9000697238913182,0.6466130588480279,0.8158510925012998,0.8354916067146283,0.7962105782879714,0.5,0.3956716800472665,0.0,9.893225383758544,9.413616180419922,fedprox_mu_0p0,
fedprox_mu_0p0,7,,13,0.4508983972999785,0.829169385963016,0.7287327647209167,6058280,6058280,12116560,5 4 1 6 8,0.34747253523932564,10,3,False,0.9029577078940441,0.649433031880979,0.8167661464237238,0.8446043165467626,0.788927976300685,0.5,0.33023207525854087,0.0,9.378541278839112,8.34678840637207,fedprox_mu_0p0,
fedprox_mu_0p0,7,,14,0.3614198789000511,0.8525075183974372,0.7789209485054016,6058280,6058280,12116560,1 4 7 3 2,0.34747253523932564,10,4,False,0.9015256078788145,0.6555439051287675,0.8174860148911051,0.8124700239808154,0.8225020058013948,0.4,0.3171516798418972,0.0,13.864052772521973,8.974016189575195,fedprox_mu_0p0,
fedprox_mu_0p0,7,,15,0.3377053456174003,0.864078594578637,0.7713927030563354,6058280,6058280,12116560,7 4 8 0 5,0.3377053456174003,15,0,False,0.9028137756412163,0.656221306432155,0.8187443749869574,0.7961630695443646,0.8413256804295501,0.4,0.2857831467260906,0.0,11.628779220581055,8.866205215454102,fedprox_mu_0p0,
fedprox_mu_0p0,7,,16,0.41256575451956856,0.8411214815245734,0.7538268566131592,6058280,6058280,12116560,8 6 1 2 7,0.3377053456174003,15,1,False,0.9059034868013754,0.6594908201691423,0.8211728709977768,0.8345323741007195,0.8078133678948343,0.5,0.3014248936719386,0.0,13.58083143234253,8.61435604095459,fedprox_mu_0p0,
fedprox_mu_0p0,7,,17,0.34019097520245445,0.8588745461569892,0.7618569731712341,6058280,6058280,12116560,7 6 0 5 8,0.3377053456174003,15,2,False,0.9050829767587523,0.6585755851579521,0.821803582869679,0.8105515587529976,0.8330556069863605,0.4,0.2842333464115642,0.0,11.691544342041016,8.821300506591797,fedprox_mu_0p0,
fedprox_mu_0p0,7,,18,0.4152655568387773,0.831398950682746,0.735508143901825,6058280,6058280,12116560,8 5 2 7 6,0.3377053456174003,15,3,False,0.9062669064896204,0.66104589373499,0.8218206771372385,0.8513189448441247,0.7923224094303524,0.5,0.27127481641088647,0.0,11.857231616973877,9.615224838256836,fedprox_mu_0p0,
fedprox_mu_0p0,7,,19,0.380295573009385,0.8653119140201144,0.7799246907234192,6058280,6058280,12116560,7 8 0 6 2,0.3377053456174003,15,4,False,0.9059029539930359,0.6597802765462071,0.8225240285460949,0.8014388489208633,0.8436092081713263,0.4,0.3062098435634347,0.0,14.033846378326416,8.626627922058105,fedprox_mu_0p0,
