run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,drift_mean_update_norm,drift_avg_update_norm,method
logreg_fedavg,7,0,1,0.762588565548261,0.7071750130918291,0.25475284457206726,40880,40880,81760,5 2 3 8 0,0.762588565548261,1,0,False,0.8368153098332295,0.44135057634408636,0.7491882442943997,0.8800959232613909,0.6182805653274085,0.6,0.24754557993054802,0.8465919733047486,0.702464759349823,logreg_fedavg
logreg_fedavg,7,0,2,0.7287435498502519,0.699591209491094,0.33321812748908997,40880,40880,81760,1 8 2 4 0,0.7287435498502519,2,0,False,0.850063115587885,0.49133112540161206,0.7520149257376176,0.8767386091127098,0.6272912423625254,0.5,0.24644055168561096,0.6798558354377746,0.3625703454017639,logreg_fedavg
logreg_fedavg,7,0,3,0.7297061516178979,0.7265384362803565,0.27030763030052185,40880,40880,81760,8 3 0 6 7,0.7287435498502519,2,1,False,0.8470653286665244,0.466255723760023,0.761655071425178,0.8800959232613909,0.643214219588965,0.5,0.21870983629997093,0.7515344262123108,0.4072146415710449,logreg_fedavg
logreg_fedavg,7,0,4,0.630669073926078,0.7284066213501824,0.5755271315574646,40880,40880,81760,6 1 7 0 4,0.630669073926078,4,0,False,0.8748520975850314,0.5810640417971072,0.7780197467650763,0.8815347721822542,0.6745047213478985,0.6,0.27014173657030804,0.628933584690094,0.3590145409107208,logreg_fedavg
logreg_fedavg,7,0,5,0.6459082249138091,0.7435531914234161,0.4662979543209076,40880,40880,81760,6 0 8 4 7,0.630669073926078,4,1,False,0.8681240158770966,0.5514916670201269,0.7726037943945898,0.8700239808153477,0.675183607973832,0.5,0.23299785586684338,0.6314201593399048,0.35203900933265686,logreg_fedavg
logreg_fedavg,7,0,6,0.6080254134204652,0.7481074333190918,0.5458002090454102,40880,40880,81760,3 0 4 6 8,0.6080254134204652,6,0,False,0.8770422950660023,0.550780511120526,0.78097772106329,0.8839328537170263,0.6780225884095538,0.6,0.2260164190681302,0.6562821745872498,0.3920615017414093,logreg_fedavg
logreg_fedavg,7,0,7,0.6131310181485282,0.7475560506184896,0.48911166191101074,40880,40880,81760,0 3 8 4 1,0.6080254134204652,6,1,False,0.8724569168956634,0.5535622568079619,0.7757152618952792,0.8661870503597122,0.6852434734308461,0.5,0.2638287825014246,0.6574348747730255,0.28806182742118835,logreg_fedavg
logreg_fedavg,7,0,8,0.6350027057859633,0.7497994833522372,0.6170065402984619,40880,40880,81760,4 6 1 8 0,0.6080254134204652,6,2,False,0.8730087879335487,0.5491686605341677,0.783101939111551,0.8633093525179856,0.7028945257051163,0.6,0.28716402226234095,0.6477447330951691,0.33075904846191406,logreg_fedavg
logreg_fedavg,7,0,9,0.5909995900260078,0.7613070375389523,0.4618043601512909,40880,40880,81760,4 2 0 8 5,0.5909995900260078,9,0,False,0.8627844623024039,0.5241468590756627,0.7680573408334987,0.8455635491606714,0.6905511325063259,0.4,0.27429066754493936,0.6138882219791413,0.40955042839050293,logreg_fedavg
logreg_fedavg,7,0,10,0.5366875148481793,0.7690750890307956,0.610784649848938,40880,40880,81760,3 5 0 4 6,0.5366875148481793,10,0,False,0.8695150452494882,0.5583940234428955,0.7756900867012371,0.8364508393285371,0.7149293340739369,0.5,0.31827114219774566,0.6014095723628998,0.409696489572525,logreg_fedavg
logreg_fedavg,7,0,11,0.5262904862562815,0.7790636618932089,0.6958594918251038,40880,40880,81760,0 3 7 5 4,0.5262904862562815,11,0,False,0.8849049921329368,0.5798215534237935,0.7939738044779876,0.8647482014388489,0.7231994075171264,0.5,0.24305846440339599,0.6300242006778717,0.37407559156417847,logreg_fedavg
logreg_fedavg,7,0,12,0.6829856286446253,0.7699006299177805,0.27410992980003357,40880,40880,81760,6 5 3 4 8,0.5262904862562815,11,1,False,0.8404612580996118,0.4312032619621276,0.7611743007001546,0.8330935251798561,0.689255076220453,0.4,0.19478679328270485,0.5802543640136719,0.44432705640792847,logreg_fedavg
logreg_fedavg,7,0,13,0.6113219633698463,0.7683561642964681,0.4075354337692261,40880,40880,81760,5 4 1 6 8,0.5262904862562815,11,2,False,0.8641657679225995,0.5161993014087145,0.7721129003111157,0.8551558752997602,0.6890699253224711,0.5,0.2448265472358313,0.565834504365921,0.44401994347572327,logreg_fedavg
logreg_fedavg,7,0,14,0.5657960060569975,0.7731094559033712,0.35153818130493164,40880,40880,81760,1 4 7 3 2,0.5262904862562815,11,3,False,0.8551530632557462,0.49786561785875155,0.7705429805387314,0.829736211031175,0.7113497500462878,0.5,0.1898860798908769,0.6782953202724457,0.4202086627483368,logreg_fedavg
logreg_fedavg,7,0,15,0.5531064305040572,0.7846684588326348,0.5665399432182312,40880,40880,81760,7 4 8 0 5,0.5262904862562815,11,4,False,0.8751092516100062,0.5531823220110618,0.7886046504399886,0.8479616306954436,0.7292476701845337,0.5,0.2613764891930785,0.6222807347774506,0.4206966161727905,logreg_fedavg
logreg_fedavg,7,0,16,0.567473495999972,0.7771885924869113,0.39094364643096924,40880,40880,81760,8 6 1 2 7,0.5262904862562815,11,5,False,0.8617818798099828,0.5140309331233748,0.774566882320842,0.8330935251798561,0.716040239461828,0.4,0.22542722640309257,0.6730683267116546,0.3748221695423126,logreg_fedavg
logreg_fedavg,7,0,17,0.5108370979626974,0.8007113138834635,0.685447633266449,40880,40880,81760,7 6 0 5 8,0.5108370979626974,17,0,False,0.8819572595950271,0.5705697672980552,0.7977071037115873,0.841726618705036,0.7536875887181386,0.5,0.25706831738577557,0.5986913681030274,0.365531325340271,logreg_fedavg
logreg_fedavg,7,0,18,0.5341894817021158,0.7930547230773501,0.48047009110450745,40880,40880,81760,8 5 2 7 6,0.5108370979626974,17,1,False,0.8706916784661514,0.5456014016386799,0.7854466066102866,0.8402877697841726,0.7306054434364007,0.5,0.2689258417618503,0.6164874315261841,0.3932501971721649,logreg_fedavg
logreg_fedavg,7,0,19,0.4730239874786801,0.8038593000835843,0.6042170524597168,40880,40880,81760,7 8 0 6 2,0.4730239874786801,19,0,False,0.8725060980654469,0.5656227131750731,0.7852820576347661,0.8158273381294964,0.7547367771400358,0.5,0.25242746423508583,0.6662592649459839,0.2936874032020569,logreg_fedavg
logreg_fedavg,7,0,20,0.4879569345050388,0.7979768051041497,0.7159090638160706,40880,40880,81760,7 1 0 5 2,0.4730239874786801,19,1,False,0.8869992249118682,0.5931146677238706,0.8028939484960819,0.8436450839328538,0.76214281305931,0.5,0.2862724704527998,0.6217356979846954,0.29812154173851013,logreg_fedavg
logreg_fedavg,7,0,21,0.5981057004796134,0.7944161229663425,0.30349117517471313,40880,40880,81760,7 4 5 3 2,0.4730239874786801,19,2,False,0.840549852286288,0.42193830451373543,0.7623413285664747,0.7894484412470024,0.7352342158859471,0.4,0.17165220912634682,0.6361184120178223,0.4108295440673828,logreg_fedavg
logreg_fedavg,7,0,22,0.442963355117374,0.815839774078793,0.7468004822731018,40880,40880,81760,0 7 2 1 4,0.442963355117374,22,0,False,0.8864142605560063,0.5940458653336677,0.8042051454189361,0.8321342925659473,0.776275998271925,0.5,0.21764294593977573,0.687775707244873,0.36967140436172485,logreg_fedavg
logreg_fedavg,7,0,23,0.443626989920934,0.8169994685384963,0.7023850679397583,40880,40880,81760,1 7 0 8 2,0.442963355117374,22,1,False,0.8852493639230441,0.5904728127674808,0.7972127907746012,0.818705035971223,0.7757205455779794,0.5,0.2651621542749276,0.7179330229759217,0.27590981125831604,logreg_fedavg
logreg_fedavg,7,0,24,0.46007948120435077,0.8108649717436897,0.5257518291473389,40880,40880,81760,2 3 7 6 5,0.442963355117374,22,2,False,0.8693853064188161,0.5414725180097023,0.7822994853515447,0.8067146282973621,0.7578843424057273,0.5,0.26487262915740606,0.6193411350250244,0.37702909111976624,logreg_fedavg
logreg_fedavg,7,0,25,0.5086930005086793,0.8004996743467119,0.4884203374385834,40880,40880,81760,1 2 3 6 4,0.442963355117374,22,3,False,0.8708202776789862,0.5421927501030722,0.7836667159514381,0.8249400479616307,0.7423933839412454,0.4,0.2782405273937532,0.612240606546402,0.34057703614234924,logreg_fedavg
logreg_fedavg,7,0,26,0.5119173559877608,0.7959345777829488,0.47563081979751587,40880,40880,81760,4 2 6 3 8,0.442963355117374,22,4,False,0.8693447093833914,0.5238794479488216,0.7799082415237963,0.8182254196642685,0.741591063383324,0.5,0.2563112629467497,0.6149689674377441,0.3350021541118622,logreg_fedavg
logreg_fedavg,7,0,27,0.5115149236387677,0.7987600266933441,0.4465952217578888,40880,40880,81760,4 6 2 5 3,0.442963355117374,22,5,False,0.8491224720649329,0.4858794282501976,0.7626033370674318,0.777937649880096,0.7472690242547676,0.6,0.1889355427757522,0.5208245396614075,0.3433056175708771,logreg_fedavg
logreg_fedavg,7,0,28,0.46966710189978284,0.8064197301864624,0.6104390025138855,40880,40880,81760,3 2 0 1 5,0.442963355117374,22,6,False,0.8755321238288022,0.5448356204209522,0.7880663808149926,0.815347721822542,0.760785039807443,0.4,0.26221241522246724,0.6405582547187805,0.3446750044822693,logreg_fedavg
logreg_fedavg,7,0,29,0.43732964992523193,0.8220652209387885,0.7248530983924866,40880,40880,81760,3 8 0 7 4,0.43732964992523193,29,0,False,0.8863409402083962,0.5819169092167338,0.8043753776834115,0.8268585131894485,0.7818922421773745,0.5,0.2956923824444814,0.7137031555175781,0.3865949809551239,logreg_fedavg
logreg_fedavg,7,0,30,0.4243124673763911,0.8219752642843459,0.7563362717628479,40880,40880,81760,2 4 8 0 1,0.4243124673763911,30,0,False,0.8889591603887783,0.5859162626655937,0.8008585318377404,0.8163069544364508,0.7854101092390298,0.4,0.2509194185676847,0.6776953279972077,0.3455808162689209,logreg_fedavg
logreg_fedavg,7,0,31,0.45807459039820564,0.8184928430451287,0.730038046836853,40880,40880,81760,6 5 4 8 2,0.4243124673763911,30,1,False,0.8840384681701037,0.5717547631121297,0.7950571370343089,0.8163069544364508,0.7738073196321669,0.5,0.308181098197196,0.5622738361358642,0.425882488489151,logreg_fedavg
logreg_fedavg,7,0,32,0.47223660929335487,0.8118981056743197,0.6543380618095398,40880,40880,81760,2 0 3 5 4,0.4243124673763911,30,2,False,0.87871671927409,0.5453931521030535,0.7905394995242465,0.8129496402877698,0.7681293587607233,0.4,0.23962126842657602,0.5897154450416565,0.4124676287174225,logreg_fedavg
logreg_fedavg,7,0,33,0.45115765432516736,0.8175164196226332,0.6588316559791565,40880,40880,81760,6 8 3 7 0,0.4243124673763911,30,3,False,0.8807988010628343,0.5621020421526104,0.7926820550595257,0.8057553956834532,0.7796087144355983,0.5,0.23598548884179876,0.7299003720283508,0.37743911147117615,logreg_fedavg
logreg_fedavg,7,0,34,0.42659712831179303,0.8280376659499274,0.7525721192359924,40880,40880,81760,7 6 0 1 8,0.4243124673763911,30,4,False,0.888798015466538,0.5994298799519641,0.8034260464244787,0.8095923261390887,0.7972597667098685,0.5,0.20091466615224277,0.7143569469451905,0.3786133825778961,logreg_fedavg
logreg_fedavg,7,0,35,0.41531718522310257,0.8318312830395169,0.6702384948730469,40880,40880,81760,3 7 1 0 2,0.41531718522310257,35,0,False,0.8814534893100147,0.5774865754987832,0.7941431043278689,0.7966426858513189,0.791643522804419,0.4,0.22819434955409512,0.7552932620048523,0.33827340602874756,logreg_fedavg
logreg_fedavg,7,0,36,0.41611287328932023,0.833353943294949,0.7555834650993347,40880,40880,81760,0 1 8 4 7,0.41531718522310257,35,1,False,0.8928771665134103,0.6038883530810333,0.8109641744112579,0.8215827338129497,0.8003456150095661,0.5,0.23759931667598508,0.6934887170791626,0.3457132875919342,logreg_fedavg
