run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,drift_mean_update_norm,drift_avg_update_norm,method,beta
dirichlet_beta_0p5_fedavg,37,0.0,1,0.545796811580658,0.7436114816830076,0.659352719783783,81760,81760,163520,21 19 2 27 28 23 20 16 1 11,0.545796811580658,1,0,False,0.8931980597474867,0.6050712500489778,0.7890241664217077,0.9026378896882494,0.6754104431551661,0.0,0.0,0.5305645480751991,0.5305680632591248,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,2,0.4808708110759998,0.7872390623750358,0.7346938848495483,81760,81760,163520,14 16 25 3 21 28 19 9 12 13,0.4808708110759998,2,0,False,0.8902379343285032,0.6122248411825568,0.8049324224116572,0.8388489208633093,0.771015923960005,0.0,0.0,0.5294791802763938,0.32124215364456177,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,3,0.5303749760677074,0.764411800894244,0.7017543911933899,81760,81760,163520,14 4 25 1 2 13 24 17 9 11,0.4808708110759998,2,1,False,0.8985455950755998,0.6026017734364898,0.8081929814745907,0.9002398081534773,0.7161461547957042,0.0,0.0,0.44248076230287553,0.28084784746170044,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,4,0.502786582913892,0.7756210688886971,0.7174986004829407,81760,81760,163520,20 22 13 18 25 11 28 24 1 16,0.4808708110759998,2,2,False,0.9035130814000817,0.618118844013841,0.816392815879379,0.9050359712230216,0.7277496605357363,0.0,0.0,0.5174204990267753,0.23281559348106384,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,5,0.4442793285024577,0.8083891930251286,0.7555555701255798,81760,81760,163520,19 6 16 13 2 0 23 20 26 11,0.4442793285024577,5,0,False,0.8880286858033632,0.6017644916037875,0.8054573154215795,0.7928057553956834,0.8181088754474756,0.0,0.0,0.4542431652545929,0.29138901829719543,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,6,0.46777041616110965,0.7997815156805104,0.75,81760,81760,163520,2 22 18 7 0 10 11 16 5 24,0.4442793285024577,5,1,False,0.9015180942519162,0.6073018546080742,0.8185751411215183,0.86378896882494,0.7733613134180966,0.0,0.0,0.4842838868498802,0.2956116795539856,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,7,0.4706558585166931,0.7911158717911819,0.7365853786468506,81760,81760,163520,23 0 6 28 25 9 22 7 16 24,0.4442793285024577,5,2,False,0.9052396793835146,0.6293795953069167,0.8213209755612372,0.8805755395683453,0.7620664115541291,0.0,0.0,0.49426223039627076,0.26769018173217773,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,8,0.4126406075625584,0.8222006518265297,0.7629629373550415,81760,81760,163520,19 1 9 8 22 6 15 4 23 25,0.4126406075625584,8,0,False,0.898307459451523,0.600286457368208,0.8133646495962099,0.7923261390887291,0.8344031601036909,0.0,0.0,0.4235128775238991,0.3588504195213318,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,9,0.4058891575911949,0.8307946776521618,0.6748466491699219,81760,81760,163520,19 20 1 14 25 3 17 27 0 8,0.4058891575911949,9,0,False,0.8815918305967495,0.5811464325606976,0.7847056511068149,0.6786570743405276,0.8907542278731021,0.0,0.0,0.3768168792128563,0.27516016364097595,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,10,0.4076633535582444,0.8195880589814022,0.7746478915214539,81760,81760,163520,20 7 2 14 28 4 10 11 0 3,0.4058891575911949,9,1,False,0.9028214682913587,0.6165789395263447,0.820576818387285,0.8201438848920863,0.8210097518824836,0.0,0.0,0.5142571181058884,0.34580197930336,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,11,0.3925049664645359,0.8279069024941017,0.7183098793029785,81760,81760,163520,4 2 18 5 20 16 21 7 23 9,0.3925049664645359,11,0,False,0.894448120062153,0.6118509046376467,0.8020263507747067,0.7366906474820144,0.8673620540673991,0.0,0.0,0.4680278986692429,0.2797573506832123,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,12,0.3890990512124423,0.8371548899288835,0.6901408433914185,81760,81760,163520,15 0 18 5 17 9 4 6 3 25,0.3890990512124423,12,0,False,0.8989191019730814,0.6089698979754116,0.8068238607484584,0.7357314148681056,0.8779163066288113,0.0,0.0,0.4236106798052788,0.2997684180736542,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,13,0.3902961950877617,0.8305341745245045,0.7605633735656738,81760,81760,163520,13 18 16 17 21 0 11 8 2 27,0.3890990512124423,12,1,False,0.901785062506716,0.6079844800699052,0.8096011624227344,0.7587529976019185,0.8604493272435502,0.0,0.0,0.41714591532945633,0.29511120915412903,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,14,0.4098893342346981,0.8241496332760515,0.7827869057655334,81760,81760,163520,26 1 7 24 5 12 14 10 2 6,0.3890990512124423,12,2,False,0.9037528895535589,0.6103592954852558,0.8205260800617622,0.811031175059952,0.8300209850635724,0.0,0.0,0.4311195746064186,0.349535197019577,dirichlet_beta_0p5_fedavg,0.5
dirichlet_beta_0p5_fedavg,37,0.0,15,0.4385868238991705,0.8110661342226225,0.7555555701255798,81760,81760,163520,2 9 1 6 7 22 14 18 15 11,0.3890990512124423,12,3,False,0.9038560387340048,0.6133873263651979,0.8175794532871419,0.8287769784172662,0.8063819281570177,0.0,0.0,0.45764991641044617,0.3015059232711792,dirichlet_beta_0p5_fedavg,0.5
