run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,mu,drift_mean_update_norm,drift_avg_update_norm,method
fedprox_mu_0p01,23,,1,0.46556874447398716,0.8548518485493131,0.7656210660934448,6058280,6058280,12116560,4 1 0 8 2,0.46556874447398716,1,0,False,0.8888836792073468,0.5975854216571859,0.8049048559708056,0.7908872901678657,0.8189224217737456,0.4,0.32821786578440565,0.01,5.703000164031982,3.2912588119506836,fedprox_mu_0p01
fedprox_mu_0p01,23,,2,0.4224102894465129,0.7853078179889255,0.5976495146751404,6058280,6058280,12116560,6 8 4 2 1,0.4224102894465129,2,0,False,0.8879965385218208,0.6151147123636158,0.7919335037432006,0.8733812949640288,0.7104857125223724,0.5,0.29272139685401455,0.01,5.180477046966553,3.1270978450775146,fedprox_mu_0p01
fedprox_mu_0p01,23,,3,0.3593037774165471,0.8421903914875455,0.7395232319831848,6058280,6058280,12116560,3 4 8 0 1,0.3593037774165471,3,0,False,0.9011370869976857,0.6362696328412907,0.818280032519069,0.8402877697841726,0.7962722952539654,0.4,0.31607059902420764,0.01,4.6517462730407715,2.447628974914551,fedprox_mu_0p01
fedprox_mu_0p01,23,,4,0.34278665317429435,0.8295004235373603,0.7219573259353638,6058280,6058280,12116560,7 0 8 6 3,0.34278665317429435,4,0,False,0.9076210536847323,0.6458130935862658,0.8238095174665674,0.8671462829736211,0.7804727519595137,0.5,0.3866252011324833,0.01,4.529548645019531,2.283701181411743,fedprox_mu_0p01
fedprox_mu_0p01,23,,5,0.3189617320895195,0.8590914540820651,0.7613551020622253,6058280,6058280,12116560,6 0 4 5 3,0.3189617320895195,5,0,False,0.9081526336050211,0.6460444136903171,0.8236663696260174,0.8244604316546763,0.8228723075973585,0.4,0.270806516799165,0.01,4.218180418014526,2.6873536109924316,fedprox_mu_0p01
fedprox_mu_0p01,23,,6,0.35103682842519546,0.839212265279558,0.7347553372383118,6058280,6058280,12116560,5 0 1 7 4,0.3189617320895195,5,1,False,0.9091104157962281,0.6495727511582916,0.8267870724712583,0.8556354916067146,0.797938653335802,0.5,0.3112250401235295,0.01,4.067187929153443,2.3319413661956787,fedprox_mu_0p01
fedprox_mu_0p01,23,,7,0.32671785602966946,0.8358062240812514,0.7588456869125366,6058280,6058280,12116560,5 2 4 1 7,0.3189617320895195,5,2,False,0.908526857462373,0.6582908265767042,0.8255440750158622,0.8436450839328538,0.8074430660988706,0.5,0.3492834820334286,0.01,3.9426533699035646,2.31270170211792,fedprox_mu_0p01
fedprox_mu_0p01,23,,8,0.34786052836312187,0.8305555714501275,0.7422835826873779,6058280,6058280,12116560,5 4 8 2 7,0.3189617320895195,5,3,False,0.9102846217749001,0.6594758613337414,0.827785022491172,0.8633093525179856,0.7922606924643585,0.5,0.3548797635533212,0.01,3.957306480407715,2.3351943492889404,fedprox_mu_0p01
fedprox_mu_0p01,23,,9,0.336691295935048,0.839837458398607,0.7490589618682861,6058280,6058280,12116560,1 7 8 5 3,0.3189617320895195,5,4,False,0.9102538520932929,0.6561505302486743,0.8297926443144688,0.8589928057553957,0.8005924828735419,0.5,0.2945900621118012,0.01,4.035835027694702,2.089869737625122,fedprox_mu_0p01
fedprox_mu_0p01,23,,10,0.33792144391271806,0.8475198811954923,0.7716436386108398,6058280,6058280,12116560,7 2 1 6 4,0.3189617320895195,5,5,False,0.9104629497660898,0.6593697769451624,0.8285462280055607,0.8388489208633093,0.8182435351478121,0.5,0.3086997130339127,0.01,4.099440956115723,2.2272212505340576,fedprox_mu_0p01
