run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,drift_mean_update_norm,drift_avg_update_norm,method
logreg_cvar_0.5,31,0.5,1,0.6963091741005579,0.7178681625260247,0.29899758100509644,40880,40880,81760,0 7 8 3 1,0.6963091741005579,1,0,False,0.8534099807730191,0.5039646240672438,0.7591529146614203,0.8781774580335732,0.6401283712892675,0.5,0.2327214025531039,0.9821192264556885,0.7157756090164185,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,2,0.6783902380201552,0.6976398792531755,0.3435879647731781,40880,40880,81760,0 2 8 4 1,0.6783902380201552,2,0,False,0.8553066304593799,0.5129021428344461,0.755148371582312,0.8776978417266187,0.6325989014380053,0.6,0.24278183573659276,0.672916692495346,0.4574333131313324,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,3,0.6786083231369654,0.7128022809823354,0.354649156332016,40880,40880,81760,2 8 5 0 6,0.6783902380201552,2,1,False,0.858709825326186,0.512169025617404,0.7612097324547324,0.8872901678657075,0.6351292970437573,0.7,0.2690089923976322,0.5921903848648071,0.32581815123558044,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,4,0.7903722027937571,0.7317857825093799,0.23746974766254425,40880,40880,81760,2 3 4 5 7,0.6783902380201552,2,2,False,0.8272616418992189,0.3799089109787288,0.757781243992031,0.8623501199040767,0.6532123680799852,0.6,0.15056922064612882,0.6174618184566498,0.43407222628593445,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,5,0.6610719230439928,0.7375994986957974,0.6045454740524292,40880,40880,81760,8 6 1 4 0,0.6610719230439928,5,0,False,0.8805218295276757,0.5743086532001959,0.7862898202082659,0.8815347721822542,0.6910448682342776,0.7,0.23692822461038188,0.6871198117733002,0.49660933017730713,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,6,0.6279519415564008,0.7425250642829471,0.4421016275882721,40880,40880,81760,1 0 6 3 2,0.6279519415564008,6,0,False,0.8612743058654354,0.5184317805217002,0.7646927449708443,0.8561151079136691,0.6732703820280195,0.5,0.27080743005901475,0.6729123651981354,0.36490127444267273,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,7,0.6955260518524382,0.7503451903661092,0.26374006271362305,40880,40880,81760,3 8 2 7 6,0.6279519415564008,6,1,False,0.8420523422032601,0.4311594244585966,0.7640342382638974,0.8484412470023981,0.6796272295253966,0.5,0.1906273714852485,0.7094261169433593,0.394946426153183,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,8,0.7289401590824127,0.7586980958779653,0.25025925040245056,40880,40880,81760,3 8 5 1 7,0.6279519415564008,6,2,False,0.8319321510020276,0.39087942243731966,0.7648789170848103,0.8455635491606714,0.684194285008949,0.5,0.14689632839082378,0.6405457675457,0.3560777008533478,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,9,0.577205134762658,0.7542753484514024,0.42343586683273315,40880,40880,81760,8 0 7 1 2,0.577205134762658,9,0,False,0.8681254070988719,0.5416961332550542,0.7767346130501634,0.8556354916067146,0.6978337344936123,0.5,0.26198453362593105,0.7485086798667908,0.3607160151004791,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,10,0.60889300207297,0.7518872022628784,0.32734185457229614,40880,40880,81760,2 3 1 7 0,0.577205134762658,9,1,False,0.8542225578914763,0.4925097583327156,0.7656098413252364,0.8441247002398081,0.6870949824106647,0.5,0.23731772370480436,0.7266651153564453,0.31372395157814026,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,11,0.6471027243468497,0.7602077391412523,0.30349117517471313,40880,40880,81760,1 7 5 8 6,0.577205134762658,9,2,False,0.8483089773321131,0.47612458927828644,0.7634515679439415,0.8398081534772183,0.6870949824106647,0.5,0.2229361794075379,0.6064771771430969,0.41150763630867004,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,12,0.5758507094449468,0.7756129304567972,0.3584514260292053,40880,40880,81760,6 5 1 2 8,0.5758507094449468,12,0,False,0.8575406662265077,0.49293963997551543,0.7691771263603818,0.8407673860911271,0.6975868666296365,0.5,0.2277142778215576,0.5803611040115356,0.3718620538711548,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,13,0.5501072472996182,0.7777070502440134,0.4818527400493622,40880,40880,81760,7 0 2 6 5,0.5501072472996182,13,0,False,0.8592241481763673,0.531573158713167,0.7711161935106609,0.8201438848920863,0.7220885021292354,0.6,0.26042778675135153,0.618479436635971,0.4119521379470825,logreg_cvar_0.5
logreg_cvar_0.5,31,0.5,14,0.6779805935091443,0.769437935617235,0.27480125427246094,40880,40880,81760,5 6 3 8 2,0.5501072472996182,13,1,False,0.8353578274207147,0.40738270694303413,0.7594861862777876,0.8115107913669065,0.7074615811886688,0.5,0.1462286298672463,0.6172137916088104,0.5003290772438049,logreg_cvar_0.5
