run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,mu,drift_mean_update_norm,drift_avg_update_norm,method,beta
dirichlet_beta_infinity_fedprox,37,,1,0.8240872681140899,0.6365925470987955,0.6059113144874573,81760,81760,163520,21 19 2 28 29 23 20 16 1 24,0.8240872681140899,1,0,False,0.8806837884626572,0.5652174043058584,0.7619004740662201,0.924220623501199,0.5995803246312411,0.8360655737704918,0.43046428135998305,0.01,0.6405751585960389,0.46256914734840393,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,2,0.6615314920743306,0.6961972951889038,0.6557376980781555,81760,81760,163520,11 14 16 25 3 21 28 19 9 12,0.6615314920743306,2,0,False,0.8949435748568336,0.5869761106006797,0.7924019754757201,0.9170263788968825,0.6677775720545578,0.8524590163934426,0.4860316264314157,0.01,0.5224096477031708,0.28446102142333984,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,3,0.651517516374588,0.7048920134703318,0.6721311211585999,81760,81760,163520,23 13 14 4 25 1 2 28 29 17,0.651517516374588,3,0,False,0.8986250732796469,0.6055399697814466,0.7966816252607987,0.9155875299760192,0.677775720545578,0.8360655737704918,0.5004107725407695,0.01,0.5072835713624955,0.20654445886611938,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,4,0.6190840601921082,0.712762838602066,0.6836065649986267,81760,81760,163520,9 11 20 22 13 18 24 28 27 23,0.6190840601921082,4,0,False,0.9013345220879396,0.6172164898001761,0.8023789448352445,0.9184652278177458,0.6862926618527433,0.8360655737704918,0.5252087587159473,0.01,0.49789330959320066,0.19023019075393677,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,5,0.6085500538349151,0.7148405075073242,0.6803278923034668,81760,81760,163520,1 25 16 19 6 27 13 2 0 21,0.6085500538349151,5,0,False,0.8987523404716331,0.6110301363340046,0.7989546744385643,0.9079136690647482,0.6899956798123804,0.8524590163934426,0.5169142377652913,0.01,0.49618958234786986,0.18688416481018066,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,6,0.5983712712923686,0.7448055068651835,0.6983606815338135,81760,81760,163520,20 16 11 2 22 18 7 0 10 27,0.5983712712923686,6,0,False,0.898514826354062,0.5922026575828876,0.8089697839950591,0.8920863309352518,0.7258532370548664,0.8,0.4872555104488045,0.01,0.5026916533708572,0.19042794406414032,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,7,0.591306887070338,0.7445347170035045,0.6950819492340088,81760,81760,163520,16 5 26 0 23 27 6 9 7 29,0.591306887070338,7,0,False,0.8998725700054658,0.586883639225325,0.8098602399324755,0.894484412470024,0.7252360673949269,0.8493150684931506,0.4800433425050664,0.01,0.506246367096901,0.1823093444108963,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,8,0.5914328972498576,0.7426753481229146,0.699999988079071,81760,81760,163520,20 9 19 1 28 8 22 6 15 4,0.591306887070338,7,1,False,0.896083237094827,0.5743727880672657,0.8048410077714536,0.8853717026378897,0.7243103129050176,0.8,0.46368440461165045,0.01,0.509933477640152,0.1927855908870697,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,9,0.5973365426063537,0.7579317529996236,0.7147541046142578,81760,81760,163520,6 8 19 20 1 14 24 3 17 26,0.591306887070338,7,2,False,0.8969319859794447,0.5616073619438509,0.812614725845689,0.883453237410072,0.7417762142813059,0.8243243243243243,0.4594473447811513,0.01,0.5049354016780854,0.18586765229701996,dirichlet_beta_infinity_fedprox,infinity
dirichlet_beta_infinity_fedprox,37,,10,0.5595039784908294,0.7658606350421906,0.7213114500045776,81760,81760,163520,0 8 20 7 2 14 27 4 10 11,0.5595039784908294,10,0,False,0.8999297729008053,0.56240480898967,0.8139549608230467,0.8762589928057554,0.7516509288403382,0.8,0.45603859336649394,0.01,0.49509145617485045,0.18152187764644623,dirichlet_beta_infinity_fedprox,infinity
