run_type,seed,alpha,round,loss,accuracy,worst_client_accuracy,upload_bytes,download_bytes,total_comm_bytes,selected_clients,best_loss_so_far,best_round,rounds_since_improvement,stopped_early,auroc,auprc,balanced_accuracy,sensitivity,specificity,worst_client_recall,worst_client_auprc,mu,drift_mean_update_norm,drift_avg_update_norm,method
logreg_fedprox_mu_0p1,43,,1,0.6405948963430192,0.7126473916901482,0.53370201587677,40880,40880,81760,0 4 5 1 3,0.6405948963430192,1,0,False,0.8673075906984096,0.5244484708453654,0.7654857413828241,0.894484412470024,0.6364870702956242,0.5,0.24711821078825819,0.1,0.6761187970638275,0.5911063551902771,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,2,0.7530160364177492,0.7061243189705743,0.27238160371780396,40880,40880,81760,5 1 3 4 6,0.6405948963430192,1,1,False,0.8488778390359366,0.4660032018000447,0.7562776144572215,0.891127098321343,0.6214281305931001,0.5,0.22808068612617585,0.1,0.5184352695941925,0.41549715399742126,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,3,0.6660861041810777,0.7191952301396264,0.36017975211143494,40880,40880,81760,0 6 4 2 7,0.6405948963430192,1,2,False,0.8605161491987671,0.5274296964026799,0.7640575930294461,0.882494004796163,0.6456211812627292,0.5,0.26414294292774104,0.1,0.5808958292007447,0.375261127948761,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,4,0.6741267012225257,0.7261669105953641,0.3297615051269531,40880,40880,81760,8 6 3 1 0,0.6405948963430192,1,3,False,0.860876253635122,0.500872231575469,0.7643494387974161,0.8815347721822542,0.647164105412578,0.5,0.24435445566738662,0.1,0.5961319148540497,0.27997371554374695,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,5,0.6313662528991699,0.7388554414113363,0.34669893980026245,40880,40880,81760,1 8 3 7 0,0.6313662528991699,5,0,False,0.8642210911885191,0.5225434413400821,0.771719376951688,0.8776978417266187,0.6657409121767573,0.5,0.2002174868963239,0.1,0.5885894417762756,0.22782345116138458,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,6,0.7229247507121828,0.7492374082406362,0.2474939525127411,40880,40880,81760,2 7 1 3 4,0.6313662528991699,5,1,False,0.8322913526242512,0.39439152428256313,0.7648399776753305,0.8565947242206235,0.6730852311300376,0.4,0.17566967486571544,0.1,0.5471993684768677,0.2829473316669464,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,7,0.6597409066226747,0.754733231332567,0.2775665521621704,40880,40880,81760,8 4 7 1 3,0.6313662528991699,5,2,False,0.8525970188485391,0.47019699762841605,0.7711861246052223,0.8657074340527577,0.6766648151576868,0.5,0.20565548166951975,0.1,0.5754585504531861,0.2610766589641571,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,8,0.585287481546402,0.752074079381095,0.4351883828639984,40880,40880,81760,1 0 4 7 8,0.585287481546402,8,0,False,0.8686423643902875,0.5335777014096608,0.7797770818708855,0.8690647482014389,0.690489415540332,0.6,0.21377769767215207,0.1,0.5868371963500977,0.3065597712993622,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,9,0.5696329871813456,0.76129768954383,0.515381932258606,40880,40880,81760,0 2 7 6 8,0.5696329871813456,9,0,False,0.8795509047307608,0.5650479128980792,0.788957769167003,0.8805755395683453,0.6973399987656607,0.7,0.27308346474708517,0.1,0.5718571364879608,0.26964083313941956,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,10,0.5340410106711917,0.7746721373664008,0.6747804284095764,40880,40880,81760,8 1 6 4 0,0.5340410106711917,10,0,False,0.8910329540477969,0.5932639964170632,0.7995511089739578,0.875779376498801,0.7233228414491144,0.5,0.2930475132422717,0.1,0.5389659643173218,0.29894906282424927,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,11,0.564223008023368,0.7674612171120114,0.46042171120643616,40880,40880,81760,1 7 6 5 2,0.5340410106711917,10,1,False,0.8726882445164033,0.5543102401824456,0.7836618318749925,0.8609112709832134,0.7064123927667716,0.6,0.2848477012770569,0.1,0.5166597962379456,0.3474787175655365,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,12,0.5223482979668511,0.7797509431838989,0.6963613629341125,40880,40880,81760,5 7 1 6 0,0.5223482979668511,12,0,False,0.8859674711628586,0.5883137482180386,0.7967740675077046,0.8589928057553957,0.7345553292600135,0.6,0.20309971065349047,0.1,0.5138689696788787,0.31066587567329407,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,13,0.5163255367014143,0.7894384529855516,0.687867283821106,40880,40880,81760,5 0 4 2 8,0.5163255367014143,13,0,False,0.884843526770881,0.5814304833087001,0.7962732720692545,0.8594724220623501,0.7330741220761587,0.5,0.32366327818972135,0.1,0.5253519535064697,0.3362240493297577,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,14,0.5284517440530989,0.7768318057060242,0.6840909123420715,40880,40880,81760,2 1 4 5 0,0.5163255367014143,13,1,False,0.8851887569744241,0.576881394930208,0.7958315739557955,0.8580335731414868,0.7336295747701043,0.6,0.24677675720292613,0.1,0.5187323272228241,0.2776462435722351,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,15,0.5010066578785578,0.7947089274724325,0.5323193669319153,40880,40880,81760,4 7 6 5 2,0.5010066578785578,15,0,False,0.8715617988852761,0.5582876229909592,0.7866738862196672,0.8407673860911271,0.7325803863482071,0.5,0.3039922783783768,0.1,0.490030312538147,0.3456422686576843,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,16,0.49905813071462846,0.7882768114407858,0.5651572942733765,40880,40880,81760,6 0 3 8 4,0.49905813071462846,16,0,False,0.8724226247589226,0.5508615124205133,0.7843843199833764,0.830695443645084,0.7380731963216688,0.5,0.286814008620519,0.1,0.5861804604530334,0.3438218832015991,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,17,0.45083050264252555,0.8085109127892388,0.6788800358772278,40880,40880,81760,1 5 8 7 0,0.45083050264252555,17,0,False,0.8851874693542704,0.5876705730579673,0.7983755117735103,0.834052757793765,0.7626982657532556,0.5,0.2922579496736204,0.1,0.5415319442749024,0.28507015109062195,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,18,0.47017773654725814,0.8099324835671319,0.7299874424934387,40880,40880,81760,2 4 0 5 7,0.45083050264252555,17,1,False,0.8892926540086206,0.5854223899540072,0.8024548700236256,0.8441247002398081,0.760785039807443,0.5,0.22426491283057873,0.1,0.5185703277587891,0.2808142900466919,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,19,0.4858458621634377,0.812856588098738,0.6973651051521301,40880,40880,81760,6 7 4 0 1,0.45083050264252555,17,2,False,0.8954305320786881,0.5883887668893462,0.8114106677997724,0.860431654676259,0.7623896809232859,0.5,0.19213566461997428,0.1,0.5428832471370697,0.28699931502342224,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,20,0.46610203716490006,0.8101115955246819,0.7149310111999512,40880,40880,81760,0 1 6 8 7,0.45083050264252555,17,3,False,0.8919729019598613,0.6017037980890109,0.8106499062923334,0.8513189448441247,0.7699808677405419,0.6,0.24186397106552554,0.1,0.5658677101135254,0.2520241439342499,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,21,0.44555314547485775,0.8270463811026679,0.735508143901825,40880,40880,81760,0 5 8 7 4,0.44555314547485775,21,0,False,0.8864919025712591,0.5880192497994562,0.8054695440093028,0.8258992805755395,0.7850398074430661,0.5,0.20793704151842024,0.1,0.4999139666557312,0.24968326091766357,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,22,0.47272799329625237,0.8080279959572686,0.5478741526603699,40880,40880,81760,7 4 6 5 3,0.44555314547485775,21,1,False,0.8746836117478911,0.5642773059520304,0.789377355734372,0.8206235011990408,0.7581312102697031,0.4,0.23869638129646611,0.1,0.507378226518631,0.3892170190811157,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,23,0.43880484998226166,0.8241808348231845,0.7362609505653381,40880,40880,81760,5 6 0 8 7,0.43880484998226166,23,0,False,0.8856032818625676,0.5914032509509439,0.8072909937186337,0.8321342925659473,0.7824476948713202,0.4,0.21964790656664535,0.1,0.5226414740085602,0.32510483264923096,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,24,0.4565792828798294,0.8132832017209795,0.4970618784427643,40880,40880,81760,1 3 6 5 7,0.43880484998226166,23,1,False,0.8697325198534007,0.5452396670528129,0.782861997755989,0.8062350119904077,0.7594889835215701,0.3,0.22818077299944173,0.1,0.5123659610748291,0.34926047921180725,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,25,0.46236419760518604,0.8107397622532315,0.5824403762817383,40880,40880,81760,3 6 2 4 5,0.43880484998226166,23,2,False,0.8794166222289712,0.5592573655475004,0.7917445787861472,0.8254196642685852,0.7580694933037092,0.5,0.30746137712418325,0.1,0.47518526315689086,0.39665651321411133,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,26,0.41495853828059304,0.8265844517283969,0.7469754815101624,40880,40880,81760,6 5 3 2 0,0.41495853828059304,26,0,False,0.8875941646238646,0.5844597007700945,0.7979870944940031,0.8038369304556355,0.7921372585323706,0.4,0.2739591763170207,0.1,0.5273273408412933,0.3014141917228699,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,27,0.4065553413497077,0.8333788514137268,0.7608531713485718,40880,40880,81760,2 8 6 1 0,0.4065553413497077,27,0,False,0.8921994491057775,0.5917911251060081,0.8055560809637792,0.8158273381294964,0.7952848237980621,0.4,0.3044914665654957,0.1,0.5816034734249115,0.28602421283721924,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,28,0.4083787699540456,0.8288159502877129,0.7207051515579224,40880,40880,81760,3 4 1 2 6,0.4065553413497077,27,1,False,0.8876467942476235,0.5870124930030027,0.7993827859393655,0.8033573141486811,0.79540825773005,0.5,0.3296197832182225,0.1,0.5234785377979279,0.2948518991470337,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,29,0.4263724461197853,0.8257432248857286,0.655375063419342,40880,40880,81760,3 6 7 8 1,0.4065553413497077,27,2,False,0.8875809036163034,0.5808274583957944,0.7997784849328462,0.8163069544364508,0.7832500154292416,0.5,0.3020806548976952,0.1,0.5853044629096985,0.31426161527633667,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,30,0.41923997633987004,0.832199235757192,0.740276038646698,40880,40880,81760,0 7 4 8 5,0.4065553413497077,27,3,False,0.8966572936799605,0.5987583782854085,0.8140322624329716,0.8311750599520383,0.7968894649139048,0.5,0.24766159231801269,0.1,0.5167791724205018,0.3494507968425751,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,31,0.43594195942083996,0.8336645828353034,0.745043933391571,40880,40880,81760,0 8 4 6 5,0.4065553413497077,27,4,False,0.8858603470861526,0.5771853391763521,0.8028564743095359,0.8105515587529976,0.7951613898660742,0.5,0.2664446453163334,0.1,0.5062760889530182,0.3296791911125183,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,32,0.4268626570701599,0.8295864661534628,0.7442910671234131,40880,40880,81760,8 1 4 2 5,0.4065553413497077,27,5,False,0.8991712166278827,0.6131524055957658,0.8160291836887832,0.8359712230215828,0.7960871443559835,0.6,0.32557005275426326,0.1,0.531767201423645,0.3876609206199646,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,33,0.4150751084089279,0.8378392656644186,0.7575909495353699,40880,40880,81760,3 2 8 6 1,0.4065553413497077,27,6,False,0.8938047858325078,0.5899265376582065,0.8086683476769778,0.8182254196642685,0.7991112756896871,0.4,0.3437204764823299,0.1,0.5706465482711792,0.27717825770378113,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,34,0.387596994638443,0.8472113874223497,0.752321183681488,40880,40880,81760,3 0 7 5 1,0.387596994638443,34,0,False,0.8972756473584325,0.5978215946714429,0.8120549218836373,0.8124700239808154,0.8116398197864593,0.4,0.25137369577805463,0.1,0.5484629809856415,0.29856353998184204,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,35,0.3798541973034541,0.8424795667330424,0.7601003646850586,40880,40880,81760,1 6 8 3 5,0.3798541973034541,35,0,False,0.8949587006935832,0.6038522454996081,0.809527145918888,0.814388489208633,0.8046658026291428,0.5,0.31423881212381427,0.1,0.5007492244243622,0.26959386467933655,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,36,0.3930261640085114,0.8425323963165283,0.7535759210586548,40880,40880,81760,1 0 8 3 7,0.3798541973034541,35,1,False,0.8969648572939465,0.6000075695266353,0.8159949063522742,0.8278177458033573,0.8041720669011911,0.5,0.3320724753764016,0.1,0.594200074672699,0.2424355149269104,logreg_fedprox_mu_0p1
logreg_fedprox_mu_0p1,43,,37,0.40333731638060677,0.8361133601930406,0.7476667761802673,40880,40880,81760,5 8 2 4 1,0.3798541973034541,35,2,False,0.8896293000778049,0.5867952129958174,0.8042574050369036,0.8139088729016787,0.7946059371721286,0.4,0.3500361695773245,0.1,0.5058189988136291,0.33418750762939453,logreg_fedprox_mu_0p1
