precision,recall,threshold
0.11400918635170604,1.0,3.445897789333685e-07
0.11401542079072566,1.0,2.1391999780462356e-06
0.11402165591162639,1.0,4.414750037540216e-06
0.1140278917145201,1.0,7.120606824173592e-06
0.1140341281995187,1.0,7.219081453513354e-06
0.11404036536673412,1.0,8.368284397874959e-06
0.11404660321627831,1.0,1.0223548997601029e-05
0.11405284174826322,1.0,1.1355625247233547e-05
0.11405908096280087,1.0,1.3152070096111856e-05
0.11406532086000329,1.0,1.4354523955262266e-05
0.1140715614399825,1.0,1.7045900676748715e-05
0.11407780270285058,1.0,2.3042037355480716e-05
0.11408404464871963,1.0,2.424674494250212e-05
0.11409028727770178,1.0,2.8601418307516724e-05
0.11409653058990916,1.0,3.0682676879223436e-05
0.11410277458545395,1.0,3.249172368668951e-05
0.11410901926444833,1.0,3.514581112540327e-05
0.11411526462700454,1.0,3.658925925265066e-05
0.11412151067323481,1.0,3.865926555590704e-05
0.11412775740325141,1.0,4.0875554986996576e-05
0.11413400481716662,1.0,4.261405410943553e-05
0.11414025291509279,1.0,4.3425006879260764e-05
0.11414650169714223,1.0,4.5698969188379124e-05
0.11415275116342732,1.0,4.7008212277432904e-05
0.11415900131406044,1.0,4.810374593944289e-05
0.11416525214915403,1.0,4.938703204970807e-05
0.1141715036688205,1.0,5.086571763968095e-05
0.11417775587317233,1.0,5.277337186271325e-05
0.11418400876232201,1.0,5.306596722221002e-05
0.11419026233638206,1.0,5.447590592666529e-05
0.11419651659546501,1.0,5.583208621828817e-05
0.1142027715396834,1.0,5.678973320755176e-05
0.11420902716914987,1.0,5.6805165513651446e-05
0.114215283483977,1.0,5.7847268180921674e-05
0.11422154048427742,1.0,5.795294782728888e-05
0.1142277981701638,1.0,6.136033334769309e-05
0.11423405654174885,1.0,6.189253326738253e-05
0.11424031559914526,1.0,6.255574407987297e-05
0.11424657534246575,1.0,6.371437484631315e-05
0.11425283577182312,1.0,6.414284143829718e-05
0.11425909688733012,1.0,6.555121944984421e-05
0.11426535868909958,1.0,6.710574962198734e-05
0.11427162117724433,1.0,6.816328095737845e-05
0.11427788435187723,1.0,6.899973232066259e-05
0.11428414821311116,1.0,6.994450086494908e-05
0.11429041276105904,1.0,7.074194581946358e-05
0.11429667799583379,1.0,7.166660361690447e-05
0.11430294391754837,1.0,7.213414210127667e-05
0.11430921052631579,1.0,7.214219658635557e-05
0.11431547782224903,1.0,7.385081698885188e-05
0.11432174580546113,1.0,7.673465006519109e-05
0.11432801447606514,1.0,7.73635838413611e-05
0.11433428383417416,1.0,7.788797665853053e-05
0.11434055387990129,1.0,7.836649456294253e-05
0.11434682461335965,1.0,7.969709258759394e-05
0.11435309603466243,1.0,8.116662502288818e-05
0.11435936814392278,1.0,8.132195944199339e-05
0.11436564094125391,1.0,8.547486504539847e-05
0.11437191442676906,1.0,8.610191434854642e-05
0.11437818860058149,1.0,8.684123167768121e-05
0.11438446346280448,1.0,9.03518739505671e-05
0.11439073901355133,1.0,9.091866377275437e-05
0.11439701525293537,1.0,9.129729005508125e-05
0.11440329218106995,1.0,9.583940118318424e-05
0.11440956979806848,1.0,0.00010548346472205594
0.11441584810404434,1.0,0.00010589607700239867
0.11442212709911097,1.0,0.00010859277244890109
0.11442840678338181,1.0,0.00010914422455243766
0.11443468715697036,1.0,0.00010933391604339704
0.11444096821999011,1.0,0.00010936780017800629
0.11444724997255462,1.0,0.00011200220615137368
0.1144535324147774,1.0,0.00011240782623644918
0.11445981554677206,1.0,0.00011297175660729408
0.11446609936865221,1.0,0.00011603722668951377
0.11447238388053146,1.0,0.00011624057515291497
0.11447866908252347,1.0,0.000117569237772841
0.11448495497474193,1.0,0.00011835233453894034
0.11449124155730053,1.0,0.0001224175066454336
0.11449752883031301,1.0,0.00012511004752013832
0.11450381679389313,1.0,0.00012595104635693133
0.11451010544815465,1.0,0.00012866768520325422
0.1145163947932114,1.0,0.00012890223297290504
0.1145226848291772,1.0,0.00013250234769657254
0.11452897555616588,1.0,0.00013470718113239855
0.11453526697429137,1.0,0.0001380422618240118
0.11454155908366753,1.0,0.00014202689635567367
0.1145478518844083,1.0,0.00014257726434152573
0.11455414537662766,1.0,0.00014512299094349146
0.11456043956043956,1.0,0.00014725109213031828
0.11456673443595802,1.0,0.00014932308113202453
0.11457303000329706,1.0,0.00015037857519928366
0.11457932626257075,1.0,0.00015181586786638945
0.11458562321389316,1.0,0.00015249763964675367
0.1145919208573784,1.0,0.00015354278730228543
0.1145982191931406,1.0,0.00015358933887910098
0.1146045182212939,1.0,0.00015822651039343327
0.1146108179419525,1.0,0.00016058763139881194
0.11461711835523061,1.0,0.0001636557572055608
0.11462341946124244,1.0,0.00016516195319127291
0.11462972126010226,1.0,0.00016521850193385035
0.11463602375192435,1.0,0.0001695222599664703
0.11464232693682301,1.0,0.00016975954349618405
0.11464863081491257,1.0,0.00017142845899797976
0.1146549353863074,1.0,0.00017152329382952303
0.11466124065112186,1.0,0.0001728765928419307
0.11466754660947039,1.0,0.00017361779464408755
0.11467385326146738,1.0,0.0001739163853926584
0.11468016060722733,1.0,0.00017430951993446797
0.11468646864686469,1.0,0.00017519312677904963
0.11469277738049398,1.0,0.00017565595044288784
0.11469908680822972,1.0,0.00017811040743254125
0.1147053969301865,1.0,0.00018026850011665374
0.11471170774647887,1.0,0.0001830332912504673
0.11471801925722146,1.0,0.00018331293540541083
0.11472433146252889,1.0,0.00018335260392632335
0.11473064436251582,1.0,0.0001840204349718988
0.11473695795729694,1.0,0.00018453155644237995
0.11474327224698695,1.0,0.00018950318917632103
0.1147495872317006,1.0,0.00018989788077306002
0.11475590291155265,1.0,0.00019382266327738762
0.11476221928665786,1.0,0.00019390694797039032
0.11476853635713107,1.0,0.0001939405919983983
0.11477485412308709,1.0,0.0002072491915896535
0.1147811725846408,1.0,0.00021221814677119255
0.11478749174190707,1.0,0.00021358023514039814
0.11479381159500082,1.0,0.00021908768394496292
0.114800132144037,1.0,0.0002198344882344827
0.11480645338913055,1.0,0.00022028182866051793
0.11481277533039648,1.0,0.0002212496765423566
0.11481909796794977,1.0,0.00022461374464910477
0.1148254213019055,1.0,0.00023238219728227705
0.11483174533237869,1.0,0.00023378025798592716
0.11483807005948447,1.0,0.00023774882720317692
0.11484439548333793,1.0,0.00023864796094130725
0.1148507216040542,1.0,0.00023954478092491627
0.11485704842174847,1.0,0.00024028705956880003
0.11486337593653592,1.0,0.0002417441864963621
0.11486970414853176,1.0,0.00024412362836301327
0.11487603305785124,1.0,0.00024445110466331244
0.11488236266460962,1.0,0.0002485195000190288
0.1148886929689222,1.0,0.00024897651746869087
0.11489502397090429,1.0,0.000249612086918205
0.11490135567067122,1.0,0.0002553864906076342
0.11490768806833838,1.0,0.0002556354447733611
0.11491402116402116,1.0,0.0002567419724073261
0.11492035495783498,1.0,0.0002573519595898688
0.11492668944989527,1.0,0.00026034971233457327
0.11493302464031752,1.0,0.00026100262766703963
0.1149393605292172,1.0,0.0002615252451505512
0.11494569711670985,1.0,0.0002661810431163758
0.11495203440291102,1.0,0.0002666814543772489
0.11495837238793627,1.0,0.0002670020330697298
0.11496471107190119,1.0,0.00026719659217633307
