client_id,client_name,test_samples,deaths,accuracy,balanced_accuracy,auroc,auprc,sensitivity,specificity,precision_ppv,npv,f1_death,brier,mean_confidence,positive_rate,predicted_positive_rate,tp,tn,fp,fn
0,Cardiac Vascular Intensive Care Unit (CVICU),2893,123,0.9243000345661943,0.8089724399049045,0.9040562355082035,0.5300243180656424,0.6829268292682927,0.9350180505415162,0.3181818181818182,0.9851654621529099,0.43410852713178294,0.06404476225323083,0.8758022920754884,0.04251641894227445,0.09125475285171103,84,2590,180,39
1,Coronary Care Unit (CCU),2080,267,0.8447115384615385,0.8310774659089266,0.9160061230687235,0.6931421920041942,0.8127340823970037,0.8494208494208494,0.44285714285714284,0.9685534591194969,0.5733157199471598,0.11417549401511665,0.819811551931959,0.1283653846153846,0.23557692307692307,217,1540,273,50
2,Medical Intensive Care Unit (MICU),3985,589,0.775909661229611,0.8004603438380518,0.8938819464025389,0.6931069478697996,0.8353140916808149,0.7656065959952886,0.38198757763975155,0.96403411197627,0.5242408098028769,0.15003284725769586,0.7822271176383666,0.14780426599749058,0.3232120451693852,492,2600,796,97
3,Medical/Surgical Intensive Care Unit (MICU/SICU),3166,461,0.8019583070120025,0.7914286630767318,0.8769363394693686,0.6111022448503496,0.7765726681127982,0.8062846580406654,0.40589569160997735,0.9549036777583187,0.5331347728965004,0.13900760229580889,0.7866854736003707,0.1456096020214782,0.2785849652558433,358,2181,524,103
4,Neuro Intermediate,504,10,0.9722222222222222,0.6919028340080972,0.9283400809716599,0.3134368393234672,0.4,0.9838056680161943,0.3333333333333333,0.9878048780487805,0.36363636363636365,0.023592199023574602,0.955688537586303,0.01984126984126984,0.023809523809523808,4,486,8,6
5,Neuro Stepdown,255,5,0.9568627450980393,0.782,0.9584,0.4385654885654886,0.6,0.964,0.25,0.9917695473251029,0.35294117647058826,0.027922655213583142,0.940652739534191,0.0196078431372549,0.047058823529411764,3,241,9,2
6,Neuro Surgical Intensive Care Unit (Neuro SICU),440,72,0.8477272727272728,0.8195954106280193,0.9141757246376812,0.7136041139369944,0.7777777777777778,0.8614130434782609,0.5233644859813084,0.9519519519519519,0.6256983240223464,0.10606731900647891,0.816811226714741,0.16363636363636364,0.2431818181818182,56,317,51,16
7,Surgical Intensive Care Unit (SICU),2798,333,0.8373838456040028,0.7947243389434059,0.8942699291583673,0.6425122787709053,0.7387387387387387,0.850709939148073,0.4006514657980456,0.9601648351648352,0.5195353748680043,0.11157129303454086,0.8255515107518865,0.11901358112937813,0.2194424588992137,246,2097,368,87
8,Trauma SICU (TSICU),2167,225,0.8560221504383941,0.8194679025060075,0.9147293740702599,0.6829091004534591,0.7733333333333333,0.8656024716786818,0.4,0.9705542725173211,0.5272727272727272,0.1058588608948838,0.8222891170416332,0.10383017997231195,0.20073834794646978,174,1681,261,51
