fpr,tpr,threshold
0.0,0.0,inf
0.0,0.00047961630695443646,0.9999774694442749
0.0,0.03836930455635491,0.9985710382461548
6.171696599395174e-05,0.03836930455635491,0.9985238909721375
6.171696599395174e-05,0.08249400479616308,0.9953834414482117
0.0001234339319879035,0.08249400479616308,0.9953703284263611
0.0001234339319879035,0.08297362110311751,0.9953367114067078
0.00018515089798185522,0.08297362110311751,0.9951897859573364
0.00018515089798185522,0.08585131894484413,0.9947079420089722
0.000246867863975807,0.08585131894484413,0.9946883916854858
0.000246867863975807,0.09400479616306955,0.9941810965538025
0.0003085848299697587,0.09400479616306955,0.9941798448562622
0.0003085848299697587,0.11175059952038369,0.9922475814819336
0.00043201876195766216,0.11175059952038369,0.9921180605888367
0.00043201876195766216,0.11654676258992806,0.9913161993026733
0.000493735727951614,0.11654676258992806,0.9912682771682739
0.000493735727951614,0.11846522781774581,0.9910334944725037
0.0005554526939455656,0.11846522781774581,0.9908843636512756
0.0005554526939455656,0.1410071942446043,0.9867836236953735
0.0006171696599395174,0.1410071942446043,0.9867812991142273
0.0006171696599395174,0.15011990407673861,0.985312283039093
0.0006788866259334691,0.15011990407673861,0.9852361679077148
0.0006788866259334691,0.15059952038369304,0.9850436449050903
0.0007406035919274209,0.15059952038369304,0.9849934577941895
0.0007406035919274209,0.15683453237410072,0.9834935665130615
0.0008023205579213725,0.15683453237410072,0.9834610223770142
0.0008023205579213725,0.16115107913669063,0.9825621843338013
0.0008640375239153243,0.16115107913669063,0.982418954372406
0.0008640375239153243,0.16211031175059953,0.9823331236839294
0.0009257544899092761,0.16211031175059953,0.9823076725006104
0.0009257544899092761,0.16258992805755396,0.9822151064872742
0.000987471455903228,0.16258992805755396,0.9821292161941528
0.000987471455903228,0.16498800959232615,0.9812993407249451
0.0010491884218971795,0.16498800959232615,0.9812749028205872
0.0010491884218971795,0.173621103117506,0.9794536232948303
0.001172622353885083,0.173621103117506,0.9793517589569092
0.001172622353885083,0.17553956834532375,0.9788219928741455
0.0012343393198790348,0.17553956834532375,0.9787771701812744
0.0012343393198790348,0.17601918465227817,0.9787348508834839
0.0012960562858729864,0.17601918465227817,0.9784330129623413
0.0012960562858729864,0.17649880095923262,0.9782132506370544
0.0013577732518669382,0.17649880095923262,0.9781644344329834
0.0013577732518669382,0.17697841726618704,0.978103756904602
0.00141949021786089,0.17697841726618704,0.9779222011566162
0.00141949021786089,0.18657074340527577,0.9760625958442688
0.0014812071838548417,0.18657074340527577,0.9759743809700012
0.0014812071838548417,0.18992805755395684,0.9749169945716858
0.0015429241498487935,0.18992805755395684,0.9747554659843445
0.0015429241498487935,0.20047961630695443,0.9723972082138062
0.0016663580818366969,0.20047961630695443,0.972242534160614
0.0016663580818366969,0.20335731414868105,0.9709946513175964
0.0017280750478306487,0.20335731414868105,0.9709863066673279
0.0017280750478306487,0.20671462829736212,0.9697955250740051
0.0018515089798185522,0.20671462829736212,0.9696266055107117
0.0018515089798185522,0.21247002398081535,0.9669156074523926
0.001974942911806456,0.21247002398081535,0.9666913151741028
0.001974942911806456,0.21342925659472423,0.9658625721931458
0.002098376843794359,0.21342925659472423,0.9657725691795349
0.002098376843794359,0.218705035971223,0.9647491574287415
0.0021600938097883107,0.218705035971223,0.9647271037101746
0.0021600938097883107,0.21918465227817746,0.9646393656730652
0.0022218107757822625,0.21918465227817746,0.9644267559051514
0.0022218107757822625,0.21966426858513188,0.9641091823577881
0.0022835277417762143,0.21966426858513188,0.9640360474586487
0.0022835277417762143,0.2211031175059952,0.9633744359016418
0.002345244707770166,0.2211031175059952,0.9633554220199585
0.002345244707770166,0.22350119904076737,0.9616910815238953
0.0024686786397580696,0.22350119904076737,0.9614216685295105
0.0024686786397580696,0.22541966426858512,0.9598813056945801
0.0025303956057520214,0.22541966426858512,0.9597594141960144
0.0025303956057520214,0.22829736211031176,0.95835942029953
0.0026538295377399245,0.22829736211031176,0.958131730556488
0.0026538295377399245,0.23261390887290168,0.9566264748573303
0.0027155465037338763,0.23261390887290168,0.9566210508346558
0.0027155465037338763,0.23501199040767387,0.9558398127555847
0.002777263469727828,0.23501199040767387,0.9558232426643372
0.002777263469727828,0.23980815347721823,0.9549634456634521
0.0029006974017157317,0.23980815347721823,0.9548656940460205
0.0029006974017157317,0.2422062350119904,0.9539939165115356
0.0029624143677096835,0.2422062350119904,0.9539323449134827
0.0029624143677096835,0.24364508393285372,0.9534911513328552
0.0030241313337036353,0.24364508393285372,0.9534357190132141
0.0030241313337036353,0.24412470023980815,0.9532750844955444
0.003085848299697587,0.24412470023980815,0.9531946778297424
0.003085848299697587,0.24652278177458034,0.9527447819709778
0.003147565265691539,0.24652278177458034,0.9525167346000671
0.003147565265691539,0.2474820143884892,0.9523108005523682
0.00320928223168549,0.2474820143884892,0.9522712826728821
0.00320928223168549,0.2513189448441247,0.950812816619873
0.0033944331296673455,0.2513189448441247,0.9503964781761169
0.0033944331296673455,0.25371702637889687,0.9499133825302124
0.0034561500956612973,0.25371702637889687,0.9499014019966125
0.0034561500956612973,0.2551558752997602,0.9488198161125183
0.003517867061655249,0.2551558752997602,0.9487454295158386
0.003517867061655249,0.2580335731414868,0.9482946395874023
0.003579584027649201,0.2580335731414868,0.948081910610199
0.003579584027649201,0.26091127098321343,0.9464986324310303
0.0036413009936431527,0.26091127098321343,0.9463921189308167
0.0036413009936431527,0.26187050359712233,0.9458730816841125
0.0037030179596371044,0.26187050359712233,0.9455121159553528
0.0037030179596371044,0.2628297362110312,0.9448288083076477
0.003764734925631056,0.2628297362110312,0.9447508454322815
0.003764734925631056,0.2633093525179856,0.9445900917053223
0.0038264518916250076,0.2633093525179856,0.9443962574005127
0.0038264518916250076,0.2637889688249401,0.9443315863609314
0.0038881688576189594,0.2637889688249401,0.9441949129104614
0.0038881688576189594,0.2647482014388489,0.9439638257026672
0.003949885823612912,0.2647482014388489,0.9438526034355164
0.003949885823612912,0.2657074340527578,0.9434934854507446
0.004073319755600814,0.2657074340527578,0.9431455135345459
0.004073319755600814,0.26906474820143883,0.9420339465141296
0.004196753687588718,0.26906474820143883,0.9419689178466797
0.004196753687588718,0.2695443645083933,0.9416404962539673
0.00425847065358267,0.2695443645083933,0.9416279196739197
0.00425847065358267,0.27050359712230215,0.9412959218025208
0.004320187619576621,0.27050359712230215,0.9412510395050049
0.004320187619576621,0.27146282973621105,0.9403232932090759
0.004505338517558477,0.27146282973621105,0.9395199418067932
0.004505338517558477,0.2719424460431655,0.9394998550415039
0.0045670554835524286,0.2719424460431655,0.9393458366394043
0.0045670554835524286,0.2733812949640288,0.9389068484306335
0.00462877244954638,0.2733812949640288,0.9386816024780273
0.00462877244954638,0.27434052757793764,0.9386172294616699
0.0047522063815342835,0.27434052757793764,0.9379051923751831
0.0047522063815342835,0.27482014388489207,0.9373096227645874
0.004875640313522187,0.27482014388489207,0.9367868900299072
0.004875640313522187,0.27529976019184654,0.9364327788352966
0.004999074245510091,0.27529976019184654,0.9363219738006592
0.004999074245510091,0.2762589928057554,0.9361057281494141
