method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
fedavg_default,7,39,True,14,0.32655315349499386,0.3794770720932219,0.8774623076121012,0.802972674369812,472545840,0.8820965889758107,0.6254421209924927,0.7947206241672096,0.7280575539568346,0.8613836943775844,0.2,0.21171361555374835
fedavg_default,11,38,True,13,0.31739943971236545,0.3814855217933655,0.8807966311772665,0.7947302460670471,460429280,0.889414874321613,0.6321691582212284,0.8005845351491442,0.7342925659472422,0.8668765043510461,0.2,0.1763679934339327
fedavg_default,19,39,True,14,0.30874937938319313,0.41669832666714984,0.8641561203532748,0.7939774394035339,472545840,0.8982748405978049,0.6520079037637311,0.8162537180031941,0.7913669064748201,0.8411405295315683,0.3,0.1606001189568123
fedavg_default,23,36,True,11,0.31168950017955566,0.4554060763782925,0.8501001066631741,0.7972396612167358,436196160,0.8851028416296772,0.6284944332781508,0.8043716036243399,0.7788968824940048,0.829846324754675,0.4,0.13529579558923724
fedavg_default,29,42,True,17,0.31673915601438946,0.3302426040172577,0.9042552179760404,0.836888313293457,508895520,0.8843173637353772,0.6189501028880453,0.7774286847137731,0.640767386091127,0.9140899833364192,0.0,0.13771230758443034
fedavg_default,31,68,True,43,0.2891814857721329,0.4667355716228485,0.8363693025377061,0.7897114157676697,823926080,0.8802720460180644,0.6178531424080284,0.7925443685044558,0.7501199040767386,0.834968832932173,0.1,0.07187991057345611
fedavg_default,37,53,True,28,0.30023010985718834,0.30984385642740464,0.9111431174808078,0.8526976108551025,642177680,0.8908124453963954,0.6292565392691625,0.7725074892872223,0.6187050359712231,0.9263099426032216,0.1,0.2633272283272283
fedavg_default,41,43,True,18,0.30836959100431865,0.40867503815227085,0.8685274190372891,0.7969887256622314,521012080,0.8989668402289834,0.6463206144414492,0.8119876104300785,0.7688249400479616,0.8551502808121952,0.3,0.17628700128700128
fedavg_default,43,42,True,17,0.32506612605518764,0.3999762584765752,0.8724228938420614,0.7994981408119202,508895520,0.9019710948515766,0.6531963376383315,0.8160784684601883,0.7760191846522781,0.8561377522680985,0.4,0.21900421103088916
fedavg_default,47,72,True,47,0.28308448526594376,0.3140810959868961,0.9109104739295112,0.8597599267959595,872392320,0.8779385230937635,0.6119246805599008,0.7556011254688157,0.5764988009592326,0.934703449978399,0.1,0.15383186226435652
