method,seed,round,client_id,update_norm,cosine_to_mean,distance_to_mean
cvar_0.75,29,1,17,0.4196305274963379,0.8698188066482544,0.2105013132095337
cvar_0.75,29,1,2,0.39816582202911377,0.8889917731285095,0.18882080912590027
cvar_0.75,29,1,11,0.4151821732521057,0.8989128470420837,0.1843336820602417
cvar_0.75,29,1,19,0.5360551476478577,0.8724546432495117,0.26982444524765015
cvar_0.75,29,1,26,0.5218791961669922,0.9021040797233582,0.23516972362995148
cvar_0.75,29,1,9,0.40924349427223206,0.8256213068962097,0.23992536962032318
cvar_0.75,29,1,28,0.5574092864990234,0.8656401038169861,0.29017212986946106
cvar_0.75,29,1,16,0.47328123450279236,0.8625709414482117,0.23950649797916412
cvar_0.75,29,1,27,0.4610678553581238,0.8896343111991882,0.21067890524864197
cvar_0.75,29,1,12,0.4283352196216583,0.8737823963165283,0.2102854996919632
cvar_0.75,29,2,13,0.4974380433559418,0.8093467950820923,0.29332712292671204
cvar_0.75,29,2,0,0.5553057789802551,0.8195990324020386,0.31924960017204285
cvar_0.75,29,2,1,0.4763683080673218,0.8862388134002686,0.2207658886909485
cvar_0.75,29,2,3,0.44378554821014404,0.8597714900970459,0.2314908653497696
cvar_0.75,29,2,14,0.4567442834377289,0.89508056640625,0.20463599264621735
cvar_0.75,29,2,20,0.6091792583465576,0.8975880742073059,0.29335665702819824
cvar_0.75,29,2,7,0.44319313764572144,0.8667137026786804,0.22552305459976196
cvar_0.75,29,2,11,0.4584912955760956,0.9212794303894043,0.1784207969903946
cvar_0.75,29,2,2,0.4580039381980896,0.897904098033905,0.20236660540103912
cvar_0.75,29,2,15,0.5030164122581482,0.8544673919677734,0.26132339239120483
cvar_0.75,29,3,10,0.4273655414581299,0.8169043660163879,0.2465430051088333
cvar_0.75,29,3,19,0.4382897913455963,0.7964181900024414,0.26510149240493774
cvar_0.75,29,3,17,0.43983766436576843,0.8717882633209229,0.2174670398235321
cvar_0.75,29,3,13,0.4262300133705139,0.744767427444458,0.28677842020988464
cvar_0.75,29,3,23,0.44947531819343567,0.8717286586761475,0.2234554886817932
cvar_0.75,29,3,6,0.4525105059146881,0.792042076587677,0.2762777507305145
