method,seed,round,client_id,update_norm,cosine_to_mean,distance_to_mean
cvar_0,41,1,6,4.734283924102783,0.25876036286354065,7.126289367675781
cvar_0,41,1,5,3.3866524696350098,0.18782512843608856,6.9080047607421875
cvar_0,41,1,1,9.243022918701172,0.6049409508705139,7.44154167175293
cvar_0,41,1,8,9.58963394165039,0.6135434508323669,7.615419864654541
cvar_0,41,1,3,11.127882957458496,0.8275651931762695,6.735461711883545
cvar_0,41,2,4,4.113455772399902,0.1661149263381958,6.511936664581299
cvar_0,41,2,8,8.99123764038086,0.5157192945480347,7.787311553955078
cvar_0,41,2,3,10.045756340026855,0.6941590905189514,7.329370498657227
cvar_0,41,2,5,2.7907845973968506,0.10375721752643585,6.150048732757568
cvar_0,41,2,7,10.11802864074707,0.664522647857666,7.619860649108887
cvar_0,41,3,0,10.430585861206055,0.5705993175506592,8.596664428710938
cvar_0,41,3,3,9.9921293258667,0.5969569683074951,8.050493240356445
cvar_0,41,3,5,3.0120131969451904,0.09170854836702347,5.786661624908447
cvar_0,41,3,8,8.866134643554688,0.43008461594581604,8.127791404724121
cvar_0,41,3,7,9.604877471923828,0.5392135977745056,8.089061737060547
cvar_0,41,4,2,11.647851943969727,0.792149007320404,7.919607162475586
cvar_0,41,4,8,8.893155097961426,0.38329511880874634,8.537453651428223
cvar_0,41,4,5,2.786139488220215,0.06973254680633545,6.2001423835754395
cvar_0,41,4,7,9.507646560668945,0.5049731731414795,8.259527206420898
cvar_0,41,4,1,8.617802619934082,0.39567241072654724,8.249470710754395
cvar_0,41,5,4,4.485087871551514,0.13813036680221558,6.515321254730225
cvar_0,41,5,0,10.505287170410156,0.6876466274261475,7.845693111419678
cvar_0,41,5,7,9.403341293334961,0.6176028847694397,7.407650470733643
cvar_0,41,5,8,8.863065719604492,0.5040615797042847,7.7096333503723145
cvar_0,41,5,6,4.404313564300537,0.13297046720981598,6.4881672859191895
cvar_0,41,6,6,4.738339424133301,0.13572190701961517,6.409336566925049
cvar_0,41,6,4,3.9714484214782715,0.11713383346796036,6.01511287689209
cvar_0,41,6,8,8.74812126159668,0.7241796255111694,6.17734956741333
cvar_0,41,6,5,2.8341689109802246,0.09057336300611496,5.525341987609863
cvar_0,41,6,1,8.83730411529541,0.7042515277862549,6.390998840332031
cvar_0,41,7,1,8.598522186279297,0.3999151289463043,8.050559997558594
cvar_0,41,7,5,3.106226682662964,0.07917176932096481,5.742664337158203
cvar_0,41,7,7,9.434673309326172,0.5808576941490173,7.690182685852051
cvar_0,41,7,3,10.727526664733887,0.7107875347137451,7.962714672088623
cvar_0,41,7,8,8.231006622314453,0.3643375039100647,7.9433441162109375
cvar_0,41,8,8,8.55009651184082,0.4340348243713379,7.762557029724121
