stage,seconds
load_mimic_arrays,0.26405391600565054
fedavg_default,185.39199712499976
cvar_sweep,989.0589904579974
baselines,222.3466743329991
search,1256.896378708996
predictions_metrics,9.607738791994052
lp_diagnostics,0.1570520410023164
diagnostics,1.2190261669966276
plots,0.981744416996662
artifacts,0.019961042002250906
