true_label,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,428.0,3.0,1.0,0.0,0.0,0.0
WALKING_UPSTAIRS,2.0,378.0,4.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,1.0,3.0,331.0,0.0,0.0,0.0
SITTING,0.0,1.0,0.0,454.0,22.0,1.0
STANDING,0.0,0.0,0.0,33.0,441.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,481.0
