label,precision,recall,f1-score,support,score
survived,0.9741994932043307,0.7830031475652657,0.8681995483473619,16203.0,
expired,0.3321937321937322,0.8388489208633093,0.47591836734693876,2085.0,
accuracy,,,,,0.7893700787401575
macro avg,0.6531966126990315,0.8109260342142874,0.6720589578471503,18288.0,
weighted avg,0.9010049387584045,0.7893700787401575,0.8234758900804172,18288.0,
