method,n,final_loss_mean,final_loss_std,final_accuracy_mean,final_accuracy_std,final_worst_client_accuracy_mean,final_worst_client_accuracy_std,final_auroc_mean,final_auroc_std,final_auprc_mean,final_auprc_std,final_balanced_accuracy_mean,final_balanced_accuracy_std,final_sensitivity_mean,final_sensitivity_std,final_specificity_mean,final_specificity_std,final_worst_client_recall_mean,final_worst_client_recall_std,final_worst_client_auprc_mean,final_worst_client_auprc_std,total_comm_until_stop_mean,total_comm_until_stop_std,stopped_round_mean,stopped_round_std
fedavg_default,10,0.580763342231512,0.07360191027249646,0.8227106402317682,0.02634255859825092,0.708652886748314,0.1066953686691613,0.9031291389772832,0.007002699448521552,0.6388885534182459,0.014998458244747125,0.8181563854637453,0.013910188918488303,0.849736211031175,0.026367800393602633,0.7865765598963156,0.03886703973844922,0.61,0.031622776601683784,0.2600311926812144,0.06468362052039538,57409040.0,23087836.122402925,13.0,5.228129047119374
cvar_0,10,0.5839580346312788,0.07194231227292767,0.8238227960136202,0.026615103248039982,0.7113630503416062,0.10715204253002639,0.9028771161926226,0.006924696421376793,0.6381271896562942,0.014891723409132734,0.8177781004228277,0.013823385906251644,0.8467146282973621,0.0258154587954432,0.7888415725482936,0.038959841456544984,0.61,0.031622776601683784,0.26568822032784306,0.07000080924844236,57409040.0,23087836.122402925,13.0,5.228129047119374
cvar_0.5,10,0.6282312873337005,0.09904970814456783,0.8087663263082504,0.04172496334380524,0.6757702380418777,0.12400020444216343,0.8956233406165273,0.01492542544327927,0.6161927556778726,0.045169905683768996,0.8101285222516301,0.02097187831154607,0.8485851318944844,0.028780575314776312,0.7716719126087762,0.0518761373427141,0.5999999999999999,0.11547005383792515,0.24114261354018857,0.07902252301762965,70215672.0,35294889.934542716,15.9,7.992357460585567
cvar_0.75,10,0.5777192224231031,0.11009320424980065,0.825688393910726,0.021706837042563012,0.7386899709701538,0.0394604513413731,0.90045889598264,0.00905084553792222,0.6283934110957341,0.02667070805582243,0.8165013539991929,0.012440945618463593,0.8399520383693047,0.04523281594521587,0.7930506696290809,0.034518796802206715,0.5839837398373983,0.1277972752657039,0.24215328193125768,0.06060954805881054,66682808.0,35356229.72696947,15.1,8.006247560499238
cvar_0.9,10,0.5777192224231031,0.11009320424980065,0.825688393910726,0.021706837042563012,0.7386899709701538,0.0394604513413731,0.90045889598264,0.00905084553792222,0.6283934110957341,0.02667070805582243,0.8165013539991929,0.012440945618463593,0.8399520383693047,0.04523281594521587,0.7930506696290809,0.034518796802206715,0.5839837398373983,0.1277972752657039,0.24215328193125768,0.06060954805881054,66682808.0,35356229.72696947,15.1,8.006247560499238
cvar_0.95,10,0.5777192224231031,0.11009320424980065,0.825688393910726,0.021706837042563012,0.7386899709701538,0.0394604513413731,0.90045889598264,0.00905084553792222,0.6283934110957341,0.02667070805582243,0.8165013539991929,0.012440945618463593,0.8399520383693047,0.04523281594521587,0.7930506696290809,0.034518796802206715,0.5839837398373983,0.1277972752657039,0.24215328193125768,0.06060954805881054,66682808.0,35356229.72696947,15.1,8.006247560499238
centralized,10,0.4249570132129722,0.06209943704022906,0.891376938422521,0.005223255263291212,0.8395382523536682,0.007987394149285334,0.8970176334399987,0.004676931064912051,0.605492215979412,0.011862117762540834,0.7813326202581722,0.009956064817813587,0.6619184652278177,0.029806137322788175,0.9007467752885268,0.010951735079465454,0.2655284552845529,0.134259457933653,0.2033048572947364,0.07838860939551834,0.0,0.0,12.9,2.183269719175042
local_only,1,0.0,0.0,0.9088932432448679,0.0,0.8689197725837018,0.0,0.8828653964932083,0.0,0.4710093124807999,0.0,0.6940572233620665,0.0,0.4373933821480884,0.0,0.9507210645760445,0.0,0.1,0.0,0.15661463135523482,0.0,0.0,0.0,50.0,0.0
