client_id,client_name,train_samples,test_samples,accuracy,balanced_accuracy,auroc,auprc,sensitivity,specificity,precision_ppv,npv,f1_death,brier,mean_confidence,positive_rate,predicted_positive_rate,tp,tn,fp,fn
0,Cardiac Vascular Intensive Care Unit (CVICU),8679,2893,0.9516073280331836,0.6872736344691966,0.8966056176807256,0.4162696956014969,0.3983739837398374,0.976173285198556,0.4260869565217391,0.9733621310295176,0.4117647058823529,0.0449101903445175,0.9947812408878446,0.04251641894227445,0.039751123401313516,49,2704,66,74
1,Coronary Care Unit (CCU),6239,2080,0.8841346153846154,0.7451045404496448,0.8770428304938739,0.5482971037365504,0.5580524344569289,0.9321566464423607,0.5477941176470589,0.9347345132743363,0.5528756957328386,0.10846068881888012,0.9893985048223001,0.1283653846153846,0.13076923076923078,149,1690,123,118
2,Medical Intensive Care Unit (MICU),11955,3985,0.8700125470514429,0.7328810885072021,0.8611916846144771,0.607159630878525,0.5382003395585738,0.9275618374558304,0.5630550621669627,0.9205143191116306,0.5503472222222222,0.12138056811467618,0.9878453949464011,0.14780426599749058,0.1412797992471769,317,3150,246,272
3,Medical/Surgical Intensive Care Unit (MICU/SICU),9495,3166,0.8689197725837018,0.724444168227072,0.8630947750810943,0.5505415224440657,0.5206073752711496,0.9282809611829944,0.5529953917050692,0.9191068814055637,0.5363128491620112,0.12189940764279228,0.9842789907547318,0.1456096020214782,0.13708149084017687,240,2511,194,221
4,Neuro Intermediate,1511,504,0.9742063492063492,0.5459514170040486,0.8635627530364373,0.15661463135523482,0.1,0.9919028340080972,0.2,0.9819639278557114,0.13333333333333333,0.0240892600532939,0.9965296984901504,0.01984126984126984,0.00992063492063492,1,490,4,9
5,Neuro Stepdown,762,255,0.9686274509803922,0.592,0.9432,0.23938769414575867,0.2,0.984,0.2,0.984,0.2,0.028950873619889215,0.9965089138816384,0.0196078431372549,0.0196078431372549,1,246,4,4
6,Neuro Surgical Intensive Care Unit (Neuro SICU),1317,440,0.8704545454545455,0.7382246376811594,0.87271663647343,0.60010596739789,0.5416666666666666,0.9347826086956522,0.6190476190476191,0.9124668435013262,0.5777777777777777,0.12181715291715996,0.9867330441420729,0.16363636363636364,0.1431818181818182,39,344,24,33
7,Surgical Intensive Care Unit (SICU),8394,2798,0.8931379556826304,0.7354610188281587,0.8806102248292919,0.5696109760902037,0.5285285285285285,0.9423935091277891,0.5534591194968553,0.9366935483870967,0.5407066052227343,0.10088089343939453,0.9898768854277572,0.11901358112937813,0.11365260900643316,176,2323,142,157
8,Trauma SICU (TSICU),6501,2167,0.8989386248269498,0.7451745050921158,0.8877640462295457,0.5510965906774737,0.5511111111111111,0.9392378990731205,0.512396694214876,0.9475324675324676,0.5310492505353319,0.09513952511944525,0.9894251406990442,0.10383017997231195,0.1116751269035533,124,1824,118,101
