method,seed,round,client_id,update_norm,cosine_to_mean,distance_to_mean
cvar_0,7,1,10,0.3520348370075226,0.8084214925765991,0.21701008081436157
cvar_0,7,1,4,0.3987533152103424,0.8321353793144226,0.2218106985092163
cvar_0,7,1,12,0.3857257664203644,0.8853398561477661,0.17950142920017242
cvar_0,7,1,20,0.5312812328338623,0.8725391626358032,0.2836846709251404
cvar_0,7,1,1,0.4417792558670044,0.8364830017089844,0.24295613169670105
cvar_0,7,1,2,0.34778428077697754,0.9076083302497864,0.14978273212909698
cvar_0,7,1,17,0.3711966872215271,0.8510826230049133,0.19769026339054108
cvar_0,7,1,3,0.31681597232818604,0.8253034949302673,0.19919972121715546
cvar_0,7,1,11,0.35044240951538086,0.8989163041114807,0.15726761519908905
cvar_0,7,1,18,0.5231481790542603,0.8646642565727234,0.2823687195777893
cvar_0,7,2,1,0.4946330189704895,0.8561437129974365,0.2556256055831909
cvar_0,7,2,16,0.48279279470443726,0.9127193093299866,0.19771216809749603
cvar_0,7,2,6,0.4821578562259674,0.875877857208252,0.2327125370502472
cvar_0,7,2,29,0.49842965602874756,0.9107033610343933,0.20758892595767975
cvar_0,7,2,2,0.4200935661792755,0.8966929316520691,0.19273574650287628
cvar_0,7,2,13,0.4927009344100952,0.8142114281654358,0.2872447073459625
cvar_0,7,2,24,0.4940585792064667,0.78121417760849,0.31118905544281006
cvar_0,7,2,25,0.5282034277915955,0.9035282135009766,0.2317836582660675
cvar_0,7,2,7,0.430966317653656,0.8777779936790466,0.21221360564231873
cvar_0,7,2,22,0.5647373795509338,0.8729860186576843,0.2831639051437378
cvar_0,7,3,17,0.4143234193325043,0.8392943739891052,0.22624176740646362
cvar_0,7,3,13,0.42180556058883667,0.7642784714698792,0.27595072984695435
cvar_0,7,3,1,0.4150485694408417,0.8299383521080017,0.23281319439411163
cvar_0,7,3,26,0.4528140723705292,0.9049779772758484,0.1969655156135559
cvar_0,7,3,18,0.4264534115791321,0.8318929672241211,0.237071231007576
cvar_0,7,3,3,0.41096892952919006,0.8073870539665222,0.24528710544109344
cvar_0,7,3,7,0.35461562871932983,0.8215044736862183,0.21654117107391357
cvar_0,7,3,20,0.49030858278274536,0.8831990957260132,0.23875924944877625
cvar_0,7,3,22,0.4728187620639801,0.8392122983932495,0.25864049792289734
cvar_0,7,3,25,0.47333407402038574,0.8674882650375366,0.23914772272109985
