group,metric,n,mean,std,ci95_low,ci95_high
fedavg_default,final_accuracy,10,0.8227106402317682,0.02634255859825092,0.8063833532566509,0.8390379272068855
fedavg_default,final_auroc,10,0.9031291389772832,0.007002699448521552,0.8987888208920043,0.9074694570625621
fedavg_default,final_auprc,10,0.6388885534182459,0.014998458244747125,0.6295924126871568,0.648184694149335
fedavg_default,final_balanced_accuracy,10,0.8181563854637453,0.013910188918488303,0.8095347610492765,0.826778009878214
fedavg_default,final_sensitivity,10,0.849736211031175,0.026367800393602633,0.8333932790292112,0.8660791430331388
fedavg_default,final_specificity,10,0.7865765598963156,0.03886703973844922,0.7624865190858877,0.8106666007067435
fedavg_default,final_worst_client_recall,10,0.61,0.031622776601683784,0.5904,0.6295999999999999
fedavg_default,total_comm_until_stop,10,57409040.0,23087836.122402925,43099050.91526535,71719029.08473465
fedavg_default,stopped_round,10,13.0,5.228129047119374,9.759572044724134,16.240427955275866
cvar_0,final_accuracy,10,0.8238227960136202,0.026615103248039982,0.8073265841144472,0.8403190079127931
cvar_0,final_auroc,10,0.9028771161926226,0.006924696421376793,0.8985851448844561,0.9071690875007891
cvar_0,final_auprc,10,0.6381271896562942,0.014891723409132734,0.6288972038617052,0.6473571754508832
cvar_0,final_balanced_accuracy,10,0.8177781004228277,0.013823385906251644,0.8092102770727394,0.826345923772916
cvar_0,final_sensitivity,10,0.8467146282973621,0.0258154587954432,0.8307140411647399,0.8627152154299843
cvar_0,final_specificity,10,0.7888415725482936,0.038959841456544984,0.7646940126370737,0.8129891324595134
cvar_0,final_worst_client_recall,10,0.61,0.031622776601683784,0.5904,0.6295999999999999
cvar_0,total_comm_until_stop,10,57409040.0,23087836.122402925,43099050.91526535,71719029.08473465
cvar_0,stopped_round,10,13.0,5.228129047119374,9.759572044724134,16.240427955275866
cvar_0.5,final_accuracy,10,0.8087663263082504,0.04172496334380524,0.7829049260953723,0.8346277265211285
cvar_0.5,final_auroc,10,0.8956233406165273,0.01492542544327927,0.8863724660847603,0.9048742151482942
cvar_0.5,final_auprc,10,0.6161927556778726,0.045169905683768996,0.5881961580813563,0.6441893532743889
cvar_0.5,final_balanced_accuracy,10,0.8101285222516301,0.02097187831154607,0.7971300174054612,0.8231270270977991
cvar_0.5,final_sensitivity,10,0.8485851318944844,0.028780575314776312,0.8307467465030011,0.8664235172859677
cvar_0.5,final_specificity,10,0.7716719126087762,0.0518761373427141,0.7395187495666967,0.8038250756508557
cvar_0.5,final_worst_client_recall,10,0.5999999999999999,0.11547005383792515,0.5284309191526582,0.6715690808473416
cvar_0.5,total_comm_until_stop,10,70215672.0,35294889.934542716,48339672.576211184,92091671.42378882
cvar_0.5,stopped_round,10,15.9,7.992357460585567,10.946285523860796,20.853714476139203
cvar_0.75,final_accuracy,10,0.825688393910726,0.021706837042563012,0.812234356923614,0.839142430897838
cvar_0.75,final_auroc,10,0.90045889598264,0.00905084553792222,0.8948491237991996,0.9060686681660803
cvar_0.75,final_auprc,10,0.6283934110957341,0.02667070805582243,0.6118627349796373,0.6449240872118309
cvar_0.75,final_balanced_accuracy,10,0.8165013539991929,0.012440945618463593,0.808790376016668,0.8242123319817177
cvar_0.75,final_sensitivity,10,0.8399520383693047,0.04523281594521587,0.8119164485887721,0.8679876281498372
cvar_0.75,final_specificity,10,0.7930506696290809,0.034518796802206715,0.7716556977123129,0.8144456415458489
cvar_0.75,final_worst_client_recall,10,0.5839837398373983,0.1277972752657039,0.5047741679911859,0.6631933116836106
cvar_0.75,total_comm_until_stop,10,66682808.0,35356229.72696947,44768789.77897817,88596826.22102183
cvar_0.75,stopped_round,10,15.1,8.006247560499238,10.137676350740513,20.062323649259486
cvar_0.9,final_accuracy,10,0.825688393910726,0.021706837042563012,0.812234356923614,0.839142430897838
cvar_0.9,final_auroc,10,0.90045889598264,0.00905084553792222,0.8948491237991996,0.9060686681660803
cvar_0.9,final_auprc,10,0.6283934110957341,0.02667070805582243,0.6118627349796373,0.6449240872118309
cvar_0.9,final_balanced_accuracy,10,0.8165013539991929,0.012440945618463593,0.808790376016668,0.8242123319817177
cvar_0.9,final_sensitivity,10,0.8399520383693047,0.04523281594521587,0.8119164485887721,0.8679876281498372
cvar_0.9,final_specificity,10,0.7930506696290809,0.034518796802206715,0.7716556977123129,0.8144456415458489
cvar_0.9,final_worst_client_recall,10,0.5839837398373983,0.1277972752657039,0.5047741679911859,0.6631933116836106
cvar_0.9,total_comm_until_stop,10,66682808.0,35356229.72696947,44768789.77897817,88596826.22102183
cvar_0.9,stopped_round,10,15.1,8.006247560499238,10.137676350740513,20.062323649259486
cvar_0.95,final_accuracy,10,0.825688393910726,0.021706837042563012,0.812234356923614,0.839142430897838
cvar_0.95,final_auroc,10,0.90045889598264,0.00905084553792222,0.8948491237991996,0.9060686681660803
cvar_0.95,final_auprc,10,0.6283934110957341,0.02667070805582243,0.6118627349796373,0.6449240872118309
cvar_0.95,final_balanced_accuracy,10,0.8165013539991929,0.012440945618463593,0.808790376016668,0.8242123319817177
cvar_0.95,final_sensitivity,10,0.8399520383693047,0.04523281594521587,0.8119164485887721,0.8679876281498372
cvar_0.95,final_specificity,10,0.7930506696290809,0.034518796802206715,0.7716556977123129,0.8144456415458489
cvar_0.95,final_worst_client_recall,10,0.5839837398373983,0.1277972752657039,0.5047741679911859,0.6631933116836106
cvar_0.95,total_comm_until_stop,10,66682808.0,35356229.72696947,44768789.77897817,88596826.22102183
cvar_0.95,stopped_round,10,15.1,8.006247560499238,10.137676350740513,20.062323649259486
centralized,final_accuracy,10,0.891376938422521,0.005223255263291212,0.8881395312697583,0.8946143455752836
centralized,final_auroc,10,0.8970176334399987,0.004676931064912051,0.8941188415335538,0.8999164253464437
centralized,final_auprc,10,0.605492215979412,0.011862117762540834,0.5981399992188693,0.6128444327399548
centralized,final_balanced_accuracy,10,0.7813326202581722,0.009956064817813587,0.7751617873522864,0.787503453164058
centralized,final_sensitivity,10,0.6619184652278177,0.029806137322788175,0.643444429918232,0.6803925005374034
