run_type,seed,client_id,loss,accuracy
local_only,7,1,0.010969599708914757,1.0
local_only,7,2,0.06870362907648087,0.9736841917037964
local_only,7,3,0.015101169236004353,1.0
local_only,7,4,0.1157398596405983,0.949999988079071
local_only,7,5,0.03456297144293785,0.9868420958518982
local_only,7,6,0.09656965732574463,0.9756097793579102
local_only,7,7,0.01244539674371481,1.0
local_only,7,8,0.018328798934817314,1.0
local_only,7,9,0.2209586799144745,0.9444444179534912
local_only,7,10,0.01686343364417553,1.0
local_only,7,11,0.07808887958526611,0.9873417615890503
local_only,7,12,0.03344979137182236,0.987500011920929
local_only,7,13,0.02584279701113701,0.9878048896789551
local_only,7,14,0.009745936840772629,1.0
local_only,7,15,0.03266284987330437,0.9878048896789551
local_only,7,16,0.08469250798225403,0.967391312122345
local_only,7,17,0.044459275901317596,0.97826087474823
local_only,7,18,0.014627518132328987,1.0
local_only,7,19,0.01885794848203659,0.9888888597488403
local_only,7,20,0.023636968806385994,0.9887640476226807
local_only,7,21,0.04995787888765335,0.9803921580314636
local_only,7,22,0.016834009438753128,1.0
local_only,7,23,0.015559390187263489,0.9892473220825195
local_only,7,24,0.03996505215764046,0.9895833134651184
local_only,7,25,0.028478581458330154,0.9902912378311157
local_only,7,26,0.011336227878928185,1.0
local_only,7,27,0.022668790072202682,1.0
local_only,7,28,0.014052403159439564,1.0
local_only,7,29,0.025654640048742294,1.0
local_only,7,30,0.012293842621147633,1.0
