method,seed,mu,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
fedprox_mu_0p1,101,0.1,57,True,42,0.26688167038891053,0.31054674420091843,0.830534451537662,0.7479469180107117,690643920,0.9127794524239894,0.6749954574126713,0.8295122983264933,0.8570743405275779,0.8019502561254088,0.6,0.31796781388646006
fedprox_mu_0p1,103,0.1,33,True,18,0.2703488907880253,0.27816683799028397,0.861843016412523,0.783939778804779,399846480,0.914333994755686,0.6694538877031746,0.8324662765621608,0.8282973621103118,0.8366351910140097,0.5,0.3385937101060441
fedprox_mu_0p1,107,0.1,43,True,28,0.2832881286740303,0.2948661794265111,0.8442279365327623,0.7623588442802429,521012080,0.9127759595693193,0.6637773236529699,0.8319642379042517,0.8561151079136691,0.8078133678948343,0.5,0.38399010015044305
fedprox_mu_0p1,109,0.1,34,True,19,0.28793204575777054,0.29438618818918866,0.8443059126536051,0.7618569731712341,411963040,0.9128464826731467,0.6647988205270612,0.8287533572475476,0.8436450839328538,0.8138616305622416,0.6,0.32939266222492625
fedprox_mu_0p1,113,0.1,48,True,33,0.2701103397541576,0.33040710869762635,0.8411520388391283,0.7528231143951416,581594880,0.911833984025518,0.6552677921355974,0.8296974492244753,0.8570743405275779,0.8023205579213726,0.4,0.28341725258336
fedprox_mu_0p1,127,0.1,32,True,17,0.2852415657705731,0.295243754155106,0.8452796273761325,0.7590019106864929,387729920,0.9130176473522164,0.6640753610427281,0.8309213099803439,0.8494004796163069,0.8124421403443807,0.5,0.3096409437410854
fedprox_mu_0p1,131,0.1,22,True,7,0.28489148285653854,0.301181533270412,0.8490228454271952,0.7636135220527649,266564320,0.912238030349651,0.6618309108090977,0.8298880614079371,0.8441247002398081,0.8156514225760662,0.5,0.3445155486677978
fedprox_mu_0p1,137,0.1,37,True,22,0.2702598406208886,0.29004593359099495,0.8490529325273302,0.7726474404335022,448312720,0.9138272200236479,0.6666274123508882,0.8302672433428928,0.8393285371702638,0.8212059495155218,0.5,0.31622923977195333
fedprox_mu_0p1,139,0.1,48,True,33,0.2708887565467093,0.31549445539712906,0.8434717655181885,0.759096622467041,581594880,0.9135900759118682,0.6682773482961806,0.8298483227859483,0.8489208633093526,0.810775782262544,0.5,0.3360826274854974
fedprox_mu_0p1,149,0.1,80,False,73,0.2598232991165585,0.304926803542508,0.8563850124677023,0.771894633769989,969324800,0.9114523156516443,0.6694717875090337,0.830684343471344,0.834052757793765,0.827315929148923,0.5,0.30272486772486773
fedprox_mu_0p1,151,0.1,55,True,40,0.2747763726446364,0.2968350218402015,0.8508048984739516,0.7741530537605286,666410800,0.9113882898495128,0.6694105033456962,0.8333151734490949,0.8398081534772183,0.8268221934209714,0.6,0.2845152078314531
fedprox_mu_0p1,157,0.1,41,True,26,0.27679697838094497,0.292839131421513,0.8486970199478997,0.7638645172119141,496778960,0.9127122001713571,0.6650324118138544,0.8311153410173175,0.8446043165467626,0.8176263654878726,0.5,0.3595841179082085
fedprox_mu_0p1,163,0.1,37,True,22,0.26665787067678237,0.2917563608951039,0.8406013316578336,0.7515683770179749,448312720,0.9134480676891554,0.6634656333044845,0.832482571617211,0.8628297362110312,0.8021354070233907,0.5,0.3546002914546874
fedprox_mu_0p1,167,0.1,22,True,7,0.28918421351247364,0.3093721552027596,0.8399076395564609,0.7465495467185974,266564320,0.9128162457998793,0.6599024071840656,0.8313047099813207,0.8589928057553957,0.8036166142072456,0.5,0.3303570305216756
fedprox_mu_0p1,173,0.1,34,True,19,0.29423557966947556,0.3073289477162891,0.8451346158981323,0.7548305988311768,411963040,0.911513840214627,0.6599722855354907,0.8291984742145184,0.8532374100719424,0.8051595383570944,0.5,0.33135088064458673
fedprox_mu_0p1,179,0.1,56,True,41,0.2686060435242123,0.2826525568962097,0.8459291126992967,0.754328727722168,678527360,0.9133634251643307,0.6736277103883576,0.8274476216101734,0.8422062350119904,0.8126890082083564,0.5,0.3308168642951252
fedprox_mu_0p1,181,0.1,52,True,37,0.26433680537674165,0.2778981311453713,0.8466518852445815,0.7686323523521423,630061120,0.9146770197247126,0.6714691651832897,0.8296526933239559,0.8412470023980816,0.8180583842498302,0.5,0.2950887614526732
fedprox_mu_0p1,191,0.1,31,True,16,0.28225509656800163,0.2969483882188797,0.8424323399861654,0.7538268566131592,375613360,0.9119802695151784,0.6602228182718551,0.830788995909364,0.8541966426858513,0.8073813491328766,0.5,0.30358970749469966
fedprox_mu_0p1,193,0.1,69,True,54,0.27124300599098206,0.3106011185381148,0.8455366161134508,0.7648682594299316,836042640,0.9109929756620551,0.6644941350467267,0.8283945552315786,0.8407673860911271,0.8160217243720299,0.4,0.2628640211787397
fedprox_mu_0p1,197,0.1,34,True,19,0.2852155963579814,0.3066611521773868,0.8418582214249505,0.7636135220527649,411963040,0.913538571105715,0.666245941900275,0.8318496841112557,0.8513189448441247,0.8123804233783867,0.5,0.2933385939311555
fedprox_mu_0p1,199,0.1,34,True,19,0.277549365742339,0.28409088320202297,0.8512593242857192,0.771141767501831,411963040,0.9110826946663368,0.6651147792682132,0.8266798003922358,0.8335731414868105,0.8197864592976609,0.5,0.3818909853019036
fedprox_mu_0p1,211,0.1,73,True,58,0.2556104204720921,0.2719908422893948,0.862966861989763,0.7902716398239136,884508880,0.9126075773338004,0.6713321055269282,0.831782150654222,0.8244604316546763,0.8391038696537678,0.5,0.32211956286122234
fedprox_mu_0p1,223,0.1,48,True,33,0.27704525656170315,0.3048548897107442,0.8492100106345283,0.7598494291305542,581594880,0.9131337403693042,0.6644335490326214,0.8335045424130978,0.8541966426858513,0.8128124421403444,0.5,0.26575549417799615
fedprox_mu_0p1,227,0.1,31,True,16,0.27590872678491807,0.27647600654098725,0.8529614408810934,0.7661229372024536,375613360,0.9135551917658615,0.6655610138625121,0.8313878280822852,0.8407673860911271,0.8220082700734432,0.5,0.35274016593615987
fedprox_mu_0p1,229,0.1,31,True,16,0.29248589360051686,0.3072195632590188,0.8367476926909553,0.748306155204773,375613360,0.912348706481954,0.6651307495506311,0.8287240971895693,0.8561151079136691,0.8013330864654694,0.6,0.3817875500228441
fedprox_mu_0p1,233,0.1,80,False,66,0.26641396350330776,0.2896863553259108,0.8627218272950914,0.7864491939544678,969324800,0.9115281964393307,0.6694304574604439,0.8290896037104774,0.818705035971223,0.8394741714497316,0.6,0.24185260455488836
fedprox_mu_0p1,239,0.1,43,True,28,0.2682228667868508,0.28778761956426835,0.8531442748175727,0.7706398963928223,521012080,0.9132196113133563,0.6696858358648023,0.8328188180801406,0.8378896882494005,0.8277479479108807,0.5,0.2697340376425742
fedprox_mu_0p1,241,0.1,23,True,8,0.2906926092174318,0.31563618530829746,0.8403856158256531,0.7598494291305542,278680880,0.9099165696141476,0.6527209825016986,0.8259698332798304,0.8503597122302158,0.8015799543294452,0.5,0.3280694862394024
