run_type,seed,client_id,loss,accuracy
local_only,7,1,0.012691408395767212,1.0
local_only,7,2,0.07469320297241211,0.9736841917037964
local_only,7,3,0.01334022544324398,1.0
local_only,7,4,0.07128391414880753,0.9624999761581421
local_only,7,5,0.04159552976489067,0.9736841917037964
local_only,7,6,0.08685516566038132,0.9756097793579102
local_only,7,7,0.0173256266862154,1.0
local_only,7,8,0.012768987566232681,1.0
local_only,7,9,0.2084936499595642,0.9444444179534912
local_only,7,10,0.017439551651477814,1.0
local_only,7,11,0.06811222434043884,0.9873417615890503
local_only,7,12,0.025070110335946083,1.0
local_only,7,13,0.02832765132188797,0.9878048896789551
local_only,7,14,0.011972389183938503,1.0
local_only,7,15,0.036696627736091614,0.9878048896789551
local_only,7,16,0.13580600917339325,0.967391312122345
local_only,7,17,0.045107949525117874,0.97826087474823
local_only,7,18,0.0157507061958313,1.0
local_only,7,19,0.019388318061828613,1.0
local_only,7,20,0.023636633530259132,0.9887640476226807
local_only,7,21,0.050745364278554916,0.970588207244873
local_only,7,22,0.019287215545773506,1.0
local_only,7,23,0.017436431720852852,0.9892473220825195
local_only,7,24,0.04115303233265877,0.9895833134651184
local_only,7,25,0.03728601709008217,0.9805825352668762
local_only,7,26,0.010054059326648712,1.0
local_only,7,27,0.019179468974471092,1.0
local_only,7,28,0.019424373283982277,1.0
local_only,7,29,0.035771701484918594,0.9767441749572754
local_only,7,30,0.01349447201937437,1.0
