local_epochs,clients_per_round,lr,loss,accuracy,comm,fitness
3,12,0.04,0.7709205667177836,0.8352008561293284,15471744,0.9256380067177836
5,10,0.02,0.9109296798706055,0.7727960765361785,12893120,1.3119001145088205
4,15,0.02,0.9895016431808472,0.6631048242251079,19339680,2.5518502009297688
4,10,0.02,0.952743665377299,0.6421976735194524,12893120,2.659698130182775
2,10,0.03,1.2133775234222413,0.4859779755274455,12893120,4.482528968147787
1,10,0.03,1.5161763707796732,0.5087896317243576,12893120,4.557211253536098
1,5,0.01,1.6787408709526062,0.45579061408837634,6446560,5.185300330068843
2,15,0.01,1.6360509316126506,0.34542196343342463,19339680,6.375228097278405
