method,seed,beta,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
dirichlet_beta_0p1_fedavg,7,0.1,18,True,3,0.3912513678272565,1.7008498224114494,0.7232590097313126,0.004999999888241291,2943360,0.8653625458828373,0.3920705660158903,0.5057232049947971,0.011446409989594173,1.0,0.0,0.0
dirichlet_beta_0p1_fedprox,7,0.1,18,True,3,0.38948709319035213,1.1855517051939386,0.732808326681455,0.03500000014901161,2943360,0.8791843268965314,0.4205576508807526,0.5283334504056966,0.05723204994797086,0.9994348508634223,0.0,0.0
dirichlet_beta_0p1_cvar_0.9,7,0.1,18,True,3,0.3889738137523333,1.6920616742723118,0.7239772791042924,0.004999999888241291,2943360,0.8668122066724712,0.39676445580668207,0.5072840790842872,0.014568158168574402,1.0,0.0,0.0
dirichlet_beta_0p1_fedavg,11,0.1,16,True,1,0.5310103753033806,1.9497161071528406,0.4706952931249843,0.0,2616320,0.8197790921901145,0.6530945796430697,0.5745605908182392,0.1507163323782235,0.9984048492582549,0.0,0.0
dirichlet_beta_0p1_fedprox,11,0.1,16,True,1,0.5402886341599857,1.8940885108621681,0.47783776153536406,0.0,2616320,0.8168045702668472,0.6487537572081045,0.5744010757440647,0.1507163323782235,0.9980858191099059,0.0,0.0
dirichlet_beta_0p1_cvar_0.9,11,0.1,16,True,1,0.541098861133351,1.9339920844444458,0.4714522668543984,0.0,2616320,0.820439639998702,0.6541441563236052,0.5745133304782115,0.1501432664756447,0.9988833944807785,0.0,0.0
dirichlet_beta_0p1_fedavg,19,0.1,16,True,1,0.45513088894741877,2.2386689426161217,0.6575402628098216,0.1818181872367859,2616320,0.8386755110086407,0.5578898052444768,0.6037253916488553,0.21806702282661486,0.9893837604710957,0.0,0.0
dirichlet_beta_0p1_fedprox,19,0.1,16,True,1,0.4482239069683211,1.8269319637412471,0.6769374875085694,0.24277456104755402,2616320,0.8498779252492703,0.5662628152145613,0.6330188605902762,0.2841185041282176,0.9819192170523348,0.0,0.0
dirichlet_beta_0p1_cvar_0.9,19,0.1,16,True,1,0.4475412592291832,2.363614806290051,0.6482740225536483,0.16763006150722504,2616320,0.8331230242232509,0.5463263140251026,0.5903103813628022,0.1894123360854784,0.9912084266401261,0.0,0.0
dirichlet_beta_0p1_fedavg,23,0.1,18,True,3,0.4111471020040058,1.0705600923503793,0.6559844662745794,0.0,2943360,0.8729534268286477,0.42245272183401433,0.571860956099162,0.14600840336134455,0.9977135088369794,0.0,0.0
