model,alpha,loss,accuracy
logreg,-0.5,2.1632239818573,0.25200000405311584
logreg,-0.45,2.006579875946045,0.25940001010894775
logreg,-0.4,1.852726697921753,0.26420000195503235
logreg,-0.35,1.7022137641906738,0.27320000529289246
logreg,-0.3,1.5557218790054321,0.2847999930381775
logreg,-0.25,1.4140926599502563,0.30000001192092896
logreg,-0.19999999999999996,1.2783658504486084,0.3199999928474426
logreg,-0.14999999999999997,1.1498037576675415,0.34860000014305115
logreg,-0.09999999999999998,1.0298830270767212,0.38339999318122864
logreg,-0.04999999999999999,0.9202055335044861,0.4269999861717224
logreg,0.0,0.8222854733467102,0.48100000619888306
logreg,0.050000000000000044,0.7371852397918701,0.5429999828338623
logreg,0.10000000000000009,0.6651227474212646,0.6075999736785889
logreg,0.15000000000000002,0.6053919792175293,0.6621999740600586
logreg,0.20000000000000007,0.5566948652267456,0.7081999778747559
logreg,0.25,0.5175357460975647,0.7444000244140625
logreg,0.30000000000000004,0.4864642024040222,0.7684000134468079
logreg,0.3500000000000001,0.4621850848197937,0.7829999923706055
logreg,0.4,0.44359177350997925,0.7940000295639038
logreg,0.45000000000000007,0.42976006865501404,0.8032000064849854
logreg,0.5,0.41992565989494324,0.8094000220298767
logreg,0.55,0.41345828771591187,0.8122000098228455
logreg,0.6000000000000001,0.4098380208015442,0.8148000240325928
logreg,0.6500000000000001,0.4086354076862335,0.8149999976158142
logreg,0.7000000000000002,0.40949493646621704,0.8154000043869019
logreg,0.75,0.41212159395217896,0.8169999718666077
logreg,0.8,0.4162701666355133,0.8162000179290771
logreg,0.8500000000000001,0.4217359721660614,0.8172000050544739
logreg,0.9000000000000001,0.4283473789691925,0.8167999982833862
logreg,0.9500000000000002,0.4359600245952606,0.817799985408783
logreg,1.0,0.44445180892944336,0.8173999786376953
logreg,1.05,0.45371896028518677,0.8166000247001648
logreg,1.1,0.4636728763580322,0.8166000247001648
logreg,1.1500000000000001,0.47423750162124634,0.8163999915122986
logreg,1.2000000000000002,0.4853472411632538,0.8163999915122986
logreg,1.25,0.49694523215293884,0.8166000247001648
logreg,1.3,0.5089821219444275,0.8155999779701233
logreg,1.35,0.5214148759841919,0.8159999847412109
logreg,1.4000000000000001,0.5342054963111877,0.8163999915122986
logreg,1.4500000000000002,0.5473208427429199,0.8159999847412109
logreg,1.5,0.5607312917709351,0.8155999779701233
