model,x,y,loss,accuracy
mlp,-1.0,-1.0,0.7166277170181274,0.5
mlp,-1.0,-0.9166666666666666,0.7654758095741272,0.4747999906539917
mlp,-1.0,-0.8333333333333334,0.8118973970413208,0.448199987411499
mlp,-1.0,-0.75,0.850911021232605,0.41819998621940613
mlp,-1.0,-0.6666666666666667,0.8738181591033936,0.3953999876976013
mlp,-1.0,-0.5833333333333334,0.8780570030212402,0.3864000141620636
mlp,-1.0,-0.5,0.8654041886329651,0.3790000081062317
mlp,-1.0,-0.41666666666666674,0.8377406001091003,0.37880000472068787
mlp,-1.0,-0.33333333333333337,0.7983255386352539,0.38179999589920044
mlp,-1.0,-0.25,0.7527779936790466,0.39239999651908875
mlp,-1.0,-0.16666666666666674,0.707341194152832,0.40119999647140503
mlp,-1.0,-0.08333333333333337,0.6677017211914062,0.4180000126361847
mlp,-1.0,0.0,0.6378093361854553,0.4357999861240387
mlp,-1.0,0.08333333333333326,0.619655430316925,0.444599986076355
mlp,-1.0,0.16666666666666652,0.6143345236778259,0.4456000030040741
mlp,-1.0,0.25,0.621386706829071,0.446399986743927
mlp,-1.0,0.33333333333333326,0.6377601027488708,0.44200000166893005
mlp,-1.0,0.4166666666666665,0.6605409383773804,0.4410000145435333
mlp,-1.0,0.5,0.6864200234413147,0.43639999628067017
mlp,-1.0,0.5833333333333333,0.71297287940979,0.436599999666214
mlp,-1.0,0.6666666666666665,0.739020049571991,0.43720000982284546
mlp,-1.0,0.75,0.7624801397323608,0.43639999628067017
mlp,-1.0,0.8333333333333333,0.783273458480835,0.436599999666214
mlp,-1.0,0.9166666666666665,0.8008182644844055,0.44020000100135803
mlp,-1.0,1.0,0.8160681128501892,0.4422000050544739
mlp,-0.9166666666666666,-1.0,0.704708993434906,0.5103999972343445
mlp,-0.9166666666666666,-0.9166666666666666,0.74335116147995,0.48100000619888306
mlp,-0.9166666666666666,-0.8333333333333334,0.7771439552307129,0.45559999346733093
mlp,-0.9166666666666666,-0.75,0.8018648028373718,0.4327999949455261
mlp,-0.9166666666666666,-0.6666666666666667,0.8124231100082397,0.41019999980926514
mlp,-0.9166666666666666,-0.5833333333333334,0.8098639845848083,0.40059998631477356
mlp,-0.9166666666666666,-0.5,0.7952876687049866,0.3959999978542328
mlp,-0.9166666666666666,-0.41666666666666674,0.7686908841133118,0.39340001344680786
mlp,-0.9166666666666666,-0.33333333333333337,0.7342639565467834,0.3984000086784363
mlp,-0.9166666666666666,-0.25,0.6966077089309692,0.41040000319480896
mlp,-0.9166666666666666,-0.16666666666666674,0.6605260372161865,0.4296000003814697
mlp,-0.9166666666666666,-0.08333333333333337,0.6298249363899231,0.44620001316070557
mlp,-0.9166666666666666,0.0,0.6059145331382751,0.45100000500679016
mlp,-0.9166666666666666,0.08333333333333326,0.5890845060348511,0.4528000056743622
mlp,-0.9166666666666666,0.16666666666666652,0.5814449787139893,0.45399999618530273
mlp,-0.9166666666666666,0.25,0.5844349265098572,0.4514000117778778
mlp,-0.9166666666666666,0.33333333333333326,0.5948846340179443,0.4480000138282776
mlp,-0.9166666666666666,0.4166666666666665,0.6093483567237854,0.44760000705718994
mlp,-0.9166666666666666,0.5,0.6258446574211121,0.4442000091075897
mlp,-0.9166666666666666,0.5833333333333333,0.6419438719749451,0.4413999915122986
mlp,-0.9166666666666666,0.6666666666666665,0.656214714050293,0.44179999828338623
mlp,-0.9166666666666666,0.75,0.6674946546554565,0.4438000023365021
mlp,-0.9166666666666666,0.8333333333333333,0.6757259368896484,0.4465999901294708
mlp,-0.9166666666666666,0.9166666666666665,0.6817179322242737,0.44920000433921814
mlp,-0.9166666666666666,1.0,0.6869775056838989,0.4514000117778778
mlp,-0.8333333333333334,-1.0,0.6948185563087463,0.5221999883651733
mlp,-0.8333333333333334,-0.9166666666666666,0.7225226759910583,0.49559998512268066
mlp,-0.8333333333333334,-0.8333333333333334,0.74485844373703,0.46700000762939453
mlp,-0.8333333333333334,-0.75,0.7574172616004944,0.4447999894618988
mlp,-0.8333333333333334,-0.6666666666666667,0.7611382007598877,0.43299999833106995
mlp,-0.8333333333333334,-0.5833333333333334,0.7561797499656677,0.41999998688697815
mlp,-0.8333333333333334,-0.5,0.7411960363388062,0.41499999165534973
mlp,-0.8333333333333334,-0.41666666666666674,0.7166471481323242,0.4180000126361847
mlp,-0.8333333333333334,-0.33333333333333337,0.687018096446991,0.43059998750686646
mlp,-0.8333333333333334,-0.25,0.6560396552085876,0.45159998536109924
mlp,-0.8333333333333334,-0.16666666666666674,0.6272268891334534,0.46959999203681946
mlp,-0.8333333333333334,-0.08333333333333337,0.6019335985183716,0.46779999136924744
mlp,-0.8333333333333334,0.0,0.5795234441757202,0.4708000123500824
mlp,-0.8333333333333334,0.08333333333333326,0.561550498008728,0.46880000829696655
mlp,-0.8333333333333334,0.16666666666666652,0.5505391359329224,0.4641999900341034
mlp,-0.8333333333333334,0.25,0.5481283068656921,0.4620000123977661
mlp,-0.8333333333333334,0.33333333333333326,0.5514037013053894,0.46239998936653137
mlp,-0.8333333333333334,0.4166666666666665,0.5571113228797913,0.46059998869895935
mlp,-0.8333333333333334,0.5,0.5633824467658997,0.4553999900817871
mlp,-0.8333333333333334,0.5833333333333333,0.5687041878700256,0.45419999957084656
mlp,-0.8333333333333334,0.6666666666666665,0.5715835690498352,0.454800009727478
mlp,-0.8333333333333334,0.75,0.572149932384491,0.4578000009059906
mlp,-0.8333333333333334,0.8333333333333333,0.5703732967376709,0.4596000015735626
mlp,-0.8333333333333334,0.9166666666666665,0.5672941207885742,0.4675999879837036
mlp,-0.8333333333333334,1.0,0.5643264651298523,0.47099998593330383
mlp,-0.75,-1.0,0.6873894929885864,0.5246000289916992
mlp,-0.75,-0.9166666666666666,0.7034762501716614,0.5049999952316284
mlp,-0.75,-0.8333333333333334,0.7140762209892273,0.483599990606308
mlp,-0.75,-0.75,0.7191983461380005,0.4657999873161316
mlp,-0.75,-0.6666666666666667,0.7198276519775391,0.454800009727478
mlp,-0.75,-0.5833333333333334,0.7128469944000244,0.446399986743927
mlp,-0.75,-0.5,0.6967835426330566,0.4440000057220459
mlp,-0.75,-0.41666666666666674,0.6737297773361206,0.4603999853134155
mlp,-0.75,-0.33333333333333337,0.6478987336158752,0.48100000619888306
mlp,-0.75,-0.25,0.6225939989089966,0.4934000074863434
mlp,-0.75,-0.16666666666666674,0.5984474420547485,0.4943999946117401
mlp,-0.75,-0.08333333333333337,0.5747928023338318,0.4941999912261963
mlp,-0.75,0.0,0.5520094037055969,0.49140000343322754
mlp,-0.75,0.08333333333333326,0.5318243503570557,0.4912000000476837
mlp,-0.75,0.16666666666666652,0.5165557265281677,0.49540001153945923
mlp,-0.75,0.25,0.5077787041664124,0.49639999866485596
mlp,-0.75,0.33333333333333326,0.5034154653549194,0.49399998784065247
mlp,-0.75,0.4166666666666665,0.5004333257675171,0.48820000886917114
mlp,-0.75,0.5,0.49730032682418823,0.4844000041484833
mlp,-0.75,0.5833333333333333,0.4930613934993744,0.48019999265670776
mlp,-0.75,0.6666666666666665,0.4870469272136688,0.48019999265670776
mlp,-0.75,0.75,0.48002418875694275,0.4844000041484833
mlp,-0.75,0.8333333333333333,0.471922904253006,0.4885999858379364
mlp,-0.75,0.9166666666666665,0.4630194902420044,0.4973999857902527
mlp,-0.75,1.0,0.4545462727546692,0.5127999782562256
mlp,-0.6666666666666667,-1.0,0.6802532076835632,0.5306000113487244
mlp,-0.6666666666666667,-0.9166666666666666,0.6840986609458923,0.5149999856948853
mlp,-0.6666666666666667,-0.8333333333333334,0.6853368878364563,0.5076000094413757
mlp,-0.6666666666666667,-0.75,0.6865066885948181,0.4925999939441681
mlp,-0.6666666666666667,-0.6666666666666667,0.683790385723114,0.4828000068664551
mlp,-0.6666666666666667,-0.5833333333333334,0.6735483407974243,0.4851999878883362
mlp,-0.6666666666666667,-0.5,0.6557915806770325,0.49639999866485596
mlp,-0.6666666666666667,-0.41666666666666674,0.6338074803352356,0.5088000297546387
mlp,-0.6666666666666667,-0.33333333333333337,0.6116934418678284,0.5131999850273132
mlp,-0.6666666666666667,-0.25,0.5894354581832886,0.5212000012397766
mlp,-0.6666666666666667,-0.16666666666666674,0.5661050081253052,0.5216000080108643
mlp,-0.6666666666666667,-0.08333333333333337,0.5419961810112,0.5257999897003174
mlp,-0.6666666666666667,0.0,0.5183855295181274,0.5299999713897705
mlp,-0.6666666666666667,0.08333333333333326,0.496330589056015,0.5364000201225281
mlp,-0.6666666666666667,0.16666666666666652,0.47730007767677307,0.5437999963760376
mlp,-0.6666666666666667,0.25,0.46321091055870056,0.5464000105857849
mlp,-0.6666666666666667,0.33333333333333326,0.4529006779193878,0.5491999983787537
mlp,-0.6666666666666667,0.4166666666666665,0.4436361789703369,0.5465999841690063
mlp,-0.6666666666666667,0.5,0.4341089725494385,0.5411999821662903
mlp,-0.6666666666666667,0.5833333333333333,0.42404669523239136,0.5382000207901001
mlp,-0.6666666666666667,0.6666666666666665,0.4134238362312317,0.5425999760627747
mlp,-0.6666666666666667,0.75,0.40278366208076477,0.5478000044822693
mlp,-0.6666666666666667,0.8333333333333333,0.391739159822464,0.5576000213623047
mlp,-0.6666666666666667,0.9166666666666665,0.3805151581764221,0.5722000002861023
mlp,-0.6666666666666667,1.0,0.37076258659362793,0.5838000178337097
mlp,-0.5833333333333334,-1.0,0.6715716123580933,0.5353999733924866
mlp,-0.5833333333333334,-0.9166666666666666,0.6630746126174927,0.5317999720573425
mlp,-0.5833333333333334,-0.8333333333333334,0.6580071449279785,0.5289999842643738
mlp,-0.5833333333333334,-0.75,0.6545717120170593,0.522599995136261
mlp,-0.5833333333333334,-0.6666666666666667,0.6476399302482605,0.520799994468689
mlp,-0.5833333333333334,-0.5833333333333334,0.6340596675872803,0.5284000039100647
mlp,-0.5833333333333334,-0.5,0.6150872111320496,0.5382000207901001
mlp,-0.5833333333333334,-0.41666666666666674,0.5945543646812439,0.5482000112533569
