model,x,y,loss,accuracy
logreg,-1.0,-1.0,2.5485072135925293,0.6728000044822693
logreg,-1.0,-0.9166666666666666,2.4486002922058105,0.675599992275238
logreg,-1.0,-0.8333333333333334,2.3541452884674072,0.6783999800682068
logreg,-1.0,-0.75,2.265733003616333,0.6794000267982483
logreg,-1.0,-0.6666666666666667,2.183915853500366,0.6823999881744385
logreg,-1.0,-0.5833333333333334,2.1094493865966797,0.6826000213623047
logreg,-1.0,-0.5,2.043330192565918,0.6858000159263611
logreg,-1.0,-0.41666666666666674,1.9868886470794678,0.6855999827384949
logreg,-1.0,-0.33333333333333337,1.941911220550537,0.6873999834060669
logreg,-1.0,-0.25,1.9100176095962524,0.6858000159263611
logreg,-1.0,-0.16666666666666674,1.8923125267028809,0.6866000294685364
logreg,-1.0,-0.08333333333333337,1.890654444694519,0.6827999949455261
logreg,-1.0,0.0,1.9079517126083374,0.6764000058174133
logreg,-1.0,0.08333333333333326,1.9479992389678955,0.670199990272522
logreg,-1.0,0.16666666666666652,2.013414144515991,0.6621999740600586
logreg,-1.0,0.25,2.1058521270751953,0.6546000242233276
logreg,-1.0,0.33333333333333326,2.2261104583740234,0.6471999883651733
logreg,-1.0,0.4166666666666665,2.373596429824829,0.6363999843597412
logreg,-1.0,0.5,2.5479869842529297,0.6255999803543091
logreg,-1.0,0.5833333333333333,2.750046491622925,0.6115999817848206
logreg,-1.0,0.6666666666666665,2.978740692138672,0.5985999703407288
logreg,-1.0,0.75,3.232758045196533,0.5875999927520752
logreg,-1.0,0.8333333333333333,3.50925612449646,0.5806000232696533
logreg,-1.0,0.9166666666666665,3.805417776107788,0.5717999935150146
logreg,-1.0,1.0,4.119353294372559,0.5658000111579895
logreg,-0.9166666666666666,-1.0,2.421154022216797,0.6773999929428101
logreg,-0.9166666666666666,-0.9166666666666666,2.31695818901062,0.6797999739646912
logreg,-0.9166666666666666,-0.8333333333333334,2.2178795337677,0.6832000017166138
logreg,-0.9166666666666666,-0.75,2.124692916870117,0.6851999759674072
logreg,-0.9166666666666666,-0.6666666666666667,2.03804612159729,0.6883999705314636
logreg,-0.9166666666666666,-0.5833333333333334,1.958655595779419,0.6899999976158142
logreg,-0.9166666666666666,-0.5,1.887546181678772,0.6912000179290771
logreg,-0.9166666666666666,-0.41666666666666674,1.8260972499847412,0.6935999989509583
logreg,-0.9166666666666666,-0.33333333333333337,1.7760614156723022,0.6970000267028809
logreg,-0.9166666666666666,-0.25,1.7392934560775757,0.6923999786376953
logreg,-0.9166666666666666,-0.16666666666666674,1.7171813249588013,0.6958000063896179
logreg,-0.9166666666666666,-0.08333333333333337,1.711485505104065,0.6905999779701233
logreg,-0.9166666666666666,0.0,1.725206971168518,0.6881999969482422
logreg,-0.9166666666666666,0.08333333333333326,1.7625601291656494,0.6796000003814697
logreg,-0.9166666666666666,0.16666666666666652,1.8265854120254517,0.6696000099182129
logreg,-0.9166666666666666,0.25,1.9194351434707642,0.6615999937057495
logreg,-0.9166666666666666,0.33333333333333326,2.0422956943511963,0.6539999842643738
logreg,-0.9166666666666666,0.4166666666666665,2.1944751739501953,0.6420000195503235
logreg,-0.9166666666666666,0.5,2.3754501342773438,0.628600001335144
logreg,-0.9166666666666666,0.5833333333333333,2.5851314067840576,0.6161999702453613
logreg,-0.9166666666666666,0.6666666666666665,2.8226065635681152,0.6007999777793884
logreg,-0.9166666666666666,0.75,3.0856382846832275,0.590399980545044
logreg,-0.9166666666666666,0.8333333333333333,3.3709158897399902,0.5845999717712402
logreg,-0.9166666666666666,0.9166666666666665,3.6758646965026855,0.5758000016212463
logreg,-0.9166666666666666,1.0,3.9993858337402344,0.5676000118255615
logreg,-0.8333333333333334,-1.0,2.3000197410583496,0.6830000281333923
logreg,-0.8333333333333334,-0.9166666666666666,2.19175386428833,0.6840000152587891
logreg,-0.8333333333333334,-0.8333333333333334,2.088231325149536,0.6876000165939331
logreg,-0.8333333333333334,-0.75,1.9902840852737427,0.6901999711990356
logreg,-0.8333333333333334,-0.6666666666666667,1.8987029790878296,0.6959999799728394
logreg,-0.8333333333333334,-0.5833333333333334,1.8142997026443481,0.6967999935150146
logreg,-0.8333333333333334,-0.5,1.7380908727645874,0.6990000009536743
logreg,-0.8333333333333334,-0.41666666666666674,1.6714820861816406,0.6998000144958496
logreg,-0.8333333333333334,-0.33333333333333337,1.6162686347961426,0.7053999900817871
logreg,-0.8333333333333334,-0.25,1.5743765830993652,0.703000009059906
logreg,-0.8333333333333334,-0.16666666666666674,1.5475317239761353,0.7026000022888184
logreg,-0.8333333333333334,-0.08333333333333337,1.5376334190368652,0.7008000016212463
logreg,-0.8333333333333334,0.0,1.5477017164230347,0.6959999799728394
logreg,-0.8333333333333334,0.08333333333333326,1.5822169780731201,0.6883999705314636
logreg,-0.8333333333333334,0.16666666666666652,1.6449837684631348,0.6787999868392944
logreg,-0.8333333333333334,0.25,1.7385904788970947,0.670199990272522
logreg,-0.8333333333333334,0.33333333333333326,1.8644686937332153,0.6579999923706055
logreg,-0.8333333333333334,0.4166666666666665,2.0219292640686035,0.6471999883651733
logreg,-0.8333333333333334,0.5,2.2101619243621826,0.6309999823570251
logreg,-0.8333333333333334,0.5833333333333333,2.42834734916687,0.6182000041007996
logreg,-0.8333333333333334,0.6666666666666665,2.6752283573150635,0.6055999994277954
logreg,-0.8333333333333334,0.75,2.9474880695343018,0.5974000096321106
logreg,-0.8333333333333334,0.8333333333333333,3.2416930198669434,0.5878000259399414
logreg,-0.8333333333333334,0.9166666666666665,3.556281805038452,0.5763999819755554
logreg,-0.8333333333333334,1.0,3.8904385566711426,0.5698000192642212
logreg,-0.75,-1.0,2.1853926181793213,0.6858000159263611
logreg,-0.75,-0.9166666666666666,2.0732736587524414,0.6877999901771545
logreg,-0.75,-0.8333333333333334,1.9655169248580933,0.6905999779701233
logreg,-0.75,-0.75,1.8629785776138306,0.6953999996185303
logreg,-0.75,-0.6666666666666667,1.7665437459945679,0.6976000070571899
logreg,-0.75,-0.5833333333333334,1.6770843267440796,0.7017999887466431
logreg,-0.75,-0.5,1.5957003831863403,0.7056000232696533
logreg,-0.75,-0.41666666666666674,1.5238279104232788,0.7057999968528748
logreg,-0.75,-0.33333333333333337,1.4633135795593262,0.7111999988555908
logreg,-0.75,-0.25,1.4161490201950073,0.7146000266075134
logreg,-0.75,-0.16666666666666674,1.3842486143112183,0.7134000062942505
logreg,-0.75,-0.08333333333333337,1.3699740171432495,0.7120000123977661
logreg,-0.75,0.0,1.3764134645462036,0.7045999765396118
logreg,-0.75,0.08333333333333326,1.4081000089645386,0.6988000273704529
logreg,-0.75,0.16666666666666652,1.469759225845337,0.6899999976158142
logreg,-0.75,0.25,1.5644971132278442,0.6790000200271606
logreg,-0.75,0.33333333333333326,1.6939173936843872,0.6668000221252441
logreg,-0.75,0.4166666666666665,1.8573482036590576,0.6499999761581421
logreg,-0.75,0.5,2.0535531044006348,0.6373999714851379
logreg,-0.75,0.5833333333333333,2.2811100482940674,0.620199978351593
logreg,-0.75,0.6666666666666665,2.5376861095428467,0.6114000082015991
logreg,-0.75,0.75,2.8192458152770996,0.6015999913215637
logreg,-0.75,0.8333333333333333,3.1230533123016357,0.5910000205039978
logreg,-0.75,0.9166666666666665,3.448441982269287,0.5776000022888184
logreg,-0.75,1.0,3.7933623790740967,0.5687999725341797
logreg,-0.6666666666666667,-1.0,2.0777013301849365,0.6886000037193298
logreg,-0.6666666666666667,-0.9166666666666666,1.9618953466415405,0.6912000179290771
logreg,-0.6666666666666667,-0.8333333333333334,1.8501617908477783,0.6934000253677368
logreg,-0.6666666666666667,-0.75,1.7432472705841064,0.6988000273704529
logreg,-0.6666666666666667,-0.6666666666666667,1.6421194076538086,0.7039999961853027
logreg,-0.6666666666666667,-0.5833333333333334,1.547743797302246,0.7084000110626221
logreg,-0.6666666666666667,-0.5,1.4612147808074951,0.7120000123977661
logreg,-0.6666666666666667,-0.41666666666666674,1.3840299844741821,0.7160000205039978
logreg,-0.6666666666666667,-0.33333333333333337,1.3181214332580566,0.7214000225067139
logreg,-0.6666666666666667,-0.25,1.265591025352478,0.7229999899864197
logreg,-0.6666666666666667,-0.16666666666666674,1.2284868955612183,0.7235999703407288
logreg,-0.6666666666666667,-0.08333333333333337,1.2095998525619507,0.7197999954223633
logreg,-0.6666666666666667,0.0,1.2125312089920044,0.7166000008583069
logreg,-0.6666666666666667,0.08333333333333326,1.24173104763031,0.7113999724388123
logreg,-0.6666666666666667,0.16666666666666652,1.3025150299072266,0.699999988079071
logreg,-0.6666666666666667,0.25,1.3987367153167725,0.6877999901771545
logreg,-0.6666666666666667,0.33333333333333326,1.5323104858398438,0.6741999983787537
logreg,-0.6666666666666667,0.4166666666666665,1.7024527788162231,0.6575999855995178
logreg,-0.6666666666666667,0.5,1.9073389768600464,0.6434000134468079
logreg,-0.6666666666666667,0.5833333333333333,2.1447436809539795,0.6248000264167786
logreg,-0.6666666666666667,0.6666666666666665,2.41106915473938,0.6154000163078308
logreg,-0.6666666666666667,0.75,2.702446222305298,0.6050000190734863
logreg,-0.6666666666666667,0.8333333333333333,3.017040729522705,0.5906000137329102
logreg,-0.6666666666666667,0.9166666666666665,3.353682279586792,0.5784000158309937
logreg,-0.6666666666666667,1.0,3.7089061737060547,0.5667999982833862
logreg,-0.5833333333333334,-1.0,1.9775266647338867,0.6908000111579895
logreg,-0.5833333333333334,-0.9166666666666666,1.8581184148788452,0.6937999725341797
logreg,-0.5833333333333334,-0.8333333333333334,1.7426323890686035,0.698199987411499
logreg,-0.5833333333333334,-0.75,1.6316654682159424,0.7002000212669373
logreg,-0.5833333333333334,-0.6666666666666667,1.5260982513427734,0.7080000042915344
logreg,-0.5833333333333334,-0.5833333333333334,1.426998257637024,0.7129999995231628
logreg,-0.5833333333333334,-0.5,1.3355228900909424,0.7179999947547913
logreg,-0.5833333333333334,-0.41666666666666674,1.2531464099884033,0.7235999703407288
logreg,-0.5833333333333334,-0.33333333333333337,1.1818526983261108,0.7301999926567078
logreg,-0.5833333333333334,-0.25,1.1239124536514282,0.7329999804496765
logreg,-0.5833333333333334,-0.16666666666666674,1.0816315412521362,0.7355999946594238
logreg,-0.5833333333333334,-0.08333333333333337,1.0581170320510864,0.7333999872207642
logreg,-0.5833333333333334,0.0,1.0576108694076538,0.730400025844574
logreg,-0.5833333333333334,0.08333333333333326,1.084915280342102,0.7229999899864197
logreg,-0.5833333333333334,0.16666666666666652,1.1452831029891968,0.7117999792098999
logreg,-0.5833333333333334,0.25,1.2433273792266846,0.6962000131607056
logreg,-0.5833333333333334,0.33333333333333326,1.381677269935608,0.6801999807357788
logreg,-0.5833333333333334,0.4166666666666665,1.559232234954834,0.6632000207901001
logreg,-0.5833333333333334,0.5,1.7733473777770996,0.645799994468689
logreg,-0.5833333333333334,0.5833333333333333,2.020719289779663,0.6322000026702881
logreg,-0.5833333333333334,0.6666666666666665,2.297192335128784,0.6205999851226807
logreg,-0.5833333333333334,0.75,2.5994350910186768,0.605400025844574
logreg,-0.5833333333333334,0.8333333333333333,2.9255526065826416,0.5892000198364258
logreg,-0.5833333333333334,0.9166666666666665,3.273226022720337,0.5788000226020813
logreg,-0.5833333333333334,1.0,3.6386702060699463,0.5673999786376953
logreg,-0.5,-1.0,1.8856050968170166,0.6937999725341797
logreg,-0.5,-0.9166666666666666,1.762660026550293,0.6980000138282776
logreg,-0.5,-0.8333333333333334,1.6435317993164062,0.7016000151634216
logreg,-0.5,-0.75,1.5287920236587524,0.7053999900817871
logreg,-0.5,-0.6666666666666667,1.4191761016845703,0.7120000123977661
