lr,local_epochs,clients_per_round,seed,total_comm_bytes,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,final_auroc,final_auprc,final_balanced_accuracy,final_sensitivity,final_specificity,final_worst_client_recall,final_worst_client_auprc
0.001,2,3,7,239907888,33,True,18,0.28258297840754193,0.31604570150375366,0.9026922252443101,0.848704993724823,239907888,0.8781518240323497,0.5909004888490643,0.7641476820395192,0.6038369304556355,0.9244584336234031,0.4,0.16852577112804143
0.001,2,3,11,196288272,27,True,12,0.2614757509695159,0.3099794288476308,0.891741567187839,0.8518635630607605,196288272,0.8699038029343237,0.5922735700184931,0.7659336111928824,0.6292565947242206,0.9026106276615442,0.5726681127982647,0.30303030303030304
0.001,2,3,13,305337312,42,True,27,0.2727821817000707,0.32065262811051476,0.9077425996462504,0.8547062277793884,305337312,0.8630252768716336,0.5793973990898075,0.7504064217613133,0.5688249400479616,0.9319879034746652,0.2,0.2238356757024438
0.001,2,5,7,363496800,30,True,15,0.29234176460239625,0.3199368781513638,0.9056770073042976,0.8552070260047913,363496800,0.8766629503284985,0.6023560722848277,0.7657601820783699,0.6095923261390888,0.921928038017651,0.2,0.2511904761904762
0.001,2,5,11,290797440,24,True,9,0.2739364720053143,0.31933417667945224,0.8989998035960727,0.8454203009605408,290797440,0.8825708623991382,0.6172174248243205,0.7766695216313526,0.6441247002398082,0.9092143430228969,0.2,0.20651656635390075
0.001,2,5,13,230214640,19,True,4,0.2961599984102779,0.4940212940176328,0.8322592046525743,0.33563774824142456,230214640,0.8353813449888118,0.4954263946029556,0.7307421975768764,0.6594724220623501,0.8020119730914028,0.3,0.18186188786041407
0.001,2,7,7,424079600,25,True,10,0.2677514660689566,0.30135034438636565,0.9050365421507094,0.8562107682228088,424079600,0.8707136272096931,0.5971199518529228,0.7587220503175316,0.5908872901678657,0.9265568104671974,0.1,0.15142049890398546
0.001,2,7,11,424079600,25,True,12,0.28111063026719624,0.30904096282190746,0.9050107598304749,0.8534504175186157,424079600,0.8781978527527914,0.607311132353944,0.7694260810570207,0.6163069544364509,0.9225452076775905,0.2,0.15005400914284311
0.001,2,7,13,458005968,27,True,12,0.26386300060484147,0.30147167129649055,0.9078590273857117,0.8542032837867737,458005968,0.8660734289813106,0.5847306567139627,0.758653273641039,0.5913669064748202,0.9259396408072579,0.4,0.20360983102918584
0.001,2,9,7,654294240,30,True,15,0.27835745612780255,0.3227732645140754,0.8954429229100546,0.8512318134307861,654294240,0.8665039529198713,0.5821349176917527,0.7587032688235636,0.6110311750599521,0.9063753625871752,0.2,0.2229873293006252
0.001,2,9,11,523435392,24,True,9,0.2553547148903211,0.2863873698645168,0.9126285778151618,0.8597239851951599,523435392,0.8792151614757074,0.6029166482074017,0.7543641665079341,0.5745803357314149,0.9341479972844535,0.0,0.11773163327613177
0.001,2,9,13,479815776,22,True,7,0.2735741428203053,0.2979427112473382,0.903187546465132,0.8572331070899963,479815776,0.8700921950830374,0.6039703841883943,0.7702009619854571,0.6244604316546762,0.9159414923162378,0.4,0.2967965367965368
0.001,2,9,7,567055008,26,True,11,0.2651090199748675,0.2996358341640896,0.9066571858194139,0.8581806421279907,567055008,0.8728023395022177,0.5975666763726517,0.7561908554992702,0.584652278177458,0.9277294328210826,0.2,0.274877372391409
0.001,2,9,11,523435392,24,True,9,0.2745773428016239,0.3057341269320912,0.9010661774211459,0.855022132396698,523435392,0.8807464526434768,0.6081650544243187,0.7711337761858649,0.6239808153477219,0.9182867370240079,0.3,0.12675045292552725
0.001,2,9,13,479815776,22,True,7,0.2735741428203053,0.2979427112473382,0.903187546465132,0.8572331070899963,479815776,0.8700921950830374,0.6039703841883943,0.7702009619854571,0.6244604316546762,0.9159414923162378,0.4,0.2967965367965368
0.001,5,3,7,232637952,32,True,17,0.3133113839560085,0.413349159889751,0.9113571047782898,0.8673405051231384,232637952,0.8754288922130209,0.5734892533641682,0.7330390011264456,0.5223021582733813,0.94377584397951,0.1,0.15539287460695872
0.001,5,3,11,159938592,22,True,7,0.3110592911640803,0.4002542214261161,0.9115110569530063,0.8651295304298401,159938592,0.8666075397412121,0.5719513821026772,0.7328732089314662,0.5251798561151079,0.9405665617478245,0.1,0.14040818648978623
0.001,5,3,13,174478464,24,True,9,0.27877891063690186,0.6068261977699068,0.8658740255567763,0.55997234582901,174478464,0.8414632485827667,0.4905615495353824,0.7240363162164214,0.584652278177458,0.8634203542553848,0.0,0.18242424242424243
0.001,5,5,7,230214640,19,True,4,0.320971865620878,0.37519504295455086,0.9100485112931993,0.8547062277793884,230214640,0.8764541190598715,0.5998967898244476,0.7568054055182072,0.5827338129496403,0.930876998086774,0.1,0.19597147950089128
