group,metric,n,mean,std,ci95_low,ci95_high
fedavg_default,final_accuracy,10,0.8776143590609232,0.02516949431698826,0.8620141448600392,0.8932145732618072
fedavg_default,final_auroc,10,0.8889167458849068,0.008434737050707776,0.8836888416981166,0.894144650071697
fedavg_default,final_auprc,10,0.6315615033460521,0.014487772463197036,0.6225818889416819,0.6405411177504223
fedavg_default,final_balanced_accuracy,10,0.7942078227808421,0.02019456323932279,0.7816911028078828,0.8067245427538015
fedavg_default,final_sensitivity,10,0.7163549160671463,0.07620055173873826,0.6691253247857866,0.763584507348506
fedavg_default,final_specificity,10,0.872060729494538,0.03862619865459613,0.8481199635344175,0.8960014954546583
fedavg_default,final_worst_client_recall,10,0.21000000000000002,0.13703203194062977,0.12506666666666671,0.2949333333333333
fedavg_default,total_comm_until_stop,10,571901632.0,156298927.58835885,475026553.0238953,668776710.9761047
fedavg_default,stopped_round,10,47.2,12.899612397277679,39.20473740268652,55.19526259731349
cvar_0,final_accuracy,10,0.8639535393979815,0.06579044220838721,0.8231762008509379,0.904730877945025
cvar_0,final_auroc,10,0.8860189656088497,0.012665774001296825,0.8781686375509334,0.893869293666766
cvar_0,final_auprc,10,0.6260419692276773,0.020952008142576865,0.6130557800398296,0.639028158415525
cvar_0,final_balanced_accuracy,10,0.7875097515026305,0.023903306261596476,0.7726943287891694,0.8023251742160915
cvar_0,final_sensitivity,10,0.7043165467625899,0.08672917885698775,0.6505612447848867,0.7580718487402931
cvar_0,final_specificity,10,0.8707029562426711,0.05797988427524995,0.8347666516572481,0.9066392608280942
cvar_0,final_worst_client_recall,10,0.26,0.2065591117977289,0.13197333611053258,0.38802666388946744
cvar_0,total_comm_until_stop,10,645812648.0,177162541.68169653,536006167.03537905,755619128.964621
cvar_0,stopped_round,10,53.3,14.621521428664286,44.23748712797849,62.362512872021505
cvar_0.5,final_accuracy,10,0.8732007112767961,0.02959496744354097,0.8548575604143726,0.8915438621392197
cvar_0.5,final_auroc,10,0.8758292177589164,0.014401086570090557,0.8669033318277378,0.884755103690095
cvar_0.5,final_auprc,10,0.6137207793927655,0.02259857389553214,0.5997140381779904,0.6277275206075406
cvar_0.5,final_balanced_accuracy,10,0.779596482044137,0.017244787035142723,0.7689080523042008,0.7902849117840732
cvar_0.5,final_sensitivity,10,0.6916067146282973,0.05796901584865927,0.6556771463634655,0.727536282893129
cvar_0.5,final_specificity,10,0.8675862494599766,0.04330272206220902,0.840746944262023,0.8944255546579303
cvar_0.5,final_worst_client_recall,10,0.16,0.12649110640673517,0.08160000000000002,0.2384
cvar_0.5,total_comm_until_stop,10,712453728.0,297112501.9931657,528301491.38849473,896605964.6115053
cvar_0.5,stopped_round,10,58.8,24.521192648174534,43.60160733644654,73.99839266355346
cvar_0.75,final_accuracy,10,0.8663034154309166,0.041556743874050624,0.8405462787255957,0.8920605521362375
cvar_0.75,final_auroc,10,0.8783357287508264,0.01901919317174145,0.8665475106932672,0.8901239468083857
cvar_0.75,final_auprc,10,0.6146168628212854,0.03454150678915998,0.5932078151087741,0.6360259105337966
cvar_0.75,final_balanced_accuracy,10,0.7845721526833338,0.023909523609495564,0.7697528764177208,0.7993914289489468
cvar_0.75,final_sensitivity,10,0.7145803357314149,0.0818846273803517,0.6638277178676997,0.7653329535951301
cvar_0.75,final_specificity,10,0.8545639696352527,0.06714173857654386,0.8129490889220206,0.8961788503484849
cvar_0.75,final_worst_client_recall,10,0.24,0.14298407059684812,0.15137755488716315,0.32862244511283684
cvar_0.75,total_comm_until_stop,10,579171568.0,124328475.53466286,502111980.50161314,656231155.4983869
cvar_0.75,stopped_round,10,47.8,10.261037417770627,41.440143118311894,54.1598568816881
cvar_0.9,final_accuracy,10,0.8663034154309166,0.041556743874050624,0.8405462787255957,0.8920605521362375
cvar_0.9,final_auroc,10,0.8783357287508264,0.01901919317174145,0.8665475106932672,0.8901239468083857
cvar_0.9,final_auprc,10,0.6146168628212854,0.03454150678915998,0.5932078151087741,0.6360259105337966
cvar_0.9,final_balanced_accuracy,10,0.7845721526833338,0.023909523609495564,0.7697528764177208,0.7993914289489468
cvar_0.9,final_sensitivity,10,0.7145803357314149,0.0818846273803517,0.6638277178676997,0.7653329535951301
cvar_0.9,final_specificity,10,0.8545639696352527,0.06714173857654386,0.8129490889220206,0.8961788503484849
cvar_0.9,final_worst_client_recall,10,0.24,0.14298407059684812,0.15137755488716315,0.32862244511283684
cvar_0.9,total_comm_until_stop,10,579171568.0,124328475.53466286,502111980.50161314,656231155.4983869
cvar_0.9,stopped_round,10,47.8,10.261037417770627,41.440143118311894,54.1598568816881
cvar_0.95,final_accuracy,10,0.8663034154309166,0.041556743874050624,0.8405462787255957,0.8920605521362375
cvar_0.95,final_auroc,10,0.8783357287508264,0.01901919317174145,0.8665475106932672,0.8901239468083857
cvar_0.95,final_auprc,10,0.6146168628212854,0.03454150678915998,0.5932078151087741,0.6360259105337966
cvar_0.95,final_balanced_accuracy,10,0.7845721526833338,0.023909523609495564,0.7697528764177208,0.7993914289489468
cvar_0.95,final_sensitivity,10,0.7145803357314149,0.0818846273803517,0.6638277178676997,0.7653329535951301
cvar_0.95,final_specificity,10,0.8545639696352527,0.06714173857654386,0.8129490889220206,0.8961788503484849
cvar_0.95,final_worst_client_recall,10,0.24,0.14298407059684812,0.15137755488716315,0.32862244511283684
cvar_0.95,total_comm_until_stop,10,579171568.0,124328475.53466286,502111980.50161314,656231155.4983869
cvar_0.95,stopped_round,10,47.8,10.261037417770627,41.440143118311894,54.1598568816881
centralized,final_accuracy,10,0.9078136993779076,0.0035800667452547358,0.9055947510201832,0.910032647735632
centralized,final_auroc,10,0.8781962824482127,0.006946863705038724,0.8738905717152877,0.8825019931811376
centralized,final_auprc,10,0.5850554693472296,0.007895318940311504,0.5801618999690787,0.5899490387253805
centralized,final_balanced_accuracy,10,0.7597655332501263,0.009326639491289868,0.7539848222034072,0.7655462442968454
centralized,final_sensitivity,10,0.588968824940048,0.02370531866363166,0.5742761162111617,0.6036615336689343
centralized,final_specificity,10,0.9305622415602048,0.006013275995729599,0.9268351744844432,0.9342893086359665
centralized,final_worst_client_recall,10,0.16,0.12649110640673517,0.08160000000000002,0.2384
centralized,total_comm_until_stop,10,0.0,0.0,0.0,0.0
centralized,stopped_round,10,31.8,1.5491933384829666,30.839800020828996,32.760199979171006
local_only,final_accuracy,1,0.9036112718400329,0.0,0.9036112718400329,0.9036112718400329
local_only,final_auroc,1,0.8690466337553534,0.0,0.8690466337553534,0.8690466337553534
local_only,final_auprc,1,0.4590929495749547,0.0,0.4590929495749547,0.4590929495749547
local_only,final_balanced_accuracy,1,0.714351322284763,0.0,0.714351322284763,0.714351322284763
local_only,final_sensitivity,1,0.4895224138985491,0.0,0.4895224138985491,0.4895224138985491
local_only,final_specificity,1,0.9391802306709766,0.0,0.9391802306709766,0.9391802306709766
local_only,final_worst_client_recall,1,0.0,0.0,0.0,0.0
local_only,total_comm_until_stop,1,0.0,0.0,0.0,0.0
local_only,stopped_round,1,50.0,0.0,50.0,50.0
grid_best_validated,final_accuracy,10,0.9012835880120595,0.011962472923655406,0.893869170478238,0.9086980055458811
grid_best_validated,final_auroc,10,0.8594740604479941,0.029751642893440268,0.8410338011356484,0.8779143197603398
grid_best_validated,final_auprc,10,0.5981423585370439,0.031036273769501136,0.5789058767585958,0.617378840315492
grid_best_validated,final_balanced_accuracy,10,0.7718585198495527,0.023269334725211498,0.7574360367653235,0.7862810029337819
grid_best_validated,final_sensitivity,10,0.6298800959232613,0.07068518606794304,0.586068963700991,0.6736912281455316
grid_best_validated,final_specificity,10,0.9138369437758438,0.025408732403792024,0.898088448272517,0.9295854392791706
grid_best_validated,final_worst_client_recall,10,0.13,0.12516655570345725,0.05242096503135228,0.2075790349686477
grid_best_validated,total_comm_until_stop,10,359134838.4,134976520.5933418,275475524.1989619,442794152.60103804
grid_best_validated,stopped_round,10,49.4,18.56639736489314,37.89242769110511,60.907572308894885
ga_best_validated,final_accuracy,10,0.8670167201095158,0.05095530579055598,0.8354342943764852,0.8985991458425464
ga_best_validated,final_auroc,10,0.8839254610013155,0.00905692847640311,0.8783119185735437,0.8895390034290873
ga_best_validated,final_auprc,10,0.6290102172914742,0.012167790178300277,0.621468542804801,0.6365518917781474
ga_best_validated,final_balanced_accuracy,10,0.7876085386088463,0.02267154482665981,0.7735565695423833,0.8016605076753093
ga_best_validated,final_sensitivity,10,0.721294964028777,0.09702391453288385,0.6611589187726098,0.7814310092849442
ga_best_validated,final_specificity,10,0.8539221131889156,0.08235140042042692,0.8028801863976287,0.9049640399802026
ga_best_validated,final_worst_client_recall,10,0.25000000000000006,0.17159383568311665,0.14364503877214868,0.35635496122785143
ga_best_validated,total_comm_until_stop,10,318423196.8,74911312.00795461,271992684.58249503,364853709.017505
ga_best_validated,stopped_round,10,43.8,10.304260176149366,37.41335337511843,50.18664662488156
