round,best_fitness
1,32.95775508812605
2,1.9794922137904851
3,1.926784190648387
4,1.926784190648387
5,1.926784190648387
6,1.926784190648387
7,1.926784190648387
8,1.926784190648387
9,1.926784190648387
10,1.926784190648387
11,1.926784190648387
12,1.926784190648387
13,1.926784190648387
14,1.926784190648387
15,1.926784190648387
16,1.926784190648387
17,1.926784190648387
18,1.926784190648387
19,1.926784190648387
20,1.926784190648387
21,1.926784190648387
22,1.926784190648387
23,1.926784190648387
24,1.926784190648387
25,1.926784190648387
26,1.926784190648387
27,1.926784190648387
28,1.141463443383542
29,1.141463443383542
30,1.141463443383542
31,1.141463443383542
32,1.141463443383542
33,1.141463443383542
34,1.141463443383542
35,1.141463443383542
36,1.141463443383542
37,1.141463443383542
38,1.141463443383542
39,1.141463443383542
40,1.141463443383542
41,1.141463443383542
42,1.141463443383542
43,1.141463443383542
44,1.127699442986677
45,1.127699442986677
46,1.127699442986677
47,1.127699442986677
48,1.127699442986677
49,1.127699442986677
50,1.127699442986677
51,1.127699442986677
52,1.127699442986677
53,1.127699442986677
54,1.127699442986677
55,1.127699442986677
56,1.127699442986677
57,1.127699442986677
58,1.127699442986677
59,1.127699442986677
60,1.127699442986677
61,1.127699442986677
62,1.127699442986677
63,1.127699442986677
64,1.127699442986677
65,1.127699442986677
66,1.127699442986677
67,1.093575526477083
68,1.093575526477083
69,1.093575526477083
70,1.093575526477083
71,1.093575526477083
72,1.093575526477083
73,1.093575526477083
74,1.093575526477083
75,1.093575526477083
76,1.093575526477083
77,1.093575526477083
78,1.093575526477083
79,1.093575526477083
80,1.093575526477083
81,1.093575526477083
82,1.093575526477083
83,1.093575526477083
84,1.093575526477083
85,1.093575526477083
86,1.093575526477083
87,1.093575526477083
88,1.093575526477083
89,1.093575526477083
90,1.093575526477083
