x_metric,y_metric,n,pearson_r,p_value
js_divergence,accuracy,30,0.17358657704425134,0.35895179791222354
js_divergence,error_rate,30,-0.17358657704425137,0.35895179791222354
label_entropy,accuracy,30,-0.21877439695811685,0.24543981739638782
label_entropy,error_rate,30,0.21877439695811696,0.24543981739638782
samples,accuracy,30,0.014146714902113167,0.9408545489768754
samples,error_rate,30,-0.014146714902113083,0.9408545489768767
