budget,loss,cost,lambda,status,primal_feasible,dual_feasible,complementary_slackness,stationarity_residual,budget_slack,budget_tolerance,kkt_status
165031936.0,0.1946499223244041,165031938.30294192,3.0254725707496985e-08,optimal,True,True,6.967487606067529e-08,1.0474403566718138e-08,2.302941918373108,165.0319483029419,pass
343425832.72727275,0.10309348311323216,343425843.0137661,1.2269352389877988e-10,optimal,True,True,1.2620861190220335e-09,1.1674137767592185e-09,10.286493360996246,343.4258530137661,pass
521819729.45454544,0.08601096486856398,521819733.42316955,8.641299773908122e-11,optimal,True,True,3.4294070667591434e-10,6.549746606188123e-09,3.9686241149902344,521.8197434231695,pass
700213626.1818181,0.0833511968259427,700213626.2317374,9.773353440800636e-12,optimal,True,True,4.878784505600439e-13,1.874334715212811e-10,0.0499192476272583,700.2136362317373,pass
878607522.9090909,0.08160769022905584,878607522.8073242,9.773353338801992e-12,optimal,True,True,9.946019711043624e-13,8.665994311041203e-11,-0.10176670551300049,878.6075329090908,pass
1057001419.6363636,0.079864183904589,1057001418.016665,9.773353359160764e-12,optimal,True,True,1.582988718008094e-11,9.880760099001407e-11,-1.6196986436843872,1057.0014296363636,pass
1235395316.3636363,0.07812067761433576,1235395313.9844186,9.773353458325454e-12,optimal,True,True,2.3252934800121775e-11,1.5620642279667862e-10,-2.3792176246643066,1235.3953263636363,pass
1413789213.090909,0.07637717055906622,1413789212.4744105,9.773353253294503e-12,optimal,True,True,6.025257330420105e-12,2.3010718330773727e-11,-0.6164984703063965,1413.789223090909,pass
1592183109.8181818,0.0746336640269762,1592183109.2590766,9.773352993576803e-12,optimal,True,True,5.464332068218764e-12,2.5097193767642523e-10,-0.5591051578521729,1592.1831198181817,pass
1770577006.5454545,0.07425449241947468,1630979681.1989434,1.935612968403583e-19,optimal,True,True,2.7020639329516113e-11,1.0196202215873029e-10,-139597325.34651113,1770.5770165454544,pass
1948970903.2727273,0.0742544926285456,1630979660.370492,1.9933963095712367e-19,optimal,True,True,6.338825700772865e-11,1.1960699097812721e-10,-317991242.90223527,1948.970913272727,pass
2127364800.0,0.07425449145904682,1630979678.9051101,2.5133586302481673e-20,optimal,True,True,1.247593828030623e-11,1.2539316807114176e-11,-496385121.0948899,2127.36481,pass
