method,seed,stopped_round,stopped_early,best_round,best_loss,final_loss,final_accuracy,final_worst_client_accuracy,total_comm_until_stop,delta_accuracy,delta_worst_client_accuracy,delta_comm
fedavg_default,7,185,True,156,0.08394025854455928,0.08421621018399796,0.9691395163536072,0.8888888955116272,1192613600,0.0,0.0,0.0
fedavg_default,11,229,True,228,0.07902248275155822,0.09135647239163518,0.9692709704240163,0.8815789222717285,1476262240,0.0,0.0,0.0
fedavg_default,19,278,True,271,0.07266066427497814,0.07483170403478047,0.9723605891068776,0.9078947305679321,1792143680,0.0,0.0,0.0
fedavg_default,23,200,True,198,0.08389215685116748,0.08476767099152009,0.9701919019222259,0.8815789222717285,1289312000,0.0,0.0,0.0
fedavg_default,29,234,True,226,0.08044824711202334,0.0820760344232743,0.9695634484291077,0.9054054021835327,1508495040,0.0,0.0,0.0
fedavg_default,31,196,True,191,0.08376917099424948,0.08433899494508902,0.9687455058097839,0.8888888955116272,1263525760,0.0,0.0,0.0
fedavg_default,37,226,True,196,0.07990846064252158,0.10588110718720903,0.9593068857987722,0.8518518805503845,1456922560,0.0,0.0,0.0
fedavg_default,41,253,True,250,0.07295674063110104,0.07425449131987989,0.9731411774953206,0.90625,1630979680,0.0,0.0,0.0
fedavg_default,43,234,True,223,0.07777579701505602,0.0805422868191575,0.9729757567246755,0.8947368264198303,1508495040,0.0,0.0,0.0
fedavg_default,47,229,True,213,0.07683064914308488,0.07880488839000463,0.9723864972591401,0.9054054021835327,1476262240,0.0,0.0,0.0
cvar_0,7,186,True,186,0.08930920201043288,0.08930920201043288,0.9635677893956502,0.8024691343307495,1199060160,-0.005571726957956935,-0.08641976118087769,6446560.0
cvar_0,11,203,True,199,0.08071078954574963,0.08787723439745605,0.9698610246181488,0.8815789222717285,1308651680,0.0005900541941324944,0.0,-167610560.0
cvar_0,19,273,True,243,0.07222216338850558,0.07977607606444508,0.9742822309335073,0.8947368264198303,1759910880,0.001921641826629683,-0.013157904148101807,-32232800.0
cvar_0,23,200,True,170,0.08069040163730581,0.0819108585206171,0.9716622352600097,0.9078947305679321,1289312000,0.0014703333377837913,0.026315808296203613,0.0
cvar_0,29,234,True,226,0.08044824711202334,0.0820760344232743,0.9695634484291077,0.9054054021835327,1508495040,0.0,0.0,0.0
cvar_0,31,196,True,191,0.08376917099424948,0.08433899494508902,0.9687455058097839,0.8888888955116272,1263525760,0.0,0.0,0.0
cvar_0,37,226,True,196,0.07990846064252158,0.10588110718720903,0.9593068857987722,0.8518518805503845,1456922560,0.0,0.0,0.0
cvar_0,41,253,True,250,0.07295674063110104,0.07425449131987989,0.9731411774953206,0.90625,1630979680,0.0,0.0,0.0
cvar_0,43,234,True,223,0.07777579701505602,0.0805422868191575,0.9729757567246755,0.8947368264198303,1508495040,0.0,0.0,0.0
cvar_0,47,229,True,213,0.07683064914308488,0.07880488839000463,0.9723864972591401,0.9054054021835327,1476262240,0.0,0.0,0.0
cvar_0.5,7,186,True,156,0.08845594238179426,0.08955973683235546,0.965354053179423,0.790123462677002,1199060160,-0.003785463174184156,-0.09876543283462524,6446560.0
cvar_0.5,11,203,True,173,0.08227290889869134,0.09113642033189535,0.9693930427233378,0.8815789222717285,1308651680,0.0001220722993214851,0.0,-167610560.0
cvar_0.5,19,273,True,243,0.0724780666641891,0.0803029946439589,0.9746334652105967,0.8947368264198303,1759910880,0.002272876103719068,-0.013157904148101807,-32232800.0
cvar_0.5,23,200,True,170,0.08009682460688054,0.08198442032250265,0.9724171539147695,0.8947368264198303,1289312000,0.002225251992543531,0.013157904148101807,0.0
cvar_0.5,29,181,True,163,0.09086053677213689,0.0913155696199586,0.9660334507624309,0.8395061492919922,1166827360,-0.003529997666676832,-0.06589925289154053,-341667680.0
cvar_0.5,31,310,True,295,0.06956164537308117,0.07082025966762255,0.9767966787020366,0.9078947305679321,1998433600,0.008051172892252656,0.01900583505630493,734907840.0
cvar_0.5,37,257,True,227,0.0717691564001143,0.0747515766415745,0.9716623544692993,0.8947368264198303,1656765920,0.012355468670527059,0.0428849458694458,199843360.0
cvar_0.5,41,254,True,240,0.07358290531362097,0.07557997235174602,0.9726153910160065,0.9130434989929199,1637426240,-0.0005257864793141165,0.006793498992919922,6446560.0
cvar_0.5,43,170,True,163,0.0903046514838934,0.12291498907531301,0.9604382793108622,0.8421052694320679,1095915200,-0.01253747741381328,-0.05263155698776245,-412579840.0
cvar_0.5,47,229,True,199,0.0797276715748012,0.08197669624350964,0.9718860685825348,0.8815789222717285,1476262240,-0.000500428676605269,-0.0238264799118042,0.0
cvar_0.75,7,186,True,156,0.08819641652517021,0.08970799741024772,0.9657398323218028,0.790123462677002,1199060160,-0.003399684031804351,-0.09876543283462524,6446560.0
cvar_0.75,11,203,True,173,0.08262368406479557,0.09148674151704957,0.9689544479052226,0.8684210777282715,1308651680,-0.00031652251879377147,-0.013157844543457031,-167610560.0
cvar_0.75,19,273,True,243,0.0726566053306063,0.08024485659940789,0.9750839153925578,0.8947368264198303,1759910880,0.002723326285680172,-0.013157904148101807,-32232800.0
cvar_0.75,23,200,True,198,0.07990980995818972,0.08173416679104169,0.9715941071510314,0.8947368264198303,1289312000,0.0014022052288055198,0.013157904148101807,0.0
cvar_0.75,29,234,True,226,0.08099238882617404,0.08233231875735024,0.9679326315720876,0.9012345671653748,1508495040,-0.0016308168570200454,-0.004170835018157959,0.0
